"TF","HVL_HUB098","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TEAD1","9.67466615742440617","9.67466615742440617","9.67466615742440617","Activated","1","viper","1","9.67466615742440617",NA,NA,"4","ReMap--ChIP-seq(rank=51); ARCHS4--Coexpression(rank=131); Enrichr--Queries(rank=221); GTEx--Coexpression(rank=243)","323","0.08047000000000000","ARCHS4 Coexpression,0.08047"
"E2F4","-8.90134287667843971","-8.90134287667843971","8.90134287667843971","Repressed","2","viper","2","8.90134287667843971",NA,NA,"6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=469); Enrichr--Queries(rank=813); GTEx--Coexpression(rank=991)","18","0.00673400000000000","ReMap ChIP-seq,0.006734"
"TCF12","8.80057103558774223","8.80057103558774223","8.80057103558774223","Activated","3","viper","3","8.80057103558774223",NA,NA,"5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=24); GTEx--Coexpression(rank=316); Enrichr--Queries(rank=731)","50","0.01474000000000000","ARCHS4 Coexpression,0.01474"
"FOXP1","-8.50262926445867251","-8.50262926445867251","8.50262926445867251","Repressed","4","viper","4","8.50262926445867251",NA,NA,"5","Literature--ChIP-seq(rank=94); ReMap--ChIP-seq(rank=134); GTEx--Coexpression(rank=142); Enrichr--Queries(rank=301); ARCHS4--Coexpression(rank=1291)","348","0.08835999999999999","GTEx Coexpression,0.08836"
"MEF2A","7.29540655161695462","7.29540655161695462","7.29540655161695462","Activated","5","viper","5","7.29540655161695462",NA,NA,"6","ENCODE--ChIP-seq(rank=91); Literature--ChIP-seq(rank=118); ReMap--ChIP-seq(rank=201); Enrichr--Queries(rank=377); ARCHS4--Coexpression(rank=610); GTEx--Coexpression(rank=870)","863","0.26850000000000002","Enrichr Queries,0.2685"
"TEAD4","6.57886324489838703","6.57886324489838703","6.57886324489838703","Activated","6","viper","6","6.57886324489838703",NA,NA,"6","ENCODE--ChIP-seq(rank=24); Enrichr--Queries(rank=34); Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=65); ARCHS4--Coexpression(rank=94); GTEx--Coexpression(rank=1105)","87","0.02422000000000000","Enrichr Queries,0.02422"
"SIX2","6.55066734211766555","6.55066734211766555","6.55066734211766555","Activated","7","viper","7","6.55066734211766555",NA,NA,"4","ReMap--ChIP-seq(rank=228); ARCHS4--Coexpression(rank=606); Enrichr--Queries(rank=799); GTEx--Coexpression(rank=1367)","1078","0.37219999999999998","ARCHS4 Coexpression,0.3722"
"RUNX2","6.20627726980813588","6.20627726980813588","6.20627726980813588","Activated","8","viper","8","6.20627726980813588",NA,NA,"5","Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=100); Enrichr--Queries(rank=104); ARCHS4--Coexpression(rank=313); GTEx--Coexpression(rank=331)","300","0.07407000000000000","Enrichr Queries,0.07407"
"PDX1","6.01963703557724905","6.01963703557724905","6.01963703557724905","Activated","9","viper","9","6.01963703557724905",NA,NA,"5","Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=234); ARCHS4--Coexpression(rank=339); Enrichr--Queries(rank=1072); GTEx--Coexpression(rank=1239)","707","0.20820000000000000","ARCHS4 Coexpression,0.2082"
"ARNT","5.97529011371132324","5.97529011371132324","5.97529011371132324","Activated","10","viper","10","5.97529011371132324",NA,NA,"5","Literature--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=70); Enrichr--Queries(rank=934); ARCHS4--Coexpression(rank=1067); GTEx--Coexpression(rank=1341)","785","0.23569999999999999","ReMap ChIP-seq,0.2357"
"NFKB1","5.63576716924836507","5.63576716924836507","5.63576716924836507","Activated","11","viper","11","5.63576716924836507",NA,NA,"4","ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=45); GTEx--Coexpression(rank=387); Enrichr--Queries(rank=614)","105","0.02764000000000000","ARCHS4 Coexpression,0.02764"
"MAFK","5.56678701377563545","5.56678701377563545","5.56678701377563545","Activated","12","viper","12","5.56678701377563545",NA,NA,"5","ENCODE--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=141); GTEx--Coexpression(rank=304); Enrichr--Queries(rank=472); ARCHS4--Coexpression(rank=1352)","658","0.18920000000000001","GTEx Coexpression,0.1892"
"ONECUT1","5.31769032395946795","5.31769032395946795","5.31769032395946795","Activated","13","viper","13","5.31769032395946795",NA,NA,"4","ReMap--ChIP-seq(rank=217); ARCHS4--Coexpression(rank=803); Enrichr--Queries(rank=1022); GTEx--Coexpression(rank=1181)","1300","0.49320000000000003","ARCHS4 Coexpression,0.4932"
"POU5F1","5.30650479991101864","5.30650479991101864","5.30650479991101864","Activated","14","viper","14","5.30650479991101864",NA,NA,"5","Literature--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=18); GTEx--Coexpression(rank=236); ARCHS4--Coexpression(rank=582); Enrichr--Queries(rank=980)","243","0.06061000000000000","ReMap ChIP-seq,0.06061"
"ATF7","5.29121770344789510","5.29121770344789510","5.29121770344789510","Activated","15","viper","15","5.29121770344789510",NA,NA,"4","ReMap--ChIP-seq(rank=164); GTEx--Coexpression(rank=587); ARCHS4--Coexpression(rank=782); Enrichr--Queries(rank=842)","1063","0.36530000000000001","GTEx Coexpression,0.3653"
"MAFB","5.21747821990472360","5.21747821990472360","5.21747821990472360","Activated","16","viper","16","5.21747821990472360",NA,NA,"4","ReMap--ChIP-seq(rank=229); Enrichr--Queries(rank=372); ARCHS4--Coexpression(rank=442); GTEx--Coexpression(rank=734)","853","0.26500000000000001","Enrichr Queries,0.265"
"NCOA3","5.17961166288178454","5.17961166288178454","5.17961166288178454","Activated","17","viper","17","5.17961166288178454",NA,NA,"4","ReMap--ChIP-seq(rank=290); GTEx--Coexpression(rank=593); Enrichr--Queries(rank=686); ARCHS4--Coexpression(rank=832)","1072","0.36899999999999999","GTEx Coexpression,0.369"
"NCOA2","5.11480404020925672","5.11480404020925672","5.11480404020925672","Activated","18","viper","18","5.11480404020925672",NA,NA,"4","ReMap--ChIP-seq(rank=197); GTEx--Coexpression(rank=486); ARCHS4--Coexpression(rank=515); Enrichr--Queries(rank=705)","938","0.30240000000000000","GTEx Coexpression,0.3024"
"MYOD1","5.03314527112388710","5.03314527112388710","5.03314527112388710","Activated","19","viper","19","5.03314527112388710",NA,NA,"5","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=146); ARCHS4--Coexpression(rank=673); Enrichr--Queries(rank=1020); GTEx--Coexpression(rank=1088)","204","0.05085000000000000","ENCODE ChIP-seq,0.05085"
"RELA","4.92617453906050429","4.92617453906050429","4.92617453906050429","Activated","20","viper","20","4.92617453906050429",NA,NA,"6","Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=76); ENCODE--ChIP-seq(rank=82); ARCHS4--Coexpression(rank=655); GTEx--Coexpression(rank=761); Enrichr--Queries(rank=840)","561","0.15240000000000001","Literature ChIP-seq,0.1524"
"CEBPG","4.92462103031373033","4.92462103031373033","4.92462103031373033","Activated","21","viper","21","4.92462103031373033",NA,NA,"4","ReMap--ChIP-seq(rank=235); Enrichr--Queries(rank=308); ARCHS4--Coexpression(rank=1214); GTEx--Coexpression(rank=1385)","743","0.21940000000000001","Enrichr Queries,0.2194"
"HNF4G","4.90080713071783958","4.90080713071783958","4.90080713071783958","Activated","22","viper","22","4.90080713071783958",NA,NA,"5","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=88); GTEx--Coexpression(rank=262); ARCHS4--Coexpression(rank=385); Enrichr--Queries(rank=549)","587","0.16300000000000001","GTEx Coexpression,0.163"
"ZEB2","-4.87117683033120930","-4.87117683033120930","4.87117683033120930","Repressed","23","viper","23","4.87117683033120930",NA,NA,"4","ReMap--ChIP-seq(rank=173); ARCHS4--Coexpression(rank=185); Enrichr--Queries(rank=236); GTEx--Coexpression(rank=785)","432","0.11360000000000001","ARCHS4 Coexpression,0.1136"
"POU4F2","4.81423163110460095","4.81423163110460095","4.81423163110460095","Activated","24","viper","24","4.81423163110460095",NA,NA,"4","ReMap--ChIP-seq(rank=216); GTEx--Coexpression(rank=764); ARCHS4--Coexpression(rank=789); Enrichr--Queries(rank=1382)","1266","0.47539999999999999","GTEx Coexpression,0.4754"
"OTX2","4.75813747785102237","4.75813747785102237","4.75813747785102237","Activated","25","viper","25","4.75813747785102237",NA,NA,"4","ReMap--ChIP-seq(rank=257); GTEx--Coexpression(rank=498); ARCHS4--Coexpression(rank=721); Enrichr--Queries(rank=1335)","959","0.30990000000000001","GTEx Coexpression,0.3099"
"MEIS1","4.73530618580424001","4.73530618580424001","4.73530618580424001","Activated","26","viper","26","4.73530618580424001",NA,NA,"5","Literature--ChIP-seq(rank=72); ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=214); Enrichr--Queries(rank=267); ARCHS4--Coexpression(rank=885)","501","0.13320000000000001","GTEx Coexpression,0.1332"
"BCL11A","4.72314640210317638","4.72314640210317638","4.72314640210317638","Activated","27","viper","27","4.72314640210317638",NA,NA,"5","ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=370); Enrichr--Queries(rank=417); GTEx--Coexpression(rank=482)","764","0.22730000000000000","ARCHS4 Coexpression,0.2273"
"HNF1B","4.71143901512670737","4.71143901512670737","4.71143901512670737","Activated","28","viper","28","4.71143901512670737",NA,NA,"3","ARCHS4--Coexpression(rank=43); ReMap--ChIP-seq(rank=110); Enrichr--Queries(rank=512)","99","0.02641000000000000","ARCHS4 Coexpression,0.02641"
"NCOA1","4.62930877248347539","4.62930877248347539","4.62930877248347539","Activated","29","viper","29","4.62930877248347539",NA,NA,"4","ARCHS4--Coexpression(rank=81); ReMap--ChIP-seq(rank=249); Enrichr--Queries(rank=560); GTEx--Coexpression(rank=580)","197","0.04975000000000000","ARCHS4 Coexpression,0.04975"
