"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","ATF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","4","ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=461); Enrichr--Queries(rank=893); ARCHS4--Coexpression(rank=1189)","237","rank=1; score=6.4971; p=3.1836e-07","rank=1; score=6.0174; p=9.6068e-07"
"2","JUN","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.5","2","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); GTEx--Coexpression(rank=10); ARCHS4--Coexpression(rank=44); Enrichr--Queries(rank=66)","12","rank=5; score=3.7579; p=0.00017464","rank=2; score=3.9935; p=0.00010151"
"3","ARNTL","DoRothEA;TRRUST","5","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST","4.5","3","4","ARCHS4--Coexpression(rank=45); ReMap--ChIP-seq(rank=96); Enrichr--Queries(rank=102); GTEx--Coexpression(rank=104)","104","rank=3; score=3.9957; p=0.000101","rank=6; score=2.8682; p=0.0013547"
"4","NR1H3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.5","5","5","Literature--ChIP-seq(rank=13); GTEx--Coexpression(rank=21); ARCHS4--Coexpression(rank=55); Enrichr--Queries(rank=94); ReMap--ChIP-seq(rank=274)","51","rank=6; score=3.7386; p=0.00018255","rank=5; score=3.0415; p=0.00090888"
"5","NFKB1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.5","3","4","ARCHS4--Coexpression(rank=24); Enrichr--Queries(rank=237); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=616)","56","rank=12; score=2.2812; p=0.0052333","rank=3; score=3.7397; p=0.00018208"
"6","FOS","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","7","5","GTEx--Coexpression(rank=3); ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=20); ARCHS4--Coexpression(rank=220)","6","rank=10; score=2.7449; p=0.0017994","rank=7; score=2.6521; p=0.0022277"
"7","RELA","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","4","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=384); Enrichr--Queries(rank=693); GTEx--Coexpression(rank=963)","71","rank=17; score=1.8859; p=0.013005","rank=4; score=3.1473; p=0.00071234"
"8","ATF3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.0","9","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=60)","1","rank=9; score=2.8637; p=0.0013686","rank=13; score=1.9926; p=0.010171"
"9","HIF1A","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.5","2","5","Literature--ChIP-seq(rank=83); ReMap--ChIP-seq(rank=97); Enrichr--Queries(rank=434); ARCHS4--Coexpression(rank=652); GTEx--Coexpression(rank=719)","940","rank=2; score=4.0139; p=9.6853e-05","rank=27; score=1.3338; p=0.046362"
"10","CLOCK","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.5","12","5","Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=209); ARCHS4--Coexpression(rank=612); Enrichr--Queries(rank=1231); GTEx--Coexpression(rank=1571)","811","rank=19; score=1.8593; p=0.013827","rank=12; score=2.1073; p=0.0078111"
