"TF","HCT15","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ZNF263","6.612336967331807536","6.612336967331807536","6.612336967331807536","Activated","1","viper","1","6.612336967331807536",NA,NA,"6","ENCODE--ChIP-seq(rank=48); Literature--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=120); Enrichr--Queries(rank=331); ARCHS4--Coexpression(rank=1510); GTEx--Coexpression(rank=1514)","698","0.235800000000000010","Enrichr Queries,0.2358"
"ATF4","4.959822110272997797","4.959822110272997797","4.959822110272997797","Activated","2","viper","2","4.959822110272997797",NA,NA,"4","ReMap--ChIP-seq(rank=95); GTEx--Coexpression(rank=713); Enrichr--Queries(rank=774); ARCHS4--Coexpression(rank=1404)","895","0.319900000000000018","ReMap ChIP-seq,0.3199"
"THAP1","-4.517099659721740323","-4.517099659721740323","4.517099659721740323","Repressed","3","viper","3","4.517099659721740323",NA,NA,"5","ENCODE--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=170); Enrichr--Queries(rank=719); ARCHS4--Coexpression(rank=1124); GTEx--Coexpression(rank=1583)","1265","0.512100000000000000","Enrichr Queries,0.5121"
"NFKB1","4.214355302981851459","4.214355302981851459","4.214355302981851459","Activated","4","viper","4","4.214355302981851459",NA,NA,"4","ARCHS4--Coexpression(rank=6); ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=416); GTEx--Coexpression(rank=458)","13","0.003686000000000000","ARCHS4 Coexpression,0.003686"
"STAT1","4.013151183780374609","4.013151183780374609","4.013151183780374609","Activated","5","viper","5","4.013151183780374609",NA,NA,"6","ReMap--ChIP-seq(rank=32); ENCODE--ChIP-seq(rank=52); ARCHS4--Coexpression(rank=81); Literature--ChIP-seq(rank=146); GTEx--Coexpression(rank=533); Enrichr--Queries(rank=565)","182","0.049750000000000003","ARCHS4 Coexpression,0.04975"
"ZBTB7A","3.868359879082198471","3.868359879082198471","3.868359879082198471","Activated","6","viper","6","3.868359879082198471",NA,NA,"5","ENCODE--ChIP-seq(rank=27); ReMap--ChIP-seq(rank=105); GTEx--Coexpression(rank=461); ARCHS4--Coexpression(rank=624); Enrichr--Queries(rank=1015)","690","0.228800000000000003","ENCODE ChIP-seq,0.2288"
"SNAPC4","-3.821282092932502206","-3.821282092932502206","3.821282092932502206","Repressed","7","viper","7","3.821282092932502206",NA,NA,"4","ReMap--ChIP-seq(rank=284); GTEx--Coexpression(rank=524); Enrichr--Queries(rank=1243); ARCHS4--Coexpression(rank=1459)","909","0.326100000000000001","GTEx Coexpression,0.3261"
"RELA","3.791390201820280748","3.791390201820280748","3.791390201820280748","Activated","8","viper","8","3.791390201820280748",NA,NA,"6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=531); Enrichr--Queries(rank=588); GTEx--Coexpression(rank=656)","68","0.018290000000000001","Literature ChIP-seq,0.01829"
"NR2F1","-3.761173807969442784","-3.761173807969442784","3.761173807969442784","Repressed","9","viper","9","3.761173807969442784",NA,NA,"4","Enrichr--Queries(rank=188); ReMap--ChIP-seq(rank=203); ARCHS4--Coexpression(rank=355); GTEx--Coexpression(rank=1203)","437","0.133899999999999991","Enrichr Queries,0.1339"
"ETV4","3.724344957546380730","3.724344957546380730","3.724344957546380730","Activated","10","viper","10","3.724344957546380730",NA,NA,"4","Enrichr--Queries(rank=63); ReMap--ChIP-seq(rank=134); ARCHS4--Coexpression(rank=373); GTEx--Coexpression(rank=614)","168","0.044870000000000000","Enrichr Queries,0.04487"
"ARNTL","3.705594575306273786","3.705594575306273786","3.705594575306273786","Activated","11","viper","11","3.705594575306273786",NA,NA,"4","Enrichr--Queries(rank=66); ARCHS4--Coexpression(rank=112); GTEx--Coexpression(rank=149); ReMap--ChIP-seq(rank=230)","174","0.047010000000000003","Enrichr Queries,0.04701"
"MEF2A","3.620890688594994078","3.620890688594994078","3.620890688594994078","Activated","12","viper","12","3.620890688594994078",NA,NA,"6","ENCODE--ChIP-seq(rank=59); Literature--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=140); ARCHS4--Coexpression(rank=549); GTEx--Coexpression(rank=896); Enrichr--Queries(rank=1014)","933","0.337200000000000000","ARCHS4 Coexpression,0.3372"
"JUN","3.451864185640127314","3.451864185640127314","3.451864185640127314","Activated","13","viper","13","3.451864185640127314",NA,NA,"6","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=8); ENCODE--ChIP-seq(rank=9); Literature--ChIP-seq(rank=24); Enrichr--Queries(rank=31); ARCHS4--Coexpression(rank=40)","11","0.003367000000000000","ReMap ChIP-seq,0.003367"
"MAZ","-3.411337092621974154","-3.411337092621974154","3.411337092621974154","Repressed","14","viper","14","3.411337092621974154",NA,NA,"5","ENCODE--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=72); GTEx--Coexpression(rank=429); Enrichr--Queries(rank=1291); ARCHS4--Coexpression(rank=1531)","721","0.242400000000000004","ReMap ChIP-seq,0.2424"
"STAT3","3.409344999119916064","3.409344999119916064","3.409344999119916064","Activated","15","viper","15","3.409344999119916064",NA,NA,"6","ENCODE--ChIP-seq(rank=18); Literature--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=62); ReMap--ChIP-seq(rank=64); GTEx--Coexpression(rank=543); Enrichr--Queries(rank=763)","143","0.038080000000000003","ARCHS4 Coexpression,0.03808"
