"sig_names","p.value","statistic","p.adj","log10pvalue","stars","Method_Source","p.value.label","p.adj.label","Significance","Adjusted_Significance"
"CD4_c4_Tstr_ssGSEA","0.00000000000000000000000000000000000000000000000000000000000000000000000000000002585271027478936","0.7408266090505831736","0.00000000000000000000000000000000000000000000000000000000000000000000000000002342255550895916","79.587493920822083737","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c4_Tstr_PCA","0.00000000000000000000000000000000000000000000000000000000000008770287203812371050834219067936276","0.6749228629010682878","0.00000000000000000000000000000000000000000000000000000000003972940103327004265660207183739581","61.056986184400372508","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c4_Tstr_ssGSEA","0.00000000000000000000000000000000000000000000000000000000000022895274103415930742881070309459149","0.6732127251371397003","0.00000000000000000000000000000000000000000000000000000000006914372779231610863264168223038881","60.640254152708969571","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c0_t_Teff_zscore","0.00000000000000000000000000000000000000000000000000082341107646737487978556648342666076678964591","0.6305592853703216871","0.00000000000000000000000000000000000000000000000018650260881986039536042208273270469303627905","51.084383295200680664","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c4_Tstr_zscore","0.00000000000000000000000000000000000000000000000000207757348990254583562880185993983275961578347","0.6286069715121418433","0.00000000000000000000000000000000000000000000000037645631637034131384325527138291908442488248","50.682443604995278008","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c0_t_Teff_PCA","0.00000000000000000000000000000000000000000000000004164348642105653056247247409492705923814650768","0.6221858016780345002","0.00000000000000000000000000000000000000000000000628816644957953583006631121554002352076285457","49.380452918209471136","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c0_t_Teff_ssGSEA","0.00000000000000000000000000000000000000000000001764734711545585192719069073957052267927671775106","0.6087578315493918923","0.00000000000000000000000000000000000000000000228407092665757146101120677556974947117525604160","46.753320571846302300","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c0_Tcm_zscore","0.00000000000000000000000000000000000000210205332874414462763485071736231485581035243644913436119","0.5629952125314982014","0.00000000000000000000000000000000000023805753948027439017266443933877385282802239916399531110","38.677356270189072518","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c0_Tcm_PCA","0.00000000000000000000000000000000000010991605479076213742323416641499432585909199368189584522499","0.5522543651572170420","0.00000000000000000000000000000000001106488284893672172257370983193461021395957456599910346868","36.958938868106130826","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c4_Tstr_zscore","0.00000000000000000000000000000000000023197837449837041492582807627240235734106836065475069163592","0.5501823008894652922","0.00000000000000000000000000000000002101724072955235795521163877880982031402220734503776188791","36.634552499047785545","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c4_Tstr_PCA","0.00000000000000000000000000000000000839674087304705888508257066257380064220649696389161788807615","0.5400195677265002825","0.00000000000000000000000000000000069158611190733044480382214495694617198248639694385495719985","35.075889249117643942","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c0_Tcm_ssGSEA","0.00000000000000000000000000000001832069111937791544539304168324033854020473684926454384822335463","0.5170136031369512164","0.00000000000000000000000000000138321217951303258738960848417335797248240953730673989951986642","31.737058147280027498","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_exhaustion_Peng_et_al_ssGSEA","0.00000000000000000000000012434443065399665069855599851419141415091682956830703945805530415450683","0.4636584259700420318","0.00000000000000000000000866585032096315158690475164787458944645570976545900357045140716388126","24.905373661864921075","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_exhaustion_Peng_et_al_zscore","0.00000000000000000000000191319802877998377404665333859638798399121473835437754111333340093815958","0.4533488074642723076","0.00000000000000000000012381124386247609233386515724235430579799268079099529389419187888621288","23.718240075265271116","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_11_CCL4_zscore","0.00000000000000000000001112040678837963251737229556849664900397260579035305141201416261227674642","0.4465201040554622747","0.00000000000000000000067167257001812980052280359987033507593373577807058727182965875146525292","22.953879325818952850","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_exhaustion_Peng_et_al_PCA","0.00000000000000000000007579479396524467244101774302407917665773344616811850439440758145370757859","0.4388934043003136498","0.00000000000000000000429188020828197957109515794462704583840047370315848192224000151595575403","22.120360623257298016","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_10_SPP1_zscore","0.00000000000000000000060436475022799231257727466605417488722504559664620254723832112886405809604","0.4304200436706812627","0.00000000000000000003220908610038594399908172849362179614857322561997014602735295296653816877","21.218700873962244913","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"GPAGs_ssGSEA","0.00000000000000000025053492943389490767571493565794526365954657938903322750984203892699042626191","0.4043701255850571941","0.00000000000000001261025811483937722832006240340046235192812160928179862628972784932557260618","18.601131716491845935","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c11_Teff_SEMA4A_zscore","0.00000000000000002223337874305488847930420212338685127165157292563300861498731819665408693253994","0.3833786431514231152","0.00000000000000106018111269514367694968827060553041051943262348955521190418949117884039878845","16.652994533793908261","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_06_PTGS2_zscore","0.00000000000000003545147610694108027554135460417245047864735708800093538783926305768545717000961","0.3811063154327703484","0.00000000000000160595186764443082061807790923290308683509225017721488981692345987539738416672","16.450365677215671667","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"GPAGs_zscore","0.00000000000000003889437705132994546485274297246865399820651512685122652701608103598118759691715","0.3806527926050300437","0.00000000000000167801455278594925361523491851354127469178709360086987345539455418474972248077","16.410113179961996366","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_11_CCL4_PCA","0.00000000000000046945121242321577472274125319943608682221321097560728929920514929108321666717529","0.3681912337604431595","0.00000000000001933285447524697593634359701960774311564790484130327286038664169609546661376953","15.328409534976852768","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Interleukins_Li_et_al_zscore","0.00000000000000061381207268750654795499603469148570977424836814934083761841066007036715745925903","0.3668170341135794099","0.00000000000002417885816760351919648377467270094849088467488240628000539800268597900867462158","15.211964573952414526","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Interleukins_Li_et_al_PCA","0.00000000000000077304750769883038353737053268678969825020527066941622429396829829784110188484192","0.3656295941480268152","0.00000000000002918254341563084779204854611809473543979033191564376181759143946692347526550293","15.111793815658057127","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mono_like_01_CD14_zscore","0.00000000000000101799131719763194286118265771761234221928771326304286048980429768562316894531250","0.3642060930027543053","0.00000000000003689200533524218085198279050351493808676756405717789277787233004346489906311035","14.992255926232303409","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_11_CCL4_ssGSEA","0.00000000000000135909220624415272567224999414215141034602870716979650111966293479781597852706909","0.3627038623328908140","0.00000000000004735913610989239835506594091411946899583497103125573346460441825911402702331543","14.866751077995536079","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_08_CD74_zscore","0.00000000000000291006098721250518287104085480324674153798213821486839947283442597836256027221680","0.3587077656866666797","0.00000000000009764871312646406245240119080739258825528403828997170421644113957881927490234375","14.536097909250411675","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_accumulation_Peng_et_al_zscore","0.00000000000000664433239570606048226762930221583958735441380674680011964028381044045090675354004","0.3543099955921657496","0.00000000000021499161251820322173015131617616942246405675742693119900650344789028167724609375","14.177548649247434298","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_05_ELL2_zscore","0.00000000000000737675666449931175157768665394832408618679131517836822240496985614299774169921875","0.3537480604255470729","0.00000000000023046005303573713452804363847517177721520298394608516900916583836078643798828125","14.132134542284902068","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_10_SPP1_PCA","0.00000000000001180305783962444002584903389448185909663547720621634695703505713026970624923706055","0.3512083325902013442","0.00000000000035645234675665809351380625493942297718876280332445105614169733598828315734863281","13.928005464656880719","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mph_02_CCL20_zscore","0.00000000000003024514144994185106581943095453919402229711263507816454421117668971419334411621094","0.3460538418224483603","0.00000000000088393865011765543196512016826168847986790882975682848154974635690450668334960938","13.519344380051139254","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c11_Teff_SEMA4A_ssGSEA","0.00000000000003545509011888142837005403216322763664583020068454821682735200738534331321716308594","0.3451738037061477526","0.00000000000100382223899083042218892351292760503535944627273579499160405248403549194335937500","13.450321406408942693","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c6_Tcm_zscore","0.00000000000004325530986969147059677633296515675745256591933074474809473031200468540191650390625","0.3440687876927153166","0.00000000000118755487096789306971061518331491381147459185374515300281927920877933502197265625","13.363960572463682297","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_07_APOA2_zscore","0.00000000000004881132576461386783904142669980716179957197162209148189049301436170935630798339844","0.3433951279418471780","0.00000000000130067826890412244600226919183461339580253068870518973199068568646907806396484375","13.311479396309126244","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_accumulation_Peng_et_al_PCA","0.00000000000005941924948174010429482632192222188398226558059267432554406695999205112457275390625","0.3422953350845768794","0.00000000000153810971515590108210709169283518995695499154141572262233239598572254180908203125","13.226072838025409339","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Th1_cells_Bindea_et_al_zscore","0.00000000000015517061009134106868957024371996583866862781664330839248577831313014030456542968750","0.3368636348580703044","0.00000000000390512702063208392384505299498988835533996866189454522100277245044708251953125000","12.809190532329385093","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_06_PTGS2_PCA","0.00000000000018143618963936783134782150291865587601598634737154469576125848107039928436279296875","0.3359685642435468744","0.00000000000444273480576398023735555745754706663888655704397478984901681542396545410156250000","12.741276083355820958","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mast_zscore","0.00000000000020950035105049286314888092759517399993655049905694198741912259720265865325927734375","0.3351427959937118284","0.00000000000499492942241438211397059421705260239161827673370908087235875427722930908203125000","12.678815244968978604","****","IOBR::batch_cor","<0.001","<0.001","***","***"
