"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"PATZ1","1.778125439135522123","1.778125439135522123","0.07538325520271318969101059792592423","RKO=1.778","Activated","159","collectri","159","1.778125439135522123",NA,"3","Enrichr--Queries(rank=760); GTEx--Coexpression(rank=1109); ARCHS4--Coexpression(rank=1131)","1391","0.54130000000000000","Enrichr Queries,0.5413"
"HDAC3","1.777568920812172992","1.777568920812172992","0.07547468198641044123675669652584475","RKO=1.778","Activated","160","collectri","160","1.777568920812172992",NA,"0","",NA,NA,NA
"HINFP","1.772552346323003736","-1.772552346323003736","0.07630291404851136105591535851999652","RKO=-1.773","Repressed","161","collectri","161","1.772552346323003736",NA,"3","ReMap--ChIP-seq(rank=260); GTEx--Coexpression(rank=608); ARCHS4--Coexpression(rank=800)","1167","0.37830000000000003","GTEx Coexpression,0.3783"
"MAFB","1.769572381002169958","1.769572381002169958","0.07679840318642972007978642068337649","RKO=1.77","Activated","162","collectri","162","1.769572381002169958",NA,"4","ReMap--ChIP-seq(rank=232); ARCHS4--Coexpression(rank=440); Enrichr--Queries(rank=728); GTEx--Coexpression(rank=937)","944","0.27029999999999998","ARCHS4 Coexpression,0.2703"
"HDGF","1.769352852821353794","1.769352852821353794","0.07683500838566731383494357032759581","RKO=1.769","Activated","163","collectri","163","1.769352852821353794",NA,"0","",NA,NA,NA
"NFIB","1.762868677380994065","1.762868677380994065","0.07792264098113417525315327338830684","RKO=1.763","Activated","164","collectri","164","1.762868677380994065",NA,"4","GTEx--Coexpression(rank=71); Literature--ChIP-seq(rank=75); Enrichr--Queries(rank=622); ARCHS4--Coexpression(rank=911)","178","0.04418000000000000","GTEx Coexpression,0.04418"
"EHF","1.762285949174615896","1.762285949174615896","0.07802099664812711665717870346270502","RKO=1.762","Activated","165","collectri","165","1.762285949174615896",NA,"4","Enrichr--Queries(rank=142); ReMap--ChIP-seq(rank=160); ARCHS4--Coexpression(rank=403); GTEx--Coexpression(rank=895)","419","0.10110000000000000","Enrichr Queries,0.1011"
"HIF1A","1.759525834064952221","1.759525834064952221","0.07848823625311522611536219073968823","RKO=1.76","Activated","166","collectri","166","1.759525834064952221",NA,"5","Literature--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=418); GTEx--Coexpression(rank=512); Enrichr--Queries(rank=633)","403","0.09755999999999999","Literature ChIP-seq,0.09756"
"MAFA","1.758420925893336983","-1.758420925893336983","0.07867591516478394941813689911214169","RKO=-1.758","Repressed","167","collectri","167","1.758420925893336983",NA,"3","ARCHS4--Coexpression(rank=531); Enrichr--Queries(rank=628); GTEx--Coexpression(rank=1067)","1056","0.32619999999999999","ARCHS4 Coexpression,0.3262"
"FOS_JUN","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","168","collectri","168","1.741406936807087025",NA,"0","",NA,NA,NA
"FOS_JUNB","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","169","collectri","169","1.741406936807087025",NA,"0","",NA,NA,NA
"FOS_JUND","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","170","collectri","170","1.741406936807087025",NA,"0","",NA,NA,NA
"FOSB_JUN","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","171","collectri","171","1.741406936807087025",NA,"0","",NA,NA,NA
"FOSB_JUNB","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","172","collectri","172","1.741406936807087025",NA,"0","",NA,NA,NA
"FOSB_JUND","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","173","collectri","173","1.741406936807087025",NA,"0","",NA,NA,NA
"FOSL1_JUN","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","174","collectri","174","1.741406936807087025",NA,"0","",NA,NA,NA
"FOSL1_JUNB","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","175","collectri","175","1.741406936807087025",NA,"0","",NA,NA,NA
"FOSL1_JUND","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","176","collectri","176","1.741406936807087025",NA,"0","",NA,NA,NA
"FOSL2_JUN","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","177","collectri","177","1.741406936807087025",NA,"0","",NA,NA,NA
"FOSL2_JUNB","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","178","collectri","178","1.741406936807087025",NA,"0","",NA,NA,NA
"FOSL2_JUND","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","179","collectri","179","1.741406936807087025",NA,"0","",NA,NA,NA
"JUN_JUNB","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","180","collectri","180","1.741406936807087025",NA,"0","",NA,NA,NA
"JUN_JUND","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","181","collectri","181","1.741406936807087025",NA,"0","",NA,NA,NA
"JUNB_JUND","1.741406936807087025","1.741406936807087025","0.08161227314007601929546353858313523","RKO=1.741","Activated","182","collectri","182","1.741406936807087025",NA,"0","",NA,NA,NA
"TFDP2","1.736579723003523812","-1.736579723003523812","0.08246138118515623782744938807809376","RKO=-1.737","Repressed","183","collectri","183","1.736579723003523812",NA,"3","Enrichr--Queries(rank=54); ARCHS4--Coexpression(rank=346); GTEx--Coexpression(rank=898)","151","0.03846000000000000","Enrichr Queries,0.03846"
