"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","HIF1A","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.666666666666667","1","5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=86); Enrichr--Queries(rank=504); GTEx--Coexpression(rank=883)","94","rank=1; score=8.7884; p=1.6277e-09","rank=3; score=6.2166; direction=Activated","rank=10; score=3.7569; p=0.00017205; direction=Activated"
"2","FOXO3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.666666666666667","1","4","Literature--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=143); GTEx--Coexpression(rank=208); Enrichr--Queries(rank=419)","333","rank=2; score=6.4887; p=3.2459e-07","rank=11; score=4.7436; direction=Activated","rank=1; score=6.357; p=2.0571e-10; direction=Activated"
"3","ATF4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.333333333333334","8","4","ReMap--ChIP-seq(rank=84); GTEx--Coexpression(rank=739); Enrichr--Queries(rank=1006); ARCHS4--Coexpression(rank=1492)","893","rank=12; score=3.7913; p=0.00016171","rank=8; score=4.9863; direction=Activated","rank=8; score=3.9121; p=9.149e-05; direction=Activated"
"4","FOXO1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.333333333333332","3","5","ReMap--ChIP-seq(rank=70); Literature--ChIP-seq(rank=71); ARCHS4--Coexpression(rank=174); Enrichr--Queries(rank=187); GTEx--Coexpression(rank=604)","393","rank=3; score=6.0509; p=8.8945e-07","rank=9; score=4.9837; direction=Activated","rank=40; score=2.656; p=0.0079069; direction=Activated"
"5","STAT1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.000000000000000","14","6","ReMap--ChIP-seq(rank=8); ENCODE--ChIP-seq(rank=79); Literature--ChIP-seq(rank=133); ARCHS4--Coexpression(rank=154); Enrichr--Queries(rank=490); GTEx--Coexpression(rank=1534)","103","rank=29; score=2.5955; p=0.0025379","rank=14; score=4.2379; direction=Activated","rank=32; score=2.8585; p=0.0042569; direction=Activated"
"6","GATA3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.333333333333332","23","6","ENCODE--ChIP-seq(rank=12); Literature--ChIP-seq(rank=27); GTEx--Coexpression(rank=77); ReMap--ChIP-seq(rank=93); Enrichr--Queries(rank=267); ARCHS4--Coexpression(rank=278)","181","rank=24; score=2.6837; p=0.0020717","rank=23; score=3.4526; direction=Activated","rank=35; score=2.8116; p=0.004929; direction=Activated"
"7","MYC","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.666666666666668","18","6","ENCODE--ChIP-seq(rank=56); GTEx--Coexpression(rank=72); Literature--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=180); Enrichr--Queries(rank=297); ARCHS4--Coexpression(rank=1551)","171","rank=50; score=1.6155; p=0.024238","rank=18; score=3.8022; direction=Repressed","rank=18; score=3.1677; p=0.0015363; direction=Repressed"
"8","FOS","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.333333333333336","26","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=223)","11","rank=49; score=1.6238; p=0.023779","rank=49; score=2.6551; direction=Activated","rank=26; score=2.9715; p=0.0029637; direction=Activated"
"9","GATA6","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.000000000000000","29","5","ARCHS4--Coexpression(rank=45); ReMap--ChIP-seq(rank=56); Enrichr--Queries(rank=70); Literature--ChIP-seq(rank=82); GTEx--Coexpression(rank=501)","107","rank=30; score=2.5751; p=0.0026604","rank=29; score=3.1064; direction=Activated","rank=85; score=2.118; p=0.034173; direction=Activated"
"10","LHX2","DoRothEA;VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","51.000000000000000","42","4","ReMap--ChIP-seq(rank=67); Enrichr--Queries(rank=393); ARCHS4--Coexpression(rank=440); GTEx--Coexpression(rank=511)","746","rank=42; score=1.8743; p=0.013356","rank=42; score=2.721; direction=Activated","rank=69; score=2.3045; p=0.021193; direction=Activated"
