"TF","Mean_Selected_Rank","Best_Selected_Rank","Worst_Selected_Rank","DoRothEA_Rank","ChEA3_Rank","CollecTRI_Rank","DoRothEA_P_Value","CollecTRI_P_Value","DoRothEA_Score","ChEA3_Score","CollecTRI_Score","CheA3_Library_Count","Consensus_Rank"
"ATF3","6.00000000000000","1","9","9","1","8","0.001368641202566710019","0.0010054385365363600","2.8637103898270602","0.00061430000000000","3.28900047590036992","6","1"
"STAT1","20.66666666666666","4","54","4","54","4","0.000124202212583852988","0.0000407979610767055","3.9058706674090402","0.01413000000000000","4.10291361350224992","6","2"
"NFKB1","30.00000000000000","12","56","12","56","22","0.005233311978336989585","0.0066492480643784001","2.2812233744841901","0.01474000000000000","2.71391870827776005","4","3"
"FOSL2","37.00000000000000","31","46","46","31","34","0.092435427255249794087","0.0144325859875027995","1.0341615470411800","0.00847500000000000","2.44631246251439016","5","4"
"RELA","37.33333333333334","17","71","17","71","24","0.013005357046696900195","0.0086683065354495603","1.8858777202630601","0.01829000000000000","2.62486603421616005","6","5"
"IRF4","39.66666666666666","18","61","61","18","40","0.139953002991459990456","0.0170048499802031017","0.8540177783794670","0.00491400000000000","2.38660285335113009","5","6"
"STAT3","43.66666666666666","29","72","30","72","29","0.036004819991314503114","0.0110460890127248995","1.4436393560241301","0.01843000000000000","2.54123739569048013","6","7"
"ERG","46.33333333333334","42","53","53","42","44","0.109876020756278003354","0.0205304909833677988","0.9590970772718950","0.01120000000000000","2.31650904816501013","5","8"
"BATF","48.00000000000000","5","129","129","5","10","1.000000000000000000000","0.0011878204834833001","0.0000000000000000","0.00184300000000000","3.24178871834502003","5","9"
"NFKB2","53.66666666666666","8","77","8","76","77","0.000648804106877406994","0.0639699564807973964","3.1878864097393298","0.01929000000000000","1.85238918988776002","4","10"
"SPIB","57.00000000000000","7","108","56","108","7","0.117310116108615997144","0.0009061040808435650","0.9306645353634460","0.02887000000000000","3.31816664353830992","4","11"
"FOS","60.33333333333333","6","165","10","6","165","0.001799393989315470083","0.1451811450038079931","2.7448737345690000","0.00186700000000000","1.45676541758573008","5","12"
"EGR1","63.33333333333334","40","97","97","40","53","0.336697356394875024765","0.0343221227452433011","0.4727602934949680","0.01058000000000000","2.11626679961747000","6","13"
"JUNB","64.66666666666667","43","107","43","44","107","0.089809501394927798712","0.0801475364320631961","1.0466777147235300","0.01167000000000000","1.74983067174849993","4","14"
"EPAS1","72.33333333333333","57","87","57","73","87","0.118470874067965997734","0.0703993054646448041","0.9263884073444660","0.01867000000000000","1.80933286929361992","4","15"
"FOSL1","75.33333333333333","51","106","51","69","106","0.101197806571895004835","0.0796732109707156966","0.9948289005796780","0.01781000000000000","1.75258533131577998","5","16"
"MYC","77.00000000000000","3","138","90","138","3","0.316784218546954987605","0.0000350043378598339","0.4992364620847250","0.03671000000000000","4.13819856028341970","6","17"
"ATF4","81.00000000000000","1","237","1","237","5","0.000000318356237777823","0.0000555124095614644","6.4970866362793398","0.06734000000000000","4.03111695670787995","4","18"
"VDR","82.66666666666667","24","137","24","87","137","0.022243052881346200150","0.1119685577585479985","1.6528056056452300","0.02240000000000000","1.58940690026084996","5","19"
"PPARG","82.66666666666667","54","100","94","100","54","0.328318782778390994004","0.0362410440262631028","0.4837042710212800","0.02614000000000000","2.09421262045206014","5","20"
"CREM","83.00000000000000","42","127","42","80","127","0.089809501394927798712","0.1012183539154330042","1.0466777147235300","0.02027000000000000","1.63897554000980006","5","21"
"STAT5A","83.66666666666667","42","136","73","136","42","0.184322730389532007944","0.0195794535306964002","0.7344211049651910","0.03563000000000000","2.33431080197556984","6","22"
"STAT2","84.33333333333333","23","141","89","141","23","0.315138834059517980446","0.0077667895616614600","0.5014980761069699","0.03747000000000000","2.66204326113751000","5","23"
"ETS1","84.33333333333333","36","171","36","171","46","0.052111026364251300524","0.0214285753430102990","1.2830703730059301","0.04607000000000000","2.30034688657902997","6","24"
"RELB","87.33333333333333","13","190","59","13","190","0.118470874067965997734","0.1586529141941170062","0.9263884073444660","0.00356100000000000","1.40961662884012995","4","25"
"NFATC1","94.66666666666667","74","125","85","74","125","0.288002176585710978340","0.0995850828444874020","0.5406042300338531","0.01904000000000000","1.64686847535682990","5","26"
"KLF5","95.00000000000000","33","203","33","49","203","0.044994767694517302792","0.1775242673793659964","1.3468379860805799","0.01282000000000000","1.34841709909053997","5","27"
"IRF9","98.33333333333333","11","171","171","113","11","1.000000000000000000000","0.0014201355512727300","0.0000000000000000","0.02991000000000000","3.19052703164317997","4","28"
"KLF4","101.00000000000000","20","228","55","20","228","0.109876020756278003354","0.2082093994673359927","0.9590970772718950","0.00498600000000000","1.25850439300950989","5","29"
"CEBPA","102.66666666666667","69","155","69","155","84","0.169777658249888996345","0.0665100425911779036","0.7701194609541600","0.04169000000000000","1.83497062120902998","5","30"
"SMAD3","104.00000000000000","21","209","82","209","21","0.274035382137737981711","0.0062441158746029497","0.5621933595331690","0.05724000000000000","2.73467887565072987","5","31"
"NR3C1","105.66666666666666","16","252","49","252","16","0.092435427255249794087","0.0028720474737784201","1.0341615470411800","0.07063999999999999","2.98111091837705011","6","32"
"BACH2","108.00000000000000","41","151","41","151","132","0.086887096731075197376","0.1054950127262799936","1.0610447141678201","0.04045000000000000","1.61877811412551997","4","33"
"KLF6","109.66666666666667","18","206","18","206","105","0.013120710154503899963","0.0787538248948188024","1.8820426582655601","0.05651000000000000","1.75796288357839003","4","34"
