Pathway,MED16 TARGET GENES,NR0B1 TARGET GENES,MED25 TARGET GENES,TBX1 TARGET GENES,NR1H4 TARGET GENES,CHAF1A TARGET GENES,EPC1 TARGET GENES,TSHZ1 TARGET GENES,TBPL1 TARGET GENES,NFXL1 TARGET GENES,ZNF746 TARGET GENES,SIX1 TARGET GENES,SIX4 TARGET GENES,TAFAZZIN TARGET GENES,ZNF16 TARGET GENES,FOXC1 TARGET GENES,PHB2 TARGET GENES,SOX10 TARGET GENES,FOXR2 TARGET GENES,PSMB5 TARGET GENES,ZNF445 TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",ZNF23 TARGET GENES,DLX2 TARGET GENES,PRDM5 TARGET GENES,CTR9 TARGET GENES,TUBG1 TARGET GENES,PHF21A TARGET GENES,FOXF1 TARGET GENES,TERF2 TARGET GENES,TERF1 TARGET GENES,HAND1 TARGET GENES,HOXA13 TARGET GENES,LHX4 TARGET GENES,ZNF512B TARGET GENES,EBNA1BP2 TARGET GENES,PAF1 TARGET GENES,NR5A1 TARGET GENES,LCORL TARGET GENES,ZNF491 TARGET GENES
ZNF746 TARGET GENES,0.0,0.0875,0.0125,0.0125,0.025,0.0,0.0375,0.025,0.0,0.15,1.0,0.0375,0.0125,0.0375,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.025,0.0,0.025,0.0,0.025,0.0,0.025,0.0,0.0125,0.0125,0.05,0.0,0.0,0.0625,0.05,0.0,0.0125,0.0375,0.0
SIX1 TARGET GENES,0.0026109660574412533,0.04960835509138381,0.005221932114882507,0.020887728459530026,0.03655352480417755,0.007832898172323759,0.018276762402088774,0.0391644908616188,0.010443864229765013,0.031331592689295036,0.007832898172323759,1.0,0.044386422976501305,0.05221932114882506,0.0026109660574412533,0.0026109660574412533,0.010443864229765013,0.02349869451697128,0.010443864229765013,0.015665796344647518,0.0,0.031331592689295036,0.0026109660574412533,0.018276762402088774,0.010443864229765013,0.005221932114882507,0.0,0.020887728459530026,0.0,0.010443864229765013,0.010443864229765013,0.04177545691906005,0.005221932114882507,0.0,0.020887728459530026,0.015665796344647518,0.0,0.0,0.02610966057441253,0.0
SIX4 TARGET GENES,0.0,0.09302325581395349,0.0,0.023255813953488372,0.06976744186046512,0.0,0.046511627906976744,0.11627906976744186,0.0,0.023255813953488372,0.023255813953488372,0.3953488372093023,1.0,0.0,0.0,0.0,0.023255813953488372,0.046511627906976744,0.0,0.046511627906976744,0.0,0.023255813953488372,0.0,0.06976744186046512,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0
TAFAZZIN TARGET GENES,0.006147540983606557,0.06352459016393443,0.02459016393442623,0.03278688524590164,0.0430327868852459,0.004098360655737705,0.020491803278688523,0.022540983606557378,0.010245901639344262,0.0471311475409836,0.006147540983606557,0.040983606557377046,0.0,1.0,0.012295081967213115,0.006147540983606557,0.018442622950819672,0.020491803278688523,0.014344262295081968,0.01639344262295082,0.0,0.04918032786885246,0.0,0.02663934426229508,0.004098360655737705,0.0020491803278688526,0.0,0.028688524590163935,0.0,0.0,0.004098360655737705,0.055327868852459015,0.010245901639344262,0.0,0.018442622950819672,0.030737704918032786,0.004098360655737705,0.0,0.03278688524590164,0.0
ZNF16 TARGET GENES,0.0,0.02564102564102564,0.01282051282051282,0.038461538461538464,0.05128205128205128,0.01282051282051282,0.0,0.038461538461538464,0.01282051282051282,0.05128205128205128,0.0,0.01282051282051282,0.0,0.07692307692307693,1.0,0.02564102564102564,0.01282051282051282,0.02564102564102564,0.01282051282051282,0.01282051282051282,0.0,0.05128205128205128,0.0,0.01282051282051282,0.01282051282051282,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.038461538461538464,0.01282051282051282,0.0,0.01282051282051282,0.02564102564102564,0.0
FOXC1 TARGET GENES,0.0,0.022988505747126436,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.0,0.011494252873563218,0.034482758620689655,0.011494252873563218,0.04597701149425287,0.0,0.011494252873563218,0.0,0.034482758620689655,0.022988505747126436,1.0,0.034482758620689655,0.011494252873563218,0.034482758620689655,0.022988505747126436,0.0,0.04597701149425287,0.0,0.022988505747126436,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.04597701149425287,0.022988505747126436,0.0,0.0,0.022988505747126436,0.011494252873563218,0.0,0.0,0.05747126436781609,0.0
PHB2 TARGET GENES,0.024154589371980676,0.01932367149758454,0.014492753623188406,0.01932367149758454,0.043478260869565216,0.014492753623188406,0.014492753623188406,0.028985507246376812,0.014492753623188406,0.08695652173913043,0.0,0.01932367149758454,0.004830917874396135,0.043478260869565216,0.004830917874396135,0.014492753623188406,1.0,0.01932367149758454,0.014492753623188406,0.01932367149758454,0.004830917874396135,0.01932367149758454,0.004830917874396135,0.01932367149758454,0.0,0.0,0.0,0.024154589371980676,0.0,0.004830917874396135,0.024154589371980676,0.043478260869565216,0.0,0.0,0.06763285024154589,0.028985507246376812,0.0,0.004830917874396135,0.043478260869565216,0.0
SOX10 TARGET GENES,0.012578616352201259,0.025157232704402517,0.015723270440251572,0.025157232704402517,0.018867924528301886,0.0031446540880503146,0.009433962264150943,0.015723270440251572,0.02830188679245283,0.015723270440251572,0.0,0.02830188679245283,0.006289308176100629,0.031446540880503145,0.006289308176100629,0.0031446540880503146,0.012578616352201259,1.0,0.0220125786163522,0.006289308176100629,0.0,0.0220125786163522,0.0,0.02830188679245283,0.015723270440251572,0.012578616352201259,0.0,0.015723270440251572,0.0,0.006289308176100629,0.025157232704402517,0.040880503144654086,0.0,0.0031446540880503146,0.009433962264150943,0.03459119496855346,0.0031446540880503146,0.0,0.040880503144654086,0.0
FOXR2 TARGET GENES,0.0,0.02564102564102564,0.0,0.03418803418803419,0.017094017094017096,0.004273504273504274,0.0641025641025641,0.01282051282051282,0.02564102564102564,0.021367521367521368,0.0,0.017094017094017096,0.0,0.029914529914529916,0.004273504273504274,0.01282051282051282,0.01282051282051282,0.029914529914529916,1.0,0.017094017094017096,0.0,0.008547008547008548,0.0,0.0,0.008547008547008548,0.008547008547008548,0.0,0.01282051282051282,0.0,0.01282051282051282,0.021367521367521368,0.02564102564102564,0.017094017094017096,0.0,0.0,0.008547008547008548,0.0,0.0,0.029914529914529916,0.0
PSMB5 TARGET GENES,0.022508038585209004,0.06109324758842444,0.05144694533762058,0.02572347266881029,0.03536977491961415,0.01607717041800643,0.05787781350482315,0.01929260450160772,0.01929260450160772,0.06430868167202572,0.01607717041800643,0.01929260450160772,0.006430868167202572,0.02572347266881029,0.003215434083601286,0.006430868167202572,0.012861736334405145,0.006430868167202572,0.012861736334405145,1.0,0.003215434083601286,0.006430868167202572,0.0,0.02572347266881029,0.0,0.02572347266881029,0.003215434083601286,0.02572347266881029,0.0,0.0,0.00964630225080386,0.03215434083601286,0.003215434083601286,0.0,0.01607717041800643,0.03215434083601286,0.012861736334405145,0.003215434083601286,0.02572347266881029,0.0
ZNF445 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",0.011933174224343675,0.0477326968973747,0.007159904534606206,0.01909307875894988,0.016706443914081145,0.002386634844868735,0.026252983293556086,0.016706443914081145,0.014319809069212411,0.021479713603818614,0.00477326968973747,0.028639618138424822,0.002386634844868735,0.057279236276849645,0.00954653937947494,0.00954653937947494,0.00954653937947494,0.016706443914081145,0.00477326968973747,0.00477326968973747,0.0,1.0,0.00477326968973747,0.026252983293556086,0.00954653937947494,0.0,0.0,0.021479713603818614,0.0,0.011933174224343675,0.007159904534606206,0.03341288782816229,0.011933174224343675,0.0,0.011933174224343675,0.01909307875894988,0.0,0.0,0.00954653937947494,0.0
ZNF23 TARGET GENES,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.11764705882352941,1.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
DLX2 TARGET GENES,0.010273972602739725,0.0273972602739726,0.05821917808219178,0.04452054794520548,0.0547945205479452,0.00684931506849315,0.03424657534246575,0.06164383561643835,0.023972602739726026,0.030821917808219176,0.00684931506849315,0.023972602739726026,0.010273972602739725,0.04452054794520548,0.003424657534246575,0.00684931506849315,0.0136986301369863,0.030821917808219176,0.0,0.0273972602739726,0.0,0.03767123287671233,0.003424657534246575,1.0,0.023972602739726026,0.0,0.003424657534246575,0.010273972602739725,0.0,0.02054794520547945,0.03767123287671233,0.0273972602739726,0.017123287671232876,0.0,0.00684931506849315,0.030821917808219176,0.00684931506849315,0.0,0.04794520547945205,0.0
PRDM5 TARGET GENES,0.0,0.023809523809523808,0.031746031746031744,0.023809523809523808,0.023809523809523808,0.007936507936507936,0.0,0.031746031746031744,0.007936507936507936,0.007936507936507936,0.0,0.031746031746031744,0.007936507936507936,0.015873015873015872,0.007936507936507936,0.0,0.0,0.03968253968253968,0.015873015873015872,0.0,0.0,0.031746031746031744,0.007936507936507936,0.05555555555555555,1.0,0.015873015873015872,0.0,0.023809523809523808,0.0,0.007936507936507936,0.03968253968253968,0.015873015873015872,0.0,0.0,0.015873015873015872,0.031746031746031744,0.007936507936507936,0.0,0.023809523809523808,0.0
CTR9 TARGET GENES,0.0,0.02857142857142857,0.02857142857142857,0.04285714285714286,0.02857142857142857,0.0,0.05714285714285714,0.0,0.04285714285714286,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.014285714285714285,0.02857142857142857,0.0,0.0,0.05714285714285714,0.02857142857142857,0.11428571428571428,0.0,0.0,0.0,0.0,0.02857142857142857,1.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,0.02857142857142857,0.014285714285714285
TUBG1 TARGET GENES,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHF21A TARGET GENES,0.024054982817869417,0.061855670103092786,0.024054982817869417,0.010309278350515464,0.020618556701030927,0.024054982817869417,0.054982817869415807,0.048109965635738834,0.010309278350515464,0.061855670103092786,0.006872852233676976,0.027491408934707903,0.0,0.048109965635738834,0.006872852233676976,0.003436426116838488,0.01718213058419244,0.01718213058419244,0.010309278350515464,0.027491408934707903,0.0,0.030927835051546393,0.0,0.010309278350515464,0.010309278350515464,0.006872852233676976,0.0,1.0,0.003436426116838488,0.006872852233676976,0.010309278350515464,0.03436426116838488,0.0,0.0,0.027491408934707903,0.037800687285223365,0.010309278350515464,0.0,0.030927835051546393,0.0
FOXF1 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
TERF2 TARGET GENES,0.014184397163120567,0.02127659574468085,0.0070921985815602835,0.02127659574468085,0.0425531914893617,0.0,0.028368794326241134,0.0,0.0070921985815602835,0.014184397163120567,0.0070921985815602835,0.028368794326241134,0.0,0.0,0.0,0.0,0.0070921985815602835,0.014184397163120567,0.02127659574468085,0.0,0.0,0.03546099290780142,0.0,0.0425531914893617,0.0070921985815602835,0.0,0.0,0.014184397163120567,0.0,1.0,0.3333333333333333,0.028368794326241134,0.0070921985815602835,0.0070921985815602835,0.0,0.0425531914893617,0.0070921985815602835,0.0,0.014184397163120567,0.0
TERF1 TARGET GENES,0.0033444816053511705,0.026755852842809364,0.0033444816053511705,0.016722408026755852,0.033444816053511704,0.0,0.016722408026755852,0.016722408026755852,0.013377926421404682,0.020066889632107024,0.0033444816053511705,0.013377926421404682,0.006688963210702341,0.006688963210702341,0.0,0.013377926421404682,0.016722408026755852,0.026755852842809364,0.016722408026755852,0.010033444816053512,0.0,0.010033444816053512,0.0,0.03678929765886288,0.016722408026755852,0.0,0.0,0.010033444816053512,0.0,0.15719063545150502,1.0,0.023411371237458192,0.0033444816053511705,0.0033444816053511705,0.010033444816053512,0.023411371237458192,0.0,0.0033444816053511705,0.030100334448160536,0.0033444816053511705
HAND1 TARGET GENES,0.002028397565922921,0.04665314401622718,0.006085192697768763,0.02636916835699797,0.030425963488843813,0.016227180527383367,0.036511156186612576,0.02028397565922921,0.008113590263691683,0.05273833671399594,0.008113590263691683,0.032454361054766734,0.004056795131845842,0.05476673427991886,0.008113590263691683,0.004056795131845842,0.018255578093306288,0.02636916835699797,0.012170385395537525,0.02028397565922921,0.0,0.028397565922920892,0.0,0.016227180527383367,0.004056795131845842,0.004056795131845842,0.004056795131845842,0.02028397565922921,0.0,0.008113590263691683,0.014198782961460446,1.0,0.016227180527383367,0.002028397565922921,0.008113590263691683,0.02636916835699797,0.002028397565922921,0.004056795131845842,0.006085192697768763,0.0
HOXA13 TARGET GENES,0.0,0.03571428571428571,0.017857142857142856,0.0,0.017857142857142856,0.0,0.10714285714285714,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.0,0.08928571428571429,0.0,0.0,0.0,0.0,0.07142857142857142,0.017857142857142856,0.0,0.08928571428571429,0.0,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.017857142857142856,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
LHX4 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.0,1.0,0.25,0.125,0.0,0.0,0.0,0.0
ZNF512B TARGET GENES,0.0,0.0625,0.004464285714285714,0.017857142857142856,0.03571428571428571,0.03125,0.07142857142857142,0.049107142857142856,0.017857142857142856,0.09821428571428571,0.022321428571428572,0.03571428571428571,0.0,0.04017857142857143,0.013392857142857142,0.008928571428571428,0.0625,0.013392857142857142,0.0,0.022321428571428572,0.0,0.022321428571428572,0.0,0.008928571428571428,0.008928571428571428,0.004464285714285714,0.0,0.03571428571428571,0.004464285714285714,0.0,0.013392857142857142,0.017857142857142856,0.0,0.008928571428571428,1.0,0.022321428571428572,0.013392857142857142,0.008928571428571428,0.09375,0.008928571428571428
EBNA1BP2 TARGET GENES,0.0026041666666666665,0.026041666666666668,0.010416666666666666,0.013020833333333334,0.015625,0.0078125,0.026041666666666668,0.015625,0.0078125,0.026041666666666668,0.010416666666666666,0.015625,0.0,0.0390625,0.0026041666666666665,0.0026041666666666665,0.015625,0.028645833333333332,0.005208333333333333,0.026041666666666668,0.0,0.020833333333333332,0.0,0.0234375,0.010416666666666666,0.0026041666666666665,0.0,0.028645833333333332,0.0,0.015625,0.018229166666666668,0.033854166666666664,0.0,0.0026041666666666665,0.013020833333333334,1.0,0.010416666666666666,0.0026041666666666665,0.036458333333333336,0.0
PAF1 TARGET GENES,0.02631578947368421,0.02631578947368421,0.039473684210526314,0.0,0.05263157894736842,0.05263157894736842,0.039473684210526314,0.013157894736842105,0.0,0.05263157894736842,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.013157894736842105,0.0,0.05263157894736842,0.0,0.0,0.0,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.0,0.039473684210526314,0.0,0.013157894736842105,0.0,0.013157894736842105,0.0,0.0,0.039473684210526314,0.05263157894736842,1.0,0.05263157894736842,0.013157894736842105,0.0
NR5A1 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.10526315789473684,0.05263157894736842,0.21052631578947367,1.0,0.05263157894736842,0.0
LCORL TARGET GENES,0.002150537634408602,0.023655913978494623,0.01935483870967742,0.017204301075268817,0.05591397849462366,0.012903225806451613,0.025806451612903226,0.034408602150537634,0.015053763440860216,0.03225806451612903,0.0064516129032258064,0.021505376344086023,0.004301075268817204,0.034408602150537634,0.004301075268817204,0.010752688172043012,0.01935483870967742,0.02795698924731183,0.015053763440860216,0.017204301075268817,0.0,0.008602150537634409,0.002150537634408602,0.030107526881720432,0.0064516129032258064,0.004301075268817204,0.0,0.01935483870967742,0.0,0.004301075268817204,0.01935483870967742,0.0064516129032258064,0.004301075268817204,0.0,0.04516129032258064,0.030107526881720432,0.002150537634408602,0.002150537634408602,1.0,0.01935483870967742
ZNF491 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,1.0,1.0
