Pathway,MED16 TARGET GENES,NR0B1 TARGET GENES,MED25 TARGET GENES,TBX1 TARGET GENES,NR1H4 TARGET GENES,CHAF1A TARGET GENES,EPC1 TARGET GENES,TSHZ1 TARGET GENES,TBPL1 TARGET GENES,NFXL1 TARGET GENES,ZNF746 TARGET GENES,SIX1 TARGET GENES,SIX4 TARGET GENES,TAFAZZIN TARGET GENES,ZNF16 TARGET GENES,FOXC1 TARGET GENES,PHB2 TARGET GENES,SOX10 TARGET GENES,FOXR2 TARGET GENES,PSMB5 TARGET GENES,ZNF445 TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",ZNF23 TARGET GENES,DLX2 TARGET GENES,PRDM5 TARGET GENES,CTR9 TARGET GENES,TUBG1 TARGET GENES,PHF21A TARGET GENES,FOXF1 TARGET GENES,TERF2 TARGET GENES,TERF1 TARGET GENES,HAND1 TARGET GENES,HOXA13 TARGET GENES,LHX4 TARGET GENES,ZNF512B TARGET GENES,EBNA1BP2 TARGET GENES,PAF1 TARGET GENES,NR5A1 TARGET GENES,LCORL TARGET GENES,ZNF491 TARGET GENES
MED16 TARGET GENES,1.0,0.2765957446808511,0.2765957446808511,0.10638297872340426,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.19148936170212766,0.02127659574468085,0.0425531914893617,0.0,0.02127659574468085,0.0,0.06382978723404255,0.0,0.0,0.10638297872340426,0.0851063829787234,0.0,0.14893617021276595,0.0,0.10638297872340426,0.02127659574468085,0.06382978723404255,0.0,0.0,0.0,0.14893617021276595,0.0,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.02127659574468085,0.0425531914893617,0.0,0.02127659574468085,0.0
NR0B1 TARGET GENES,0.03430079155672823,1.0,0.044854881266490766,0.0395778364116095,0.0395778364116095,0.04221635883905013,0.052770448548812667,0.05013192612137203,0.0079155672823219,0.0633245382585752,0.018469656992084433,0.05013192612137203,0.010554089709762533,0.08179419525065963,0.005277044854881266,0.005277044854881266,0.010554089709762533,0.021108179419525065,0.0158311345646438,0.05013192612137203,0.0,0.052770448548812667,0.002638522427440633,0.021108179419525065,0.0079155672823219,0.005277044854881266,0.005277044854881266,0.047493403693931395,0.0,0.0079155672823219,0.021108179419525065,0.06068601583113457,0.005277044854881266,0.0,0.036939313984168866,0.026385224274406333,0.005277044854881266,0.0,0.029023746701846966,0.0
MED25 TARGET GENES,0.09154929577464789,0.11971830985915492,1.0,0.09859154929577464,0.06338028169014084,0.028169014084507043,0.028169014084507043,0.07042253521126761,0.014084507042253521,0.07746478873239436,0.007042253521126761,0.014084507042253521,0.0,0.08450704225352113,0.007042253521126761,0.007042253521126761,0.02112676056338028,0.035211267605633804,0.0,0.11267605633802817,0.0,0.02112676056338028,0.0,0.11971830985915492,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.04929577464788732,0.0,0.007042253521126761,0.007042253521126761,0.02112676056338028,0.007042253521126761,0.0,0.007042253521126761,0.028169014084507043,0.02112676056338028,0.0,0.06338028169014084,0.0
TBX1 TARGET GENES,0.020161290322580645,0.06048387096774194,0.056451612903225805,1.0,0.04032258064516129,0.016129032258064516,0.04032258064516129,0.04032258064516129,0.028225806451612902,0.020161290322580645,0.004032258064516129,0.03225806451612903,0.004032258064516129,0.06451612903225806,0.012096774193548387,0.004032258064516129,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.004032258064516129,0.05241935483870968,0.012096774193548387,0.012096774193548387,0.0,0.012096774193548387,0.0,0.012096774193548387,0.020161290322580645,0.05241935483870968,0.0,0.0,0.016129032258064516,0.020161290322580645,0.0,0.0,0.03225806451612903,0.0
NR1H4 TARGET GENES,0.006896551724137931,0.034482758620689655,0.020689655172413793,0.022988505747126436,1.0,0.016091954022988506,0.013793103448275862,0.020689655172413793,0.01839080459770115,0.029885057471264367,0.004597701149425287,0.03218390804597701,0.006896551724137931,0.04827586206896552,0.009195402298850575,0.0022988505747126436,0.020689655172413793,0.013793103448275862,0.009195402298850575,0.02528735632183908,0.0,0.016091954022988506,0.0022988505747126436,0.0367816091954023,0.006896551724137931,0.004597701149425287,0.0,0.013793103448275862,0.0,0.013793103448275862,0.022988505747126436,0.034482758620689655,0.0022988505747126436,0.0,0.01839080459770115,0.013793103448275862,0.009195402298850575,0.0,0.059770114942528735,0.0
CHAF1A TARGET GENES,0.030612244897959183,0.16326530612244897,0.04081632653061224,0.04081632653061224,0.07142857142857142,1.0,0.04081632653061224,0.07142857142857142,0.030612244897959183,0.061224489795918366,0.0,0.030612244897959183,0.0,0.02040816326530612,0.01020408163265306,0.0,0.030612244897959183,0.01020408163265306,0.01020408163265306,0.05102040816326531,0.0,0.01020408163265306,0.0,0.02040816326530612,0.01020408163265306,0.0,0.0,0.07142857142857142,0.01020408163265306,0.0,0.0,0.08163265306122448,0.0,0.0,0.07142857142857142,0.030612244897959183,0.04081632653061224,0.02040816326530612,0.061224489795918366,0.0
EPC1 TARGET GENES,0.007633587786259542,0.05089058524173028,0.010178117048346057,0.02544529262086514,0.015267175572519083,0.010178117048346057,1.0,0.04580152671755725,0.02544529262086514,0.022900763358778626,0.007633587786259542,0.017811704834605598,0.005089058524173028,0.02544529262086514,0.0,0.002544529262086514,0.007633587786259542,0.007633587786259542,0.03816793893129771,0.04580152671755725,0.0,0.027989821882951654,0.0,0.02544529262086514,0.0,0.010178117048346057,0.0,0.04071246819338423,0.0,0.010178117048346057,0.01272264631043257,0.04580152671755725,0.015267175572519083,0.002544529262086514,0.04071246819338423,0.02544529262086514,0.007633587786259542,0.002544529262086514,0.030534351145038167,0.005089058524173028
TSHZ1 TARGET GENES,0.037815126050420166,0.07983193277310924,0.04201680672268908,0.04201680672268908,0.037815126050420166,0.029411764705882353,0.07563025210084033,1.0,0.04201680672268908,0.03361344537815126,0.008403361344537815,0.06302521008403361,0.02100840336134454,0.046218487394957986,0.012605042016806723,0.012605042016806723,0.025210084033613446,0.02100840336134454,0.012605042016806723,0.025210084033613446,0.0,0.029411764705882353,0.004201680672268907,0.07563025210084033,0.01680672268907563,0.0,0.0,0.058823529411764705,0.0,0.0,0.02100840336134454,0.04201680672268908,0.008403361344537815,0.0,0.046218487394957986,0.025210084033613446,0.004201680672268907,0.0,0.06722689075630252,0.004201680672268907
TBPL1 TARGET GENES,0.0044444444444444444,0.013333333333333334,0.008888888888888889,0.03111111111111111,0.035555555555555556,0.013333333333333334,0.044444444444444446,0.044444444444444446,1.0,0.008888888888888889,0.0,0.017777777777777778,0.0,0.022222222222222223,0.0044444444444444444,0.0044444444444444444,0.013333333333333334,0.04,0.02666666666666667,0.02666666666666667,0.0,0.02666666666666667,0.0,0.03111111111111111,0.0044444444444444444,0.013333333333333334,0.0,0.013333333333333334,0.0,0.0044444444444444444,0.017777777777777778,0.017777777777777778,0.0,0.0044444444444444444,0.017777777777777778,0.013333333333333334,0.0,0.008888888888888889,0.03111111111111111,0.0
NFXL1 TARGET GENES,0.004228329809725159,0.0507399577167019,0.023255813953488372,0.010570824524312896,0.02748414376321353,0.012684989429175475,0.019027484143763214,0.016913319238900635,0.004228329809725159,1.0,0.02536997885835095,0.02536997885835095,0.0021141649048625794,0.048625792811839326,0.008456659619450317,0.008456659619450317,0.03805496828752643,0.010570824524312896,0.010570824524312896,0.042283298097251586,0.0021141649048625794,0.019027484143763214,0.0021141649048625794,0.019027484143763214,0.0021141649048625794,0.004228329809725159,0.0021141649048625794,0.03805496828752643,0.0021141649048625794,0.004228329809725159,0.012684989429175475,0.05496828752642706,0.0,0.0021141649048625794,0.046511627906976744,0.021141649048625793,0.008456659619450317,0.0021141649048625794,0.03171247357293869,0.0
