Pathway,MITOTIC SPINDLE,G2M CHECKPOINT,MTORC1 SIGNALING,PI3K AKT MTOR SIGNALING,MYC TARGETS V2,UNFOLDED PROTEIN RESPONSE,HEME METABOLISM,UV RESPONSE DN,HYPOXIA,ANDROGEN RESPONSE,ESTROGEN RESPONSE EARLY,APICAL JUNCTION,MYOGENESIS
MITOTIC SPINDLE,1.0,0.19597989949748743,0.020100502512562814,0.020100502512562814,0.005025125628140704,0.010050251256281407,0.01507537688442211,0.02512562814070352,0.005025125628140704,0.005025125628140704,0.01507537688442211,0.07035175879396985,0.020100502512562814
G2M CHECKPOINT,0.195,1.0,0.045,0.02,0.03,0.03,0.015,0.045,0.015,0.005,0.015,0.01,0.01
MTORC1 SIGNALING,0.02,0.045,1.0,0.105,0.045,0.085,0.05,0.035,0.155,0.055,0.05,0.02,0.025
PI3K AKT MTOR SIGNALING,0.0380952380952381,0.0380952380952381,0.2,1.0,0.009523809523809525,0.02857142857142857,0.01904761904761905,0.02857142857142857,0.06666666666666667,0.01904761904761905,0.02857142857142857,0.05714285714285714,0.02857142857142857
MYC TARGETS V2,0.017241379310344827,0.10344827586206896,0.15517241379310345,0.017241379310344827,1.0,0.08620689655172414,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.05172413793103448,0.05172413793103448,0.0,0.0
UNFOLDED PROTEIN RESPONSE,0.017699115044247787,0.05309734513274336,0.1504424778761062,0.02654867256637168,0.04424778761061947,1.0,0.008849557522123894,0.0,0.07079646017699115,0.017699115044247787,0.04424778761061947,0.008849557522123894,0.017699115044247787
HEME METABOLISM,0.015,0.015,0.05,0.01,0.005,0.005,1.0,0.01,0.035,0.02,0.02,0.005,0.015
UV RESPONSE DN,0.034722222222222224,0.0625,0.04861111111111111,0.020833333333333332,0.006944444444444444,0.0,0.013888888888888888,1.0,0.10416666666666667,0.034722222222222224,0.04861111111111111,0.0625,0.027777777777777776
HYPOXIA,0.005,0.015,0.155,0.035,0.005,0.04,0.035,0.075,1.0,0.015,0.065,0.02,0.065
ANDROGEN RESPONSE,0.009900990099009901,0.009900990099009901,0.10891089108910891,0.019801980198019802,0.0297029702970297,0.019801980198019802,0.039603960396039604,0.04950495049504951,0.0297029702970297,1.0,0.0891089108910891,0.0297029702970297,0.019801980198019802
ESTROGEN RESPONSE EARLY,0.015,0.015,0.05,0.015,0.015,0.025,0.02,0.035,0.065,0.045,1.0,0.015,0.05
APICAL JUNCTION,0.07,0.01,0.02,0.03,0.0,0.005,0.005,0.045,0.02,0.015,0.015,1.0,0.06
MYOGENESIS,0.02,0.01,0.025,0.015,0.0,0.01,0.015,0.02,0.065,0.01,0.05,0.06,1.0
