"Dataset","Source","Sample_ID","Cohort","Type","Is_TCGA_Barcode_Like"
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_06BR006","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_06BR014","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_09BR001","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_09BR004","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_09BR005","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_09BR007","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR003","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR004","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR006","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR009","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR010","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR011","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR012","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR013","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR014","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR015","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR016","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR017","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR018","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR019","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR020","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR022","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR023","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR024","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR025","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR027","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR028","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR030","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR031","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR032","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR036","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR038","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR040","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR042","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR043","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR044","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR047","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR049","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR050","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR051","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR053","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR054","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR055","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR056","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR058","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR059","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR060","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR072","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR073","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR074","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR075","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_11BR080","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_13BR009","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_14BR005","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_14BR008","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_14BR014","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_15BR003","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_16BR012","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_18BR002","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_18BR003","BRCA","Tumor",FALSE
"CPTAC","bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA_18BR004","BRCA","Tumor",FALSE
