"Source","Cohort","Type","Is_TCGA_Barcode_Like","Unique_Samples"
"bulk_data/CPTAC_Omics_Split/ATF3_cptac.qs","BRCA","Tumor",FALSE,122
"bulk_data/CPTAC_Omics_Split/ATF3_cptac.qs","CCRCC","Tumor",FALSE,103
"bulk_data/CPTAC_Omics_Split/ATF3_cptac.qs","COAD","Tumor",FALSE,109
"bulk_data/CPTAC_Omics_Split/ATF3_cptac.qs","GBM","Tumor",FALSE,99
"bulk_data/CPTAC_Omics_Split/ATF3_cptac.qs","HNSCC","Tumor",FALSE,108
"bulk_data/CPTAC_Omics_Split/ATF3_cptac.qs","LUAD","Tumor",FALSE,110
"bulk_data/CPTAC_Omics_Split/ATF3_cptac.qs","LUSC","Tumor",FALSE,108
"bulk_data/CPTAC_Omics_Split/ATF3_cptac.qs","OV","Tumor",FALSE,83
"bulk_data/CPTAC_Omics_Split/ATF3_cptac.qs","PDAC","Tumor",FALSE,105
"bulk_data/CPTAC_Omics_Split/ATF3_cptac.qs","UCEC","Tumor",FALSE,95
"bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","BRCA","Tumor",FALSE,122
"bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","CCRCC","Tumor",FALSE,103
"bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","COAD","Tumor",FALSE,109
"bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","GBM","Tumor",FALSE,99
"bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","HNSCC","Tumor",FALSE,108
"bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","LUAD","Tumor",FALSE,110
"bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","LUSC","Tumor",FALSE,108
"bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","OV","Tumor",FALSE,83
"bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","PDAC","Tumor",FALSE,105
"bulk_data/LinkedOmicsKB_PanCancer_Clin.qs","UCEC","Tumor",FALSE,95
"raw_linkedomics_text/BRCA_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt","BRCA","Tumor_from_filename",FALSE,122
"raw_linkedomics_text/BRCA_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt","BRCA","Tumor_from_filename",FALSE,121
"raw_linkedomics_text/CCRCC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt","CCRCC","Tumor_from_filename",FALSE,103
"raw_linkedomics_text/CCRCC_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt","CCRCC","Tumor_from_filename",FALSE,103
"raw_linkedomics_text/COAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt","COAD","Tumor_from_filename",FALSE,97
"raw_linkedomics_text/COAD_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt","COAD","Tumor_from_filename",FALSE,106
"raw_linkedomics_text/GBM_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt","GBM","Tumor_from_filename",FALSE,99
"raw_linkedomics_text/GBM_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt","GBM","Tumor_from_filename",FALSE,99
"raw_linkedomics_text/HNSCC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt","HNSCC","Tumor_from_filename",FALSE,108
"raw_linkedomics_text/HNSCC_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt","HNSCC","Tumor_from_filename",FALSE,108
"raw_linkedomics_text/LSCC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt","LSCC","Tumor_from_filename",FALSE,108
"raw_linkedomics_text/LSCC_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt","LSCC","Tumor_from_filename",FALSE,108
"raw_linkedomics_text/LUAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt","LUAD","Tumor_from_filename",FALSE,110
"raw_linkedomics_text/LUAD_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt","LUAD","Tumor_from_filename",FALSE,110
"raw_linkedomics_text/OV_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt","OV","Tumor_from_filename",FALSE,83
"raw_linkedomics_text/OV_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt","OV","Tumor_from_filename",FALSE,82
"raw_linkedomics_text/PDAC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt","PDAC","Tumor_from_filename",FALSE,105
"raw_linkedomics_text/PDAC_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt","PDAC","Tumor_from_filename",FALSE,105
"raw_linkedomics_text/UCEC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt","UCEC","Tumor_from_filename",FALSE,95
"raw_linkedomics_text/UCEC_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt","UCEC","Tumor_from_filename",FALSE,95
