"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","SP3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","3","GTEx--Coexpression(rank=638); Enrichr--Queries(rank=1173); ARCHS4--Coexpression(rank=1230)","1099","rank=2; score=4.9395; p=1.1495e-05","rank=1; score=5.1263; p=7.4771e-06"
"2","TFAP2A","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.0","2","6","ENCODE--ChIP-seq(rank=47); GTEx--Coexpression(rank=78); Literature--ChIP-seq(rank=127); ReMap--ChIP-seq(rank=135); ARCHS4--Coexpression(rank=278); Enrichr--Queries(rank=321)","193","rank=10; score=3.0231; p=0.0009481","rank=2; score=4.3347; p=4.6273e-05"
"3","VDR","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.5","9","5","ARCHS4--Coexpression(rank=20); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=51); GTEx--Coexpression(rank=133); Enrichr--Queries(rank=195)","48","rank=9; score=3.0524; p=0.00088626","rank=10; score=3.0062; p=0.00098587"
"4","E2F1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","8","6","ENCODE--ChIP-seq(rank=111); Literature--ChIP-seq(rank=132); ReMap--ChIP-seq(rank=211); Enrichr--Queries(rank=1273); GTEx--Coexpression(rank=1427); ARCHS4--Coexpression(rank=1463)","1519","rank=12; score=2.9926; p=0.0010171","rank=8; score=3.0788; p=0.00083398"
"5","STAT1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","9","6","ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=13); ARCHS4--Coexpression(rank=52); Literature--ChIP-seq(rank=131); Enrichr--Queries(rank=215); GTEx--Coexpression(rank=1003)","126","rank=11; score=3.0015; p=0.00099658","rank=9; score=3.0495; p=0.00089238"
"6","ETS1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","7","6","ENCODE--ChIP-seq(rank=26); GTEx--Coexpression(rank=111); ReMap--ChIP-seq(rank=157); Literature--ChIP-seq(rank=158); Enrichr--Queries(rank=160); ARCHS4--Coexpression(rank=352)","264","rank=14; score=2.8373; p=0.0014544","rank=7; score=3.2094; p=0.00061744"
"7","FOSL2","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","7","5","ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=16); Enrichr--Queries(rank=106); GTEx--Coexpression(rank=171); ARCHS4--Coexpression(rank=209)","212","rank=7; score=3.1751; p=0.00066822","rank=14; score=2.6259; p=0.0023667"
"8","PAX5","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.5","5","5","ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=200); Enrichr--Queries(rank=890); GTEx--Coexpression(rank=1010); ARCHS4--Coexpression(rank=1098)","1271","rank=18; score=2.4788; p=0.0033208","rank=5; score=3.2829; p=0.00052133"
"9","ATF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.5","6","4","ReMap--ChIP-seq(rank=30); GTEx--Coexpression(rank=223); Enrichr--Queries(rank=926); ARCHS4--Coexpression(rank=1419)","368","rank=6; score=3.7684; p=0.00017046","rank=21; score=2.4286; p=0.003727"
"10","FOXO3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.0","5","4","Literature--ChIP-seq(rank=16); Enrichr--Queries(rank=635); GTEx--Coexpression(rank=685); ARCHS4--Coexpression(rank=1089)","357","rank=5; score=4.2104; p=6.1596e-05","rank=23; score=2.3899; p=0.004075"
