Pathway,TRIPHALANGEAL THUMB,ABNORMAL THUMB MORPHOLOGY,ABNORMALITY OF THUMB PHALANX,ABSENT THUMB,APLASIA HYPOPLASIA OF THE THUMB,MYELODYSPLASIA,ABNORMAL FOREARM MORPHOLOGY,APLASIA HYPOPLASIA OF THE RADIUS,ABNORMAL UPPER LIMB BONE MORPHOLOGY,LIMB UNDERGROWTH,ABNORMAL FEMUR MORPHOLOGY,CHOANAL ATRESIA,RENAL HYPOPLASIA APLASIA,ABNORMAL PREPUTIUM MORPHOLOGY,ABNORMAL SOFT PALATE MORPHOLOGY,ABNORMAL UVULA MORPHOLOGY,APLASIA HYPOPLASIA OF THE UVULA,MICROPHTHALMIA,ABSENT TESTIS,FINGER CLINODACTYLY,SMALL INTESTINAL STENOSIS,MECKEL DIVERTICULUM,ABNORMALITY OF CHROMOSOME STABILITY,CHROMOSOME BREAKAGE,ABNORMAL SIZE OF THE PALPEBRAL FISSURES,NEURAL TUBE DEFECT,TRACHEOESOPHAGEAL FISTULA,JOINT DISLOCATION,CLUBBING OF TOES,SLOPING FOREHEAD,UPSLANTED PALPEBRAL FISSURE,ABNORMAL LOCALIZATION OF KIDNEY,HORSESHOE KIDNEY,RENAL INSUFFICIENCY,SIDEROBLASTIC ANEMIA,"FUNCTIONAL ABNORMALITY OF MALE INTERNAL
GENITALIA",PROTRUDING EAR,SPARSE OR ABSENT EYELASHES,ABNORMAL SCALP MORPHOLOGY,SCARRING
TRIPHALANGEAL THUMB,1.0,1.0,1.0,0.6388888888888888,0.7638888888888888,0.6805555555555556,0.5,0.4861111111111111,0.5694444444444444,0.4722222222222222,0.375,0.4583333333333333,0.8333333333333334,0.3194444444444444,0.8472222222222222,0.4722222222222222,0.3194444444444444,0.4027777777777778,0.3194444444444444,0.4722222222222222,0.3194444444444444,0.3194444444444444,0.3194444444444444,0.25,0.4166666666666667,0.4861111111111111,0.3333333333333333,0.4166666666666667,0.3194444444444444,0.3472222222222222,0.3472222222222222,0.7777777777777778,0.5,0.3611111111111111,0.3194444444444444,0.3333333333333333,0.027777777777777776,0.041666666666666664,0.5416666666666666,0.041666666666666664
ABNORMAL THUMB MORPHOLOGY,0.17777777777777778,1.0,0.5135802469135803,0.14320987654320988,0.36790123456790125,0.1308641975308642,0.32839506172839505,0.16296296296296298,0.5802469135802469,0.28641975308641976,0.22962962962962963,0.13333333333333333,0.3333333333333333,0.0691358024691358,0.291358024691358,0.20246913580246914,0.06666666666666667,0.22962962962962963,0.06172839506172839,0.4123456790123457,0.05925925925925926,0.07160493827160494,0.06419753086419754,0.04938271604938271,0.28641975308641976,0.2962962962962963,0.11851851851851852,0.3654320987654321,0.05925925925925926,0.1654320987654321,0.23950617283950618,0.2691358024691358,0.1382716049382716,0.2123456790123457,0.056790123456790124,0.12345679012345678,0.18518518518518517,0.037037037037037035,0.30864197530864196,0.04197530864197531
ABNORMALITY OF THUMB PHALANX,0.34615384615384615,1.0,1.0,0.25,0.5096153846153846,0.2403846153846154,0.3894230769230769,0.23076923076923078,0.7932692307692307,0.39903846153846156,0.32211538461538464,0.22596153846153846,0.40384615384615385,0.1201923076923077,0.4423076923076923,0.28365384615384615,0.125,0.2644230769230769,0.11538461538461539,0.4807692307692308,0.11057692307692307,0.1346153846153846,0.1201923076923077,0.09134615384615384,0.34134615384615385,0.3125,0.125,0.3605769230769231,0.11538461538461539,0.16346153846153846,0.34615384615384615,0.34615384615384615,0.21153846153846154,0.20673076923076922,0.11057692307692307,0.14423076923076922,0.125,0.03365384615384615,0.4230769230769231,0.038461538461538464
ABSENT THUMB,0.7931034482758621,1.0,0.896551724137931,1.0,1.0,0.7241379310344828,0.4827586206896552,0.4827586206896552,0.5517241379310345,0.5,0.3275862068965517,0.3620689655172414,0.8275862068965517,0.25862068965517243,0.8448275862068966,0.39655172413793105,0.25862068965517243,0.39655172413793105,0.25862068965517243,0.3793103448275862,0.25862068965517243,0.27586206896551724,0.25862068965517243,0.22413793103448276,0.3275862068965517,0.3620689655172414,0.25862068965517243,0.39655172413793105,0.25862068965517243,0.25862068965517243,0.3448275862068966,0.8448275862068966,0.6551724137931034,0.25862068965517243,0.25862068965517243,0.27586206896551724,0.05172413793103448,0.1206896551724138,0.5862068965517241,0.05172413793103448
APLASIA HYPOPLASIA OF THE THUMB,0.3691275167785235,1.0,0.7114093959731543,0.38926174496644295,1.0,0.3087248322147651,0.5302013422818792,0.3288590604026846,0.6912751677852349,0.4563758389261745,0.3288590604026846,0.26174496644295303,0.4899328859060403,0.1342281879194631,0.5033557046979866,0.2953020134228188,0.12080536912751678,0.2684563758389262,0.12080536912751678,0.5100671140939598,0.12080536912751678,0.1476510067114094,0.12751677852348994,0.10738255033557047,0.2953020134228188,0.31543624161073824,0.14093959731543623,0.42953020134228187,0.12080536912751678,0.1610738255033557,0.28859060402684567,0.4429530201342282,0.2953020134228188,0.2214765100671141,0.12080536912751678,0.1476510067114094,0.1610738255033557,0.06711409395973154,0.5167785234899329,0.06040268456375839
MYELODYSPLASIA,0.4224137931034483,0.45689655172413796,0.43103448275862066,0.3620689655172414,0.39655172413793105,1.0,0.27586206896551724,0.22413793103448276,0.29310344827586204,0.25862068965517243,0.28448275862068967,0.21551724137931033,0.47413793103448276,0.20689655172413793,0.4396551724137931,0.22413793103448276,0.19827586206896552,0.27586206896551724,0.19827586206896552,0.3017241379310345,0.19827586206896552,0.19827586206896552,0.23275862068965517,0.1810344827586207,0.2413793103448276,0.25862068965517243,0.23275862068965517,0.22413793103448276,0.19827586206896552,0.25862068965517243,0.23275862068965517,0.47413793103448276,0.3103448275862069,0.23275862068965517,0.20689655172413793,0.22413793103448276,0.04310344827586207,0.0603448275862069,0.3448275862068966,0.02586206896551724
ABNORMAL FOREARM MORPHOLOGY,0.1506276150627615,0.5564853556485355,0.3389121338912134,0.11715481171548117,0.3305439330543933,0.13389121338912133,1.0,0.3514644351464435,0.9874476987447699,0.502092050209205,0.41841004184100417,0.18828451882845187,0.3305439330543933,0.09623430962343096,0.2594142259414226,0.2217573221757322,0.10460251046025104,0.17154811715481172,0.09623430962343096,0.5564853556485355,0.100418410041841,0.1087866108786611,0.09623430962343096,0.07531380753138076,0.3389121338912134,0.3514644351464435,0.19246861924686193,0.5983263598326359,0.09623430962343096,0.1297071129707113,0.22594142259414227,0.3389121338912134,0.1297071129707113,0.2594142259414226,0.09623430962343096,0.20502092050209206,0.18828451882845187,0.0502092050209205,0.30962343096234307,0.06276150627615062
APLASIA HYPOPLASIA OF THE RADIUS,0.4166666666666667,0.7857142857142857,0.5714285714285714,0.3333333333333333,0.5833333333333334,0.30952380952380953,1.0,1.0,1.0,0.8095238095238095,0.5238095238095238,0.40476190476190477,0.5238095238095238,0.27380952380952384,0.47619047619047616,0.4166666666666667,0.2976190476190476,0.38095238095238093,0.27380952380952384,0.5714285714285714,0.27380952380952384,0.30952380952380953,0.27380952380952384,0.21428571428571427,0.4166666666666667,0.4880952380952381,0.3333333333333333,0.6547619047619048,0.27380952380952384,0.30952380952380953,0.36904761904761907,0.5357142857142857,0.23809523809523808,0.30952380952380953,0.27380952380952384,0.32142857142857145,0.13095238095238096,0.047619047619047616,0.20238095238095238,0.023809523809523808
ABNORMAL UPPER LIMB BONE MORPHOLOGY,0.0876068376068376,0.5021367521367521,0.3525641025641026,0.06837606837606838,0.22008547008547008,0.07264957264957266,0.5042735042735043,0.1794871794871795,1.0,0.358974358974359,0.3418803418803419,0.12606837606837606,0.25427350427350426,0.05555555555555555,0.19230769230769232,0.1581196581196581,0.057692307692307696,0.18162393162393162,0.053418803418803416,0.4444444444444444,0.05128205128205128,0.06196581196581197,0.05982905982905983,0.04487179487179487,0.27564102564102566,0.2692307692307692,0.10256410256410256,0.3952991452991453,0.053418803418803416,0.09829059829059829,0.20512820512820512,0.21153846153846154,0.08974358974358974,0.19017094017094016,0.049145299145299144,0.12179487179487179,0.16025641025641027,0.05555555555555555,0.2692307692307692,0.049145299145299144
LIMB UNDERGROWTH,0.13654618473895583,0.46586345381526106,0.3333333333333333,0.11646586345381527,0.27309236947791166,0.12048192771084337,0.4819277108433735,0.27309236947791166,0.6746987951807228,1.0,0.4457831325301205,0.1686746987951807,0.30120481927710846,0.09236947791164658,0.24096385542168675,0.20481927710843373,0.10843373493975904,0.24096385542168675,0.0963855421686747,0.40160642570281124,0.09236947791164658,0.10441767068273092,0.10441767068273092,0.07630522088353414,0.27309236947791166,0.28112449799196787,0.10441767068273092,0.39357429718875503,0.09236947791164658,0.14859437751004015,0.24899598393574296,0.22088353413654618,0.11244979919678715,0.24497991967871485,0.09236947791164658,0.13253012048192772,0.08433734939759036,0.04819277108433735,0.18875502008032127,0.040160642570281124
