"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.666666666666667","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=1336); Enrichr--Queries(rank=1369); GTEx--Coexpression(rank=1525)","35","rank=1; score=36.668; p=0.00012026; adjP=0.012267","rank=3; score=2.3382; p=0.0045902","rank=1; score=6.8052; p=1.0093e-11; direction=Repressed"
"2","IRF9","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.333333333333332","9","4","Enrichr--Queries(rank=35); GTEx--Coexpression(rank=97); ARCHS4--Coexpression(rank=100); ReMap--ChIP-seq(rank=237)","108","rank=49; score=40.795; p=0.022523; adjP=0.44763","rank=9; score=1.6474; p=0.022523","rank=12; score=2.7167; p=0.0065937; direction=Activated"
"3","SP3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.333333333333332","8","3","GTEx--Coexpression(rank=1068); Enrichr--Queries(rank=1199); ARCHS4--Coexpression(rank=1309)","1494","rank=48; score=9.5338; p=0.021083; adjP=0.44763","rank=8; score=1.6761; p=0.021083","rank=38; score=2.3873; p=0.016974; direction=Activated"
"4","CIITA","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","43.333333333333336","5","0","",NA,"rank=104; score=9.4165; p=0.06571; adjP=0.51938","rank=21; score=1.1824; p=0.06571","rank=5; score=3.071; p=0.0021332; direction=Activated"
"5","FOXM1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.666666666666671","11","6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=11); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=1448)","5","rank=14; score=41.684; p=1.7416e-05; adjP=0.003222","rank=109; score=0.39162; p=0.40586","rank=11; score=2.7391; p=0.00616; direction=Repressed"
"6","RUNX1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.000000000000000","12","5","ReMap--ChIP-seq(rank=27); Literature--ChIP-seq(rank=40); Enrichr--Queries(rank=125); GTEx--Coexpression(rank=758); ARCHS4--Coexpression(rank=973)","367","rank=57; score=12.391; p=0.0054659; adjP=0.10919","rank=12; score=1.4984; p=0.031742","rank=84; score=1.8334; p=0.066748; direction=Activated"
"7","RFXANK","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","54.666666666666664","22","0","",NA,"rank=109; score=12.95; p=0.073548; adjP=0.51938","rank=22; score=1.1334; p=0.073548","rank=33; score=2.5128; p=0.011977; direction=Activated"
"8","RFX5","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.333333333333336","30","5","ENCODE--ChIP-seq(rank=52); GTEx--Coexpression(rank=189); ReMap--ChIP-seq(rank=206); Enrichr--Queries(rank=383); ARCHS4--Coexpression(rank=1129)","467","rank=88; score=9.2384; p=0.10108; adjP=0.51938","rank=30; score=0.99533; p=0.10108","rank=54; score=2.0574; p=0.03965; direction=Activated"
"9","RFXAP","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","61.000000000000000","23","0","",NA,"rank=111; score=12.95; p=0.073548; adjP=0.51938","rank=23; score=1.1334; p=0.073548","rank=49; score=2.135; p=0.032757; direction=Activated"
"10","REST","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.333333333333336","9","6","ENCODE--ChIP-seq(rank=43); Literature--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=127); GTEx--Coexpression(rank=359); Enrichr--Queries(rank=1256); ARCHS4--Coexpression(rank=1392)","777","rank=105; score=12.95; p=0.073548; adjP=0.51938","rank=73; score=0.60025; p=0.25105","rank=9; score=2.7483; p=0.0059899; direction=Activated"
