"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","MAFF","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;ENRICHR","31.66666666666667","25","5","Enrichr--Queries(rank=13); ENCODE--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=131); GTEx--Coexpression(rank=206); ARCHS4--Coexpression(rank=1620)","43","rank=25; score=1.8808; p=0.013157","rank=43; score=0.009259","rank=27; score=2.9804; direction=Activated"
"2","RUNX2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.00000000000000","13","5","Enrichr--Queries(rank=20); Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=89); GTEx--Coexpression(rank=718)","66","rank=13; score=2.6019; p=0.0025011","rank=66; score=0.01425","rank=17; score=3.5277; direction=Activated"
"3","NFKB1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.66666666666666","3","4","ARCHS4--Coexpression(rank=18); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=249); GTEx--Coexpression(rank=920)","51","rank=3; score=4.2065; p=6.216e-05","rank=51; score=0.01106","rank=56; score=2.5554; direction=Activated"
"4","STAT1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.00000000000000","8","6","ARCHS4--Coexpression(rank=34); ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=44); Enrichr--Queries(rank=117); Literature--ChIP-seq(rank=134); GTEx--Coexpression(rank=875)","95","rank=8; score=2.8833; p=0.0013084","rank=95; score=0.02088","rank=8; score=4.7208; direction=Activated"
"5","JUN","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.00000000000000","9","6","GTEx--Coexpression(rank=8); Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=54); Enrichr--Queries(rank=74); ARCHS4--Coexpression(rank=120)","22","rank=9; score=2.7903; p=0.0016207","rank=22; score=0.004978","rank=80; score=2.2433; direction=Activated"
"6","FOS","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.33333333333334","14","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=18); Enrichr--Queries(rank=92); ARCHS4--Coexpression(rank=204)","14","rank=20; score=2.2044; p=0.0062458","rank=14; score=0.003367","rank=87; score=2.1965; direction=Activated"
"7","ARNTL","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST","46.00000000000000","35","4","ARCHS4--Coexpression(rank=22); Enrichr--Queries(rank=66); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=626)","63","rank=40; score=1.39; p=0.040742","rank=63; score=0.01351","rank=35; score=2.8789; direction=Activated"
"8","FOXO1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.00000000000000","6","5","ReMap--ChIP-seq(rank=28); Literature--ChIP-seq(rank=46); Enrichr--Queries(rank=48); ARCHS4--Coexpression(rank=275); GTEx--Coexpression(rank=354)","153","rank=6; score=3.1223; p=0.00075451","rank=153; score=0.03419","rank=15; score=3.9241; direction=Activated"
"9","HIF1A","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.33333333333333","1","5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=75); ARCHS4--Coexpression(rank=132); Enrichr--Queries(rank=237); GTEx--Coexpression(rank=553)","163","rank=1; score=4.4555; p=3.5034e-05","rank=163; score=0.03659","rank=14; score=3.9514; direction=Activated"
"10","EPAS1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.66666666666667","2","4","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=72); ARCHS4--Coexpression(rank=139)","2","rank=51; score=1.2787; p=0.052642","rank=2; score=0.0006223","rank=129; score=1.7381; direction=Activated"
