Pathway,HNF1 Q6,HNF1 01,RGTTAMWNATT HNF1 01,HNF1 C,GATA C,SRF Q6,CCAWWNAAGG SRF Q4,SRF Q4,SRF Q5 01,SRF C,SRF 01,TFIIA Q6,ZIC3 01,WGGAATGY TEF1 Q6,CP2 01,SPZ1 01,COUP 01,HNF4 01,HNF4 DR1 Q3,PPAR DR1 Q2,NRSF 01,CAGNWMCNNNGAC UNKNOWN,CDX2 Q5,POU6F1 01,CART1 01,EVI1 04,CDC5 01,AREB6 04,HAND1E47 01,RP58 01,TTF1 Q6,OSF2 Q6,OCT1 04,OCT1 Q5 01,OCT C,TGATTTRY GFI1 01,EN1 01,FOXO1 02,EFC Q6,RRAGTTGT UNKNOWN
HNF1 Q6,1.0,0.53125,0.16015625,0.40234375,0.0859375,0.04296875,0.0234375,0.05078125,0.046875,0.03515625,0.0078125,0.03125,0.0390625,0.08984375,0.0390625,0.0546875,0.0703125,0.0703125,0.05078125,0.05078125,0.00390625,0.0078125,0.1171875,0.09765625,0.0859375,0.09375,0.109375,0.0625,0.05078125,0.07421875,0.06640625,0.03125,0.11328125,0.08984375,0.0546875,0.09765625,0.03515625,0.0703125,0.046875,0.015625
HNF1 01,0.5528455284552846,1.0,0.1951219512195122,0.3943089430894309,0.08536585365853659,0.04065040650406504,0.02032520325203252,0.04065040650406504,0.04065040650406504,0.04065040650406504,0.008130081300813009,0.04065040650406504,0.028455284552845527,0.0975609756097561,0.04065040650406504,0.04878048780487805,0.07317073170731707,0.056910569105691054,0.028455284552845527,0.04065040650406504,0.008130081300813009,0.012195121951219513,0.08130081300813008,0.08536585365853659,0.08943089430894309,0.07723577235772358,0.07317073170731707,0.06504065040650407,0.04878048780487805,0.052845528455284556,0.044715447154471545,0.028455284552845527,0.07317073170731707,0.07317073170731707,0.052845528455284556,0.08536585365853659,0.044715447154471545,0.04065040650406504,0.06097560975609756,0.024390243902439025
RGTTAMWNATT HNF1 01,0.5540540540540541,0.6486486486486487,1.0,0.40540540540540543,0.10810810810810811,0.05405405405405406,0.04054054054054054,0.05405405405405406,0.06756756756756757,0.08108108108108109,0.013513513513513514,0.02702702702702703,0.04054054054054054,0.08108108108108109,0.0,0.02702702702702703,0.0945945945945946,0.12162162162162163,0.04054054054054054,0.06756756756756757,0.013513513513513514,0.013513513513513514,0.08108108108108109,0.0945945945945946,0.013513513513513514,0.06756756756756757,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.06756756756756757,0.06756756756756757,0.02702702702702703,0.10810810810810811,0.06756756756756757,0.06756756756756757,0.0945945945945946,0.013513513513513514,0.05405405405405406,0.08108108108108109,0.02702702702702703
HNF1 C,0.41365461847389556,0.3895582329317269,0.12048192771084337,1.0,0.08433734939759036,0.04417670682730924,0.028112449799196786,0.05220883534136546,0.03614457831325301,0.04819277108433735,0.008032128514056224,0.03614457831325301,0.03614457831325301,0.07228915662650602,0.028112449799196786,0.0642570281124498,0.06827309236947791,0.05622489959839357,0.0321285140562249,0.0321285140562249,0.012048192771084338,0.008032128514056224,0.11646586345381527,0.10040160642570281,0.0963855421686747,0.08433734939759036,0.0963855421686747,0.05220883534136546,0.07228915662650602,0.0642570281124498,0.040160642570281124,0.0642570281124498,0.11244979919678715,0.08835341365461848,0.08433734939759036,0.0963855421686747,0.040160642570281124,0.06827309236947791,0.0642570281124498,0.05220883534136546
GATA C,0.08208955223880597,0.07835820895522388,0.029850746268656716,0.07835820895522388,1.0,0.048507462686567165,0.014925373134328358,0.05970149253731343,0.06343283582089553,0.04477611940298507,0.007462686567164179,0.041044776119402986,0.048507462686567165,0.048507462686567165,0.04477611940298507,0.04477611940298507,0.041044776119402986,0.041044776119402986,0.041044776119402986,0.029850746268656716,0.011194029850746268,0.022388059701492536,0.08582089552238806,0.08582089552238806,0.07462686567164178,0.11940298507462686,0.08582089552238806,0.0708955223880597,0.08208955223880597,0.048507462686567165,0.033582089552238806,0.033582089552238806,0.08208955223880597,0.07462686567164178,0.05223880597014925,0.09701492537313433,0.029850746268656716,0.05970149253731343,0.06343283582089553,0.029850746268656716
SRF Q6,0.04435483870967742,0.04032258064516129,0.016129032258064516,0.04435483870967742,0.05241935483870968,1.0,0.28225806451612906,0.6169354838709677,0.6169354838709677,0.5887096774193549,0.1693548387096774,0.07661290322580645,0.06854838709677419,0.0846774193548387,0.06451612903225806,0.06854838709677419,0.036290322580645164,0.028225806451612902,0.04838709677419355,0.036290322580645164,0.016129032258064516,0.024193548387096774,0.04032258064516129,0.04838709677419355,0.04435483870967742,0.07661290322580645,0.06048387096774194,0.05241935483870968,0.06048387096774194,0.06451612903225806,0.06451612903225806,0.06048387096774194,0.056451612903225805,0.06854838709677419,0.06048387096774194,0.05241935483870968,0.028225806451612902,0.06854838709677419,0.06048387096774194,0.07661290322580645
CCAWWNAAGG SRF Q4,0.06818181818181818,0.056818181818181816,0.03409090909090909,0.07954545454545454,0.045454545454545456,0.7954545454545454,1.0,0.6590909090909091,0.6590909090909091,0.6022727272727273,0.17045454545454544,0.13636363636363635,0.10227272727272728,0.125,0.056818181818181816,0.06818181818181818,0.022727272727272728,0.045454545454545456,0.06818181818181818,0.045454545454545456,0.022727272727272728,0.03409090909090909,0.10227272727272728,0.056818181818181816,0.06818181818181818,0.07954545454545454,0.11363636363636363,0.03409090909090909,0.045454545454545456,0.03409090909090909,0.07954545454545454,0.09090909090909091,0.045454545454545456,0.07954545454545454,0.06818181818181818,0.056818181818181816,0.056818181818181816,0.09090909090909091,0.03409090909090909,0.10227272727272728
SRF Q4,0.05652173913043478,0.043478260869565216,0.017391304347826087,0.05652173913043478,0.06956521739130435,0.6652173913043479,0.25217391304347825,1.0,0.6869565217391305,0.5652173913043478,0.16956521739130434,0.11304347826086956,0.05217391304347826,0.09565217391304348,0.06956521739130435,0.08260869565217391,0.04782608695652174,0.043478260869565216,0.05652173913043478,0.05652173913043478,0.013043478260869565,0.017391304347826087,0.06086956521739131,0.07391304347826087,0.06521739130434782,0.1,0.08260869565217391,0.06956521739130435,0.08260869565217391,0.05217391304347826,0.07391304347826087,0.05217391304347826,0.08260869565217391,0.08695652173913043,0.0782608695652174,0.08695652173913043,0.043478260869565216,0.08260869565217391,0.06086956521739131,0.06086956521739131
SRF Q5 01,0.05333333333333334,0.044444444444444446,0.022222222222222223,0.04,0.07555555555555556,0.68,0.2577777777777778,0.7022222222222222,1.0,0.5733333333333334,0.18222222222222223,0.10666666666666667,0.057777777777777775,0.07555555555555556,0.057777777777777775,0.08444444444444445,0.04888888888888889,0.05333333333333334,0.044444444444444446,0.044444444444444446,0.008888888888888889,0.017777777777777778,0.05333333333333334,0.06666666666666667,0.06666666666666667,0.08,0.06222222222222222,0.044444444444444446,0.06222222222222222,0.05333333333333334,0.08888888888888889,0.057777777777777775,0.07111111111111111,0.06666666666666667,0.04888888888888889,0.08444444444444445,0.04888888888888889,0.09777777777777778,0.06222222222222222,0.057777777777777775
SRF C,0.04186046511627907,0.046511627906976744,0.027906976744186046,0.05581395348837209,0.05581395348837209,0.6790697674418604,0.24651162790697675,0.6046511627906976,0.6,1.0,0.2186046511627907,0.12558139534883722,0.05116279069767442,0.10232558139534884,0.07906976744186046,0.05581395348837209,0.027906976744186046,0.027906976744186046,0.05581395348837209,0.037209302325581395,0.004651162790697674,0.009302325581395349,0.046511627906976744,0.05581395348837209,0.05581395348837209,0.046511627906976744,0.05116279069767442,0.05116279069767442,0.06046511627906977,0.06046511627906977,0.06046511627906977,0.046511627906976744,0.06046511627906977,0.06511627906976744,0.05581395348837209,0.05581395348837209,0.037209302325581395,0.06511627906976744,0.06046511627906977,0.05581395348837209
