"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.666666666666667","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=1336); Enrichr--Queries(rank=1369); GTEx--Coexpression(rank=1525)","35","rank=1; score=3.4892; p=0.00032422","rank=3; score=7.262; direction=Repressed","rank=1; score=6.8052; p=1.0093e-11; direction=Repressed"
"2","E2F2","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","10.666666666666666","3","3","Enrichr--Queries(rank=19); ARCHS4--Coexpression(rank=36); GTEx--Coexpression(rank=624)","58","rank=18; score=1.1871; p=0.065004","rank=11; score=4.2261; direction=Repressed","rank=3; score=3.7483; p=0.00017806; direction=Repressed"
"3","SMAD3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.666666666666666","5","5","Literature--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=107); ARCHS4--Coexpression(rank=286); Enrichr--Queries(rank=428); GTEx--Coexpression(rank=712)","650","rank=5; score=1.7761; p=0.016744","rank=28; score=2.9159; direction=Activated","rank=14; score=2.6335; p=0.0084515; direction=Activated"
"4","RFX5","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.666666666666668","4","5","ENCODE--ChIP-seq(rank=52); GTEx--Coexpression(rank=189); ReMap--ChIP-seq(rank=206); Enrichr--Queries(rank=383); ARCHS4--Coexpression(rank=1129)","467","rank=4; score=1.9434; p=0.011393","rank=25; score=3.0141; direction=Activated","rank=54; score=2.0574; p=0.03965; direction=Activated"
"5","FOXM1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.666666666666664","6","6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=11); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=1448)","5","rank=6; score=1.732; p=0.018536","rank=75; score=1.5294; direction=Repressed","rank=11; score=2.7391; p=0.00616; direction=Repressed"
"6","SP3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.666666666666664","21","3","GTEx--Coexpression(rank=1068); Enrichr--Queries(rank=1199); ARCHS4--Coexpression(rank=1309)","1494","rank=21; score=1.0818; p=0.082837","rank=42; score=2.264; direction=Activated","rank=38; score=2.3873; p=0.016974; direction=Activated"
"7","REST","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.666666666666664","9","6","ENCODE--ChIP-seq(rank=43); Literature--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=127); GTEx--Coexpression(rank=359); Enrichr--Queries(rank=1256); ARCHS4--Coexpression(rank=1392)","777","rank=78; score=0.51213; p=0.30752","rank=38; score=2.4418; direction=Repressed","rank=9; score=2.7483; p=0.0059899; direction=Activated"
"8","MYC","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.666666666666671","2","6","Literature--ChIP-seq(rank=43); ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=108); Enrichr--Queries(rank=696); GTEx--Coexpression(rank=1120); ARCHS4--Coexpression(rank=1382)","884","rank=134; score=0.20883; p=0.61825","rank=7; score=4.5544; direction=Repressed","rank=2; score=5.8415; p=5.1722e-09; direction=Repressed"
"9","RARA","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.000000000000000","28","5","Literature--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=92); ARCHS4--Coexpression(rank=178); Enrichr--Queries(rank=624); GTEx--Coexpression(rank=1005)","438","rank=28; score=0.97465; p=0.10601","rank=49; score=2.0886; direction=Activated","rank=67; score=1.9445; p=0.051832; direction=Activated"
"10","E2F1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.333333333333329","5","6","GTEx--Coexpression(rank=5); Enrichr--Queries(rank=12); Literature--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=190); ARCHS4--Coexpression(rank=1469)","14","rank=138; score=0.19016; p=0.64542","rank=5; score=5.2283; direction=Repressed","rank=32; score=2.5307; p=0.011383; direction=Repressed"
