Pathway,AP1FJ Q2,AP1 Q2,AP1 Q4,AP1 Q6,AP1 Q6 01,TGASTMAGC NFE2 01,AP1 01,AP1 C,TGANNYRGCA TCF11MAFG 01,GCCATNTTG YY1 Q6,YY1 02,YY1 01,AP4 Q6,ETS1 B,ETS2 B,MEIS1 01,CP2 01,LXR Q3,ATF1 Q6,CREBP1 01,CEBPDELTA Q6,SRF Q6,CCAWWNAAGG SRF Q4,SRF Q5 01,SRF Q4,SRF C,FOXO3 01,YNGTTNNNATT UNKNOWN,PAX Q6,NFAT Q4 01,GATAAGR GATA C,HMEF2 Q6,SMTTTTGT UNKNOWN,AAANWWTGC UNKNOWN,CHOP 01,OCT1 06,CHX10 01,TGGNNNNNNKCCAR UNKNOWN,TCF4 Q5,HNF4 Q6
AP1FJ Q2,1.0,0.7564575645756457,0.6826568265682657,0.5018450184501845,0.3726937269372694,0.22878228782287824,0.28413284132841327,0.3173431734317343,0.14022140221402213,0.055350553505535055,0.025830258302583026,0.055350553505535055,0.03690036900369004,0.025830258302583026,0.055350553505535055,0.04428044280442804,0.05904059040590406,0.007380073800738007,0.033210332103321034,0.033210332103321034,0.05166051660516605,0.033210332103321034,0.014760147601476014,0.04428044280442804,0.04797047970479705,0.033210332103321034,0.05904059040590406,0.03690036900369004,0.04797047970479705,0.055350553505535055,0.05166051660516605,0.025830258302583026,0.06273062730627306,0.033210332103321034,0.05904059040590406,0.025830258302583026,0.025830258302583026,0.05166051660516605,0.02952029520295203,0.03690036900369004
AP1 Q2,0.7735849056603774,1.0,0.7433962264150943,0.5207547169811321,0.3849056603773585,0.2339622641509434,0.27169811320754716,0.37358490566037733,0.1471698113207547,0.04905660377358491,0.033962264150943396,0.06792452830188679,0.033962264150943396,0.04150943396226415,0.06037735849056604,0.033962264150943396,0.06792452830188679,0.0037735849056603774,0.026415094339622643,0.026415094339622643,0.052830188679245285,0.045283018867924525,0.01509433962264151,0.05660377358490566,0.052830188679245285,0.033962264150943396,0.06415094339622641,0.04150943396226415,0.04150943396226415,0.07169811320754717,0.04150943396226415,0.033962264150943396,0.05660377358490566,0.03018867924528302,0.06792452830188679,0.03773584905660377,0.033962264150943396,0.06792452830188679,0.05660377358490566,0.033962264150943396
AP1 Q4,0.6826568265682657,0.7269372693726938,1.0,0.5904059040590406,0.3874538745387454,0.28044280442804426,0.3210332103321033,0.36162361623616235,0.13653136531365315,0.03690036900369004,0.02214022140221402,0.033210332103321034,0.04428044280442804,0.025830258302583026,0.04797047970479705,0.025830258302583026,0.05166051660516605,0.007380073800738007,0.025830258302583026,0.01845018450184502,0.04797047970479705,0.033210332103321034,0.014760147601476014,0.04428044280442804,0.04059040590405904,0.02952029520295203,0.04797047970479705,0.033210332103321034,0.04059040590405904,0.055350553505535055,0.03690036900369004,0.03690036900369004,0.05904059040590406,0.025830258302583026,0.05166051660516605,0.03690036900369004,0.033210332103321034,0.05166051660516605,0.06273062730627306,0.02214022140221402
AP1 Q6,0.5230769230769231,0.5307692307692308,0.6153846153846154,1.0,0.4807692307692308,0.3423076923076923,0.46153846153846156,0.4461538461538462,0.17692307692307693,0.03461538461538462,0.03076923076923077,0.023076923076923078,0.038461538461538464,0.03076923076923077,0.046153846153846156,0.019230769230769232,0.06538461538461539,0.0038461538461538464,0.03461538461538462,0.011538461538461539,0.057692307692307696,0.04230769230769231,0.019230769230769232,0.05,0.05,0.04230769230769231,0.057692307692307696,0.03461538461538462,0.05384615384615385,0.046153846153846156,0.03461538461538462,0.026923076923076925,0.05,0.026923076923076925,0.05,0.03076923076923077,0.015384615384615385,0.057692307692307696,0.038461538461538464,0.026923076923076925
AP1 Q6 01,0.3782771535580524,0.38202247191011235,0.39325842696629215,0.4681647940074906,1.0,0.25842696629213485,0.33707865168539325,0.43820224719101125,0.14606741573033707,0.052434456928838954,0.03745318352059925,0.02247191011235955,0.03745318352059925,0.04119850187265917,0.0299625468164794,0.026217228464419477,0.0449438202247191,0.018726591760299626,0.033707865168539325,0.0299625468164794,0.06367041198501873,0.052434456928838954,0.011235955056179775,0.056179775280898875,0.0599250936329588,0.04119850187265917,0.056179775280898875,0.052434456928838954,0.02247191011235955,0.0449438202247191,0.052434456928838954,0.033707865168539325,0.06741573033707865,0.02247191011235955,0.04119850187265917,0.04119850187265917,0.0149812734082397,0.06741573033707865,0.0449438202247191,0.0299625468164794
TGASTMAGC NFE2 01,0.31794871794871793,0.31794871794871793,0.38974358974358975,0.4564102564102564,0.35384615384615387,1.0,0.5846153846153846,0.5333333333333333,0.3641025641025641,0.041025641025641026,0.02564102564102564,0.02564102564102564,0.035897435897435895,0.035897435897435895,0.03076923076923077,0.02564102564102564,0.06153846153846154,0.005128205128205128,0.020512820512820513,0.020512820512820513,0.020512820512820513,0.03076923076923077,0.010256410256410256,0.03076923076923077,0.03076923076923077,0.020512820512820513,0.05128205128205128,0.046153846153846156,0.03076923076923077,0.03076923076923077,0.035897435897435895,0.020512820512820513,0.05128205128205128,0.005128205128205128,0.020512820512820513,0.035897435897435895,0.02564102564102564,0.046153846153846156,0.02564102564102564,0.02564102564102564
AP1 01,0.28413284132841327,0.2656826568265683,0.3210332103321033,0.44280442804428044,0.33210332103321033,0.42066420664206644,1.0,0.4944649446494465,0.23616236162361623,0.025830258302583026,0.01845018450184502,0.025830258302583026,0.04428044280442804,0.05166051660516605,0.04797047970479705,0.04059040590405904,0.07749077490774908,0.007380073800738007,0.03690036900369004,0.02952029520295203,0.03690036900369004,0.02952029520295203,0.0036900369003690036,0.02214022140221402,0.02952029520295203,0.02952029520295203,0.05904059040590406,0.04428044280442804,0.055350553505535055,0.04428044280442804,0.05166051660516605,0.02214022140221402,0.055350553505535055,0.01845018450184502,0.033210332103321034,0.033210332103321034,0.033210332103321034,0.055350553505535055,0.03690036900369004,0.02214022140221402
AP1 C,0.3104693140794224,0.3574007220216607,0.35379061371841153,0.4187725631768953,0.4223826714801444,0.37545126353790614,0.48375451263537905,1.0,0.18050541516245489,0.02527075812274368,0.021660649819494584,0.018050541516245487,0.04332129963898917,0.039711191335740074,0.036101083032490974,0.036101083032490974,0.05415162454873646,0.010830324909747292,0.02888086642599278,0.02888086642599278,0.039711191335740074,0.04332129963898917,0.007220216606498195,0.036101083032490974,0.036101083032490974,0.02888086642599278,0.05054151624548736,0.04693140794223827,0.04332129963898917,0.02527075812274368,0.04693140794223827,0.021660649819494584,0.05054151624548736,0.021660649819494584,0.039711191335740074,0.036101083032490974,0.032490974729241874,0.039711191335740074,0.032490974729241874,0.02888086642599278
TGANNYRGCA TCF11MAFG 01,0.1237785016286645,0.1270358306188925,0.12052117263843648,0.1498371335504886,0.1270358306188925,0.23127035830618892,0.20846905537459284,0.16286644951140064,1.0,0.03908794788273615,0.019543973941368076,0.02280130293159609,0.03257328990228013,0.03908794788273615,0.03257328990228013,0.03257328990228013,0.0749185667752443,0.006514657980456026,0.04560260586319218,0.03908794788273615,0.029315960912052116,0.04234527687296417,0.019543973941368076,0.05211726384364821,0.06188925081433225,0.04560260586319218,0.04560260586319218,0.06514657980456026,0.03257328990228013,0.03908794788273615,0.04560260586319218,0.009771986970684038,0.06840390879478828,0.03257328990228013,0.029315960912052116,0.04234527687296417,0.029315960912052116,0.05537459283387622,0.04234527687296417,0.026058631921824105
GCCATNTTG YY1 Q6,0.034324942791762014,0.029748283752860413,0.02288329519450801,0.020594965675057208,0.032036613272311214,0.018306636155606407,0.016018306636155607,0.016018306636155607,0.02745995423340961,1.0,0.32036613272311215,0.14874141876430205,0.016018306636155607,0.020594965675057208,0.02517162471395881,0.034324942791762014,0.02745995423340961,0.006864988558352402,0.016018306636155607,0.029748283752860413,0.02517162471395881,0.02517162471395881,0.006864988558352402,0.032036613272311214,0.029748283752860413,0.011441647597254004,0.02745995423340961,0.05491990846681922,0.018306636155606407,0.02288329519450801,0.018306636155606407,0.016018306636155607,0.17391304347826086,0.036613272311212815,0.02288329519450801,0.034324942791762014,0.036613272311212815,0.036613272311212815,0.02745995423340961,0.02517162471395881
