"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","FOXM1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.5","2","6","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); Enrichr--Queries(rank=3); ARCHS4--Coexpression(rank=7)","2","rank=2; score=0.0006223","rank=3; score=901.03; p=1.3173e-50; adjP=9.9589e-48"
"2","E2F1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.0","2","6","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=4); Literature--ChIP-seq(rank=4); GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=98)","10","rank=10; score=0.002849","rank=2; score=163.22; p=6.7681e-38; adjP=1.2792e-35"
"3","E2F4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=90); ARCHS4--Coexpression(rank=820); GTEx--Coexpression(rank=971)","16","rank=16; score=0.006098","rank=1; score=1541.2; p=5.8754e-111; adjP=6.1104e-109"
"4","TP53","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.5","8","5","ARCHS4--Coexpression(rank=9); Literature--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=99); GTEx--Coexpression(rank=114); Enrichr--Queries(rank=257)","15","rank=15; score=0.005528","rank=8; score=35.534; p=4.3377e-07; adjP=5.7474e-05"
"5","E2F7","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","14.0","7","5","ARCHS4--Coexpression(rank=3); Literature--ChIP-seq(rank=5); Enrichr--Queries(rank=7); GTEx--Coexpression(rank=8); ReMap--ChIP-seq(rank=100)","7","rank=7; score=0.001843","rank=21; score=874.75; p=4.2294e-18; adjP=3.5527e-16"
"6","MYBL2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.5","6","6","Enrichr--Queries(rank=2); ARCHS4--Coexpression(rank=5); Literature--ChIP-seq(rank=8); GTEx--Coexpression(rank=13); ENCODE--ChIP-seq(rank=79); ReMap--ChIP-seq(rank=160)","6","rank=6; score=0.001425","rank=41; score=46.205; p=4.3441e-13; adjP=2.1894e-11"
"7","E2F3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.5","14","3","ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=25); GTEx--Coexpression(rank=1247)","33","rank=33; score=0.01044","rank=14; score=206.07; p=3.3867e-06; adjP=0.00026835"
"8","CTCF","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.0","23","6","ENCODE--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=12); ReMap--ChIP-seq(rank=49); Literature--ChIP-seq(rank=90); Enrichr--Queries(rank=317); GTEx--Coexpression(rank=698)","23","rank=23; score=0.007371","rank=31; score=49.152; p=1.6622e-15; adjP=1.0472e-13"
"9","ZBTB7A","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.5","32","5","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=24); GTEx--Coexpression(rank=398); ARCHS4--Coexpression(rank=801); Enrichr--Queries(rank=1066)","32","rank=32; score=0.0101","rank=35; score=12.925; p=3.5524e-05; adjP=0.00028419"
"10","SOX2","ChEA3;ENRICHR","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","39.0","12","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=224); ARCHS4--Coexpression(rank=388); Enrichr--Queries(rank=501); GTEx--Coexpression(rank=1261)","66","rank=66; score=0.01829","rank=12; score=125.49; p=2.7262e-29; adjP=4.122e-27"
