Pathway,SPLICEOSOME,RNA DEGRADATION,CELL CYCLE,UBIQUITIN MEDIATED PROTEOLYSIS,PARKINSONS DISEASE,HUNTINGTONS DISEASE,OXIDATIVE PHOSPHORYLATION,ALZHEIMERS DISEASE,RIBOSOME,DNA REPLICATION,MISMATCH REPAIR,NUCLEOTIDE EXCISION REPAIR,HOMOLOGOUS RECOMBINATION,BASE EXCISION REPAIR,NEUROACTIVE LIGAND RECEPTOR INTERACTION,CALCIUM SIGNALING PATHWAY,FATTY ACID METABOLISM,BUTANOATE METABOLISM,VALINE LEUCINE AND ISOLEUCINE DEGRADATION,PROPANOATE METABOLISM,PEROXISOME,PYRIMIDINE METABOLISM,RNA POLYMERASE,PURINE METABOLISM,PROTEASOME,AMINOACYL TRNA BIOSYNTHESIS,DRUG METABOLISM CYTOCHROME P450,METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,RETINOL METABOLISM,ASCORBATE AND ALDARATE METABOLISM,STARCH AND SUCROSE METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSIONS,GNRH SIGNALING PATHWAY,FC EPSILON RI SIGNALING PATHWAY,ALDOSTERONE REGULATED SODIUM REABSORPTION,PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,INOSITOL PHOSPHATE METABOLISM,INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,ALLOGRAFT REJECTION,OLFACTORY TRANSDUCTION
SPLICEOSOME,1.0,0.05511811023622047,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNA DEGRADATION,0.11864406779661017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELL CYCLE,0.0,0.0,1.0,0.16,0.0,0.04,0.0,0.008,0.0,0.056,0.008,0.032,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.008,0.0,0.0
UBIQUITIN MEDIATED PROTEOLYSIS,0.007407407407407408,0.0,0.14814814814814814,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.007407407407407408,0.0,0.0,0.0,0.0,0.0
PARKINSONS DISEASE,0.0,0.0,0.0,0.06870229007633588,1.0,0.7709923664122137,0.7251908396946565,0.7099236641221374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06870229007633588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUNTINGTONS DISEASE,0.0,0.0,0.0273224043715847,0.0,0.5519125683060109,1.0,0.4808743169398907,0.5519125683060109,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.09289617486338798,0.0,0.0,0.0,0.0,0.01092896174863388,0.07650273224043716,0.07650273224043716,0.07650273224043716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0273224043715847,0.02185792349726776,0.0,0.0,0.0
OXIDATIVE PHOSPHORYLATION,0.0,0.0,0.0,0.0,0.7142857142857143,0.6616541353383458,1.0,0.6616541353383458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALZHEIMERS DISEASE,0.0,0.0,0.005988023952095809,0.0,0.5568862275449101,0.6047904191616766,0.5269461077844312,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029940119760479042,0.20359281437125748,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11976047904191617,0.017964071856287425,0.011976047904191617,0.07784431137724551,0.023952095808383235,0.0,0.011976047904191617,0.03592814371257485
RIBOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA REPLICATION,0.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4444444444444444,0.5277777777777778,0.25,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MISMATCH REPAIR,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.6956521739130435,1.0,0.6521739130434783,0.391304347826087,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUCLEOTIDE EXCISION REPAIR,0.0,0.0,0.09090909090909091,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.4318181818181818,0.3409090909090909,1.0,0.18181818181818182,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMOLOGOUS RECOMBINATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32142857142857145,0.32142857142857145,0.2857142857142857,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
