"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","TEAD4","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","25.00000000000000","6","6","ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=40); Literature--ChIP-seq(rank=46); Enrichr--Queries(rank=460); GTEx--Coexpression(rank=774); ARCHS4--Coexpression(rank=1001)","428","rank=38; score=1.5893; p=0.025748","rank=31; score=3.1837; direction=Activated","rank=6; score=2.9221; p=0.0034765; direction=Activated"
"2","ETV1","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","52.00000000000000","34","4","GTEx--Coexpression(rank=107); ARCHS4--Coexpression(rank=149); ReMap--ChIP-seq(rank=171); Enrichr--Queries(rank=191)","263","rank=84; score=0.84931; p=0.14148","rank=38; score=2.7908; direction=Activated","rank=34; score=2.2094; p=0.027144; direction=Repressed"
"3","FOXO3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","53.66666666666666","2","4","Literature--ChIP-seq(rank=87); Enrichr--Queries(rank=882); GTEx--Coexpression(rank=934); ARCHS4--Coexpression(rank=1010)","1313","rank=56; score=1.2558; p=0.055484","rank=103; score=1.5305; direction=Activated","rank=2; score=3.3167; p=0.00091088; direction=Activated"
"4","KLF6","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.66666666666666","17","4","ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=184); ARCHS4--Coexpression(rank=628); GTEx--Coexpression(rank=791)","32","rank=78; score=0.9555; p=0.11079","rank=84; score=1.7938; direction=Repressed","rank=17; score=2.611; p=0.0090266; direction=Activated"
"5","RFX5","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","61.00000000000000","14","5","ENCODE--ChIP-seq(rank=56); GTEx--Coexpression(rank=127); ReMap--ChIP-seq(rank=200); Enrichr--Queries(rank=905); ARCHS4--Coexpression(rank=1579)","309","rank=23; score=2.2742; p=0.0053181","rank=14; score=4.0408; direction=Activated","rank=146; score=1.4369; p=0.15076; direction=Activated"
"6","IRF2","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","73.00000000000000","15","4","ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=634); Enrichr--Queries(rank=647); GTEx--Coexpression(rank=1365)","1077","rank=119; score=0.59947; p=0.25149","rank=85; score=1.7652; direction=Activated","rank=15; score=2.622; p=0.0087405; direction=Activated"
"7","FOXO4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","82.66666666666667","21","3","GTEx--Coexpression(rank=708); Enrichr--Queries(rank=789); ARCHS4--Coexpression(rank=1278)","1169","rank=51; score=1.4029; p=0.039543","rank=176; score=0.74901; direction=Activated","rank=21; score=2.5291; p=0.011437; direction=Activated"
"8","MNT","DoRothEA;VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","86.33333333333333","7","4","ReMap--ChIP-seq(rank=108); Enrichr--Queries(rank=894); GTEx--Coexpression(rank=1018); ARCHS4--Coexpression(rank=1355)","1025","rank=189; score=0.1388; p=0.72644","rank=7; score=4.8693; direction=Activated","rank=63; score=1.8884; p=0.058977; direction=Activated"
"9","TP73","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","89.00000000000000","59","3","GTEx--Coexpression(rank=63); ARCHS4--Coexpression(rank=598); Enrichr--Queries(rank=1002)","165","rank=66; score=1.1505; p=0.070706","rank=142; score=1.095; direction=Activated","rank=59; score=1.938; p=0.052619; direction=Repressed"
"10","NCOA2","DoRothEA;VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","89.66666666666667","21","4","ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=416); ARCHS4--Coexpression(rank=551); Enrichr--Queries(rank=819)","794","rank=60; score=1.2031; p=0.062642","rank=21; score=3.6565; direction=Activated","rank=188; score=1.2474; p=0.21225; direction=Repressed"
