Pathway,1P36 COPY NUMBER VARIATION SYNDROME,PHOSPHOINOSITIDES METABOLISM,CYTOPLASMIC RIBOSOMAL PROTEINS,CILIARY LANDSCAPE,BARDETBIEDL SYNDROME,JOUBERT SYNDROME,"TCA CYCLE AND DEFICIENCY OF PYRUVATE
DEHYDROGENASE COMPLEX PDHC",TCA CYCLE IN SENESCENCE,"STEROL REGULATORY ELEMENTBINDING PROTEINS
SREBP SIGNALING",MONOAMINE GPCRS,GPCRS CLASS A RHODOPSINLIKE,"KYNURENINE PATHWAY AND LINKS TO CELL
SENESCENCE",VITAMIN D RECEPTOR PATHWAY,"SUDDEN INFANT DEATH SYNDROME SIDS
SUSCEPTIBILITY PATHWAYS","TRANSCRIPTIONAL CASCADE REGULATING
ADIPOGENESIS","GENETIC CAUSES OF PORTOSINUSOIDAL VASCULAR
DISEASE",NOTCH SIGNALING WP61,APOPTOSIS MODULATION BY HSP70,PTDINS45P2 IN CYTOKINESIS PATHWAY,HYPOTHETICAL CRANIOFACIAL DEVELOPMENT PATHWAY,PHOSPHODIESTERASES IN NEURONAL FUNCTION,SILDENAFIL TREATMENT,OXIDATION BY CYTOCHROME P450,METAPATHWAY BIOTRANSFORMATION PHASE I AND II,22Q112 COPY NUMBER VARIATION SYNDROME,"SMC1SMC3 ROLE IN DNA DAMAGE CORNELIA DE LANGE
SYNDROME",PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA,MRNA PROCESSING,CELL DIFFERENTIATION INDEX,EGFEGFR SIGNALING,PILOCYTIC ASTROCYTOMA,PDGFRBETA PATHWAY,PROTEASOME DEGRADATION,"TRANSCRIPTION ACTIVATION RNAPOLYMERASE I AND
KAT2AB AND INHIBITION NURD COMPLEX",MESODERMAL COMMITMENT PATHWAY,ENDODERM DIFFERENTIATION,"INTERACTOME OF POLYCOMB REPRESSIVE COMPLEX 2
PRC2","VITAMIN DSENSITIVE CALCIUM SIGNALING IN
DEPRESSION","GAMMAGLUTAMYL CYCLE FOR THE BIOSYNTHESIS AND
DEGRADATION OF GLUTATHIONE",TYROSINE METABOLISM AND RELATED DISORDERS
1P36 COPY NUMBER VARIATION SYNDROME,1.0,0.008928571428571428,0.0,0.008928571428571428,0.0,0.008928571428571428,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.017857142857142856,0.0,0.008928571428571428,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.044642857142857144,0.044642857142857144,0.0,0.0,0.0,0.0
PHOSPHOINOSITIDES METABOLISM,0.02040816326530612,1.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.10204081632653061,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0
CYTOPLASMIC RIBOSOMAL PROTEINS,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0
CILIARY LANDSCAPE,0.004651162790697674,0.0,0.0,1.0,0.14418604651162792,0.06511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.004651162790697674,0.018604651162790697,0.0,0.009302325581395349,0.013953488372093023,0.004651162790697674,0.0,0.004651162790697674,0.004651162790697674,0.0,0.0,0.0,0.004651162790697674,0.0,0.004651162790697674,0.018604651162790697,0.0,0.018604651162790697,0.0,0.0,0.03255813953488372,0.013953488372093023,0.009302325581395349,0.018604651162790697,0.0,0.0,0.0,0.0
BARDETBIEDL SYNDROME,0.0,0.011363636363636364,0.0,0.3522727272727273,1.0,0.26136363636363635,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.011363636363636364,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.011363636363636364,0.0,0.0,0.0,0.0
JOUBERT SYNDROME,0.013157894736842105,0.0,0.0,0.18421052631578946,0.3026315789473684,1.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.013157894736842105,0.013157894736842105,0.05263157894736842,0.0,0.0,0.0,0.013157894736842105,0.039473684210526314,0.013157894736842105,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TCA CYCLE AND DEFICIENCY OF PYRUVATE
DEHYDROGENASE COMPLEX PDHC",0.0625,0.0,0.0,0.0,0.0,0.0,1.0,0.1875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCA CYCLE IN SENESCENCE,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"STEROL REGULATORY ELEMENTBINDING PROTEINS
SREBP SIGNALING",0.0,0.014084507042253521,0.0,0.0,0.0,0.014084507042253521,0.028169014084507043,0.014084507042253521,1.0,0.0,0.0,0.0,0.014084507042253521,0.07042253521126761,0.028169014084507043,0.014084507042253521,0.028169014084507043,0.0,0.0,0.0,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.056338028169014086,0.0,0.028169014084507043,0.0,0.0,0.056338028169014086,0.0,0.014084507042253521,0.0,0.0,0.028169014084507043,0.014084507042253521,0.0,0.0,0.0,0.0
MONOAMINE GPCRS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.06060606060606061,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0
