Pathway,PPARA PATHWAY,SHH PATHWAY,EGF PATHWAY,PDGF PATHWAY,TPO PATHWAY,GLEEVEC PATHWAY,MET PATHWAY,INSULIN PATHWAY,IL6 PATHWAY,BCR PATHWAY,FCER1 PATHWAY,TCR PATHWAY,AT1R PATHWAY,CCR5 PATHWAY,ARENRF2 PATHWAY,CBL PATHWAY,ERBB3 PATHWAY,CARDIACEGF PATHWAY,SM PATHWAY,CD40 PATHWAY,TNFR2 PATHWAY,RNA PATHWAY,NTHI PATHWAY,RANKL PATHWAY,IL10 PATHWAY,INFLAM PATHWAY,LAIR PATHWAY,P53HYPOXIA PATHWAY,PTEN PATHWAY,TFF PATHWAY,IL2RB PATHWAY,BCELLSURVIVAL PATHWAY,TOB1 PATHWAY,CTCF PATHWAY,RANBP2 PATHWAY,NPC PATHWAY,RAN PATHWAY,RANMS PATHWAY,PROTEASOME PATHWAY,ETC PATHWAY
PPARA PATHWAY,1.0,0.11538461538461539,0.1346153846153846,0.17307692307692307,0.17307692307692307,0.15384615384615385,0.11538461538461539,0.09615384615384616,0.038461538461538464,0.07692307692307693,0.1346153846153846,0.17307692307692307,0.09615384615384616,0.057692307692307696,0.07692307692307693,0.038461538461538464,0.0,0.09615384615384616,0.0,0.057692307692307696,0.057692307692307696,0.038461538461538464,0.11538461538461539,0.019230769230769232,0.038461538461538464,0.038461538461538464,0.019230769230769232,0.057692307692307696,0.07692307692307693,0.09615384615384616,0.15384615384615385,0.057692307692307696,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
SHH PATHWAY,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGF PATHWAY,0.25925925925925924,0.0,1.0,0.9259259259259259,0.7037037037037037,0.5555555555555556,0.5185185185185185,0.5925925925925926,0.5185185185185185,0.5555555555555556,0.6296296296296297,0.7037037037037037,0.5555555555555556,0.2222222222222222,0.18518518518518517,0.18518518518518517,0.07407407407407407,0.2962962962962963,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.07407407407407407,0.14814814814814814,0.0,0.0,0.037037037037037035,0.25925925925925924,0.2962962962962963,0.4074074074074074,0.1111111111111111,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0
PDGF PATHWAY,0.32142857142857145,0.0,0.8928571428571429,1.0,0.7142857142857143,0.5714285714285714,0.5357142857142857,0.6071428571428571,0.5,0.5357142857142857,0.6428571428571429,0.7142857142857143,0.5,0.21428571428571427,0.17857142857142858,0.14285714285714285,0.0,0.21428571428571427,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.07142857142857142,0.14285714285714285,0.03571428571428571,0.0,0.03571428571428571,0.21428571428571427,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
TPO PATHWAY,0.375,0.0,0.7916666666666666,0.8333333333333334,1.0,0.625,0.5416666666666666,0.5833333333333334,0.5,0.5,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.20833333333333334,0.16666666666666666,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.0,0.0,0.0,0.25,0.3333333333333333,0.5,0.16666666666666666,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
GLEEVEC PATHWAY,0.34782608695652173,0.0,0.6521739130434783,0.6956521739130435,0.6521739130434783,1.0,0.5652173913043478,0.5217391304347826,0.391304347826087,0.43478260869565216,0.6086956521739131,0.6086956521739131,0.43478260869565216,0.13043478260869565,0.13043478260869565,0.043478260869565216,0.0,0.17391304347826086,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.08695652173913043,0.08695652173913043,0.0,0.0,0.08695652173913043,0.2608695652173913,0.391304347826087,0.6521739130434783,0.21739130434782608,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0
MET PATHWAY,0.18181818181818182,0.0,0.42424242424242425,0.45454545454545453,0.3939393939393939,0.3939393939393939,1.0,0.45454545454545453,0.3333333333333333,0.30303030303030304,0.42424242424242425,0.42424242424242425,0.3939393939393939,0.12121212121212122,0.12121212121212122,0.06060606060606061,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.030303030303030304,0.0,0.030303030303030304,0.030303030303030304,0.24242424242424243,0.2727272727272727,0.3333333333333333,0.15151515151515152,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0
INSULIN PATHWAY,0.23809523809523808,0.0,0.7619047619047619,0.8095238095238095,0.6666666666666666,0.5714285714285714,0.7142857142857143,1.0,0.6190476190476191,0.5238095238095238,0.6666666666666666,0.7142857142857143,0.47619047619047616,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.047619047619047616,0.2857142857142857,0.38095238095238093,0.5238095238095238,0.19047619047619047,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
IL6 PATHWAY,0.09523809523809523,0.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.5238095238095238,0.6190476190476191,1.0,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.42857142857142855,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.0,0.19047619047619047,0.23809523809523808,0.42857142857142855,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCR PATHWAY,0.12121212121212122,0.0,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.30303030303030304,0.30303030303030304,0.3333333333333333,0.30303030303030304,1.0,0.8484848484848485,0.8181818181818182,0.5151515151515151,0.30303030303030304,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.0,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.24242424242424243,0.030303030303030304,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0
