"Input_Type","TF_Analysis_Name","Methods_Integrated","Intersection_Schemes","Output_Directory"
"DEG","ALL","6","12","results/ngs/GSE114012/TF_summary/deg/ALL"
"DEG","DLD1","6","12","results/ngs/GSE114012/TF_summary/deg/DLD1"
"DEG","DLD1_HCT15","6","12","results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15"
"DEG","DLD1_HCT15_SW48","6","12","results/ngs/GSE114012/TF_summary/deg/DLD1_HCT15_SW48"
"DEG","HCT15","6","12","results/ngs/GSE114012/TF_summary/deg/HCT15"
"DEG","HT55","6","12","results/ngs/GSE114012/TF_summary/deg/HT55"
"DEG","RKO","6","12","results/ngs/GSE114012/TF_summary/deg/RKO"
"DEG","SW48","6","12","results/ngs/GSE114012/TF_summary/deg/SW48"
"DEG","SW948","6","12","results/ngs/GSE114012/TF_summary/deg/SW948"
"INTERSECT","DLD1_HCT15","6","12","results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15"
"INTERSECT","DLD1_HCT15_SW48","6","12","results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48"
"INTERSECT","HT55_SW948","6","12","results/ngs/GSE114012/TF_summary/intersect/HT55_SW948"
"INTERSECT","SW948_RKO","6","12","results/ngs/GSE114012/TF_summary/intersect/SW948_RKO"
