Pathway,STRUCTURAL CONSTITUENT OF RIBOSOME,EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,"EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT
CONFERRING TENSILE STRENGTH",GROWTH FACTOR BINDING,EXTRACELLULAR MATRIX BINDING,COLLAGEN BINDING,INTEGRIN BINDING,CADHERIN BINDING,MOLECULAR SEQUESTERING ACTIVITY,KINASE INHIBITOR ACTIVITY,CALCIUM DEPENDENT PROTEIN BINDING,ARACHIDONATE MONOOXYGENASE ACTIVITY,FATTY ACID OMEGA HYDROXYLASE ACTIVITY,"OXIDOREDUCTASE ACTIVITY ACTING ON PAIRED
DONORS WITH INCORPORATION OR REDUCTION OF
MOLECULAR OXYGEN REDUCED IRON SULFUR PROTEIN
AS ONE DONOR AND INCORPORATION OF ONE ATOM OF
OXYGEN",ALKANE 1 MONOOXYGENASE ACTIVITY,DNA BINDING TRANSCRIPTION ACTIVATOR ACTIVITY,DNA BINDING TRANSCRIPTION FACTOR BINDING,"RNA POLYMERASE II SPECIFIC DNA BINDING
TRANSCRIPTION FACTOR BINDING",STRUCTURAL CONSTITUENT OF SKIN EPIDERMIS,STRUCTURAL CONSTITUENT OF CYTOSKELETON,ORGANIC ACID SODIUM SYMPORTER ACTIVITY,"C4 DICARBOXYLATE TRANSMEMBRANE TRANSPORTER
ACTIVITY","DICARBOXYLIC ACID TRANSMEMBRANE TRANSPORTER
ACTIVITY",HEXOSE TRANSMEMBRANE TRANSPORTER ACTIVITY,SUGAR TRANSMEMBRANE TRANSPORTER ACTIVITY,"CARBOHYDRATE TRANSMEMBRANE TRANSPORTER
ACTIVITY","MAP KINASE TYROSINE SERINE THREONINE
PHOSPHATASE ACTIVITY","PROTEIN TYROSINE SERINE THREONINE PHOSPHATASE
ACTIVITY",GLYCINE N ACYLTRANSFERASE ACTIVITY,HEXOSYLTRANSFERASE ACTIVITY,ACETYLGALACTOSAMINYLTRANSFERASE ACTIVITY,UDP GLYCOSYLTRANSFERASE ACTIVITY,STEROID HYDROXYLASE ACTIVITY,ALCOHOL DEHYDROGENASE NADPLUS ACTIVITY,ALDOSE REDUCTASE NADPH ACTIVITY,CYTOKINE ACTIVITY,FRIZZLED BINDING,WNT PROTEIN BINDING,TASTE RECEPTOR ACTIVITY,NAD P H OXIDASE H2O2 FORMING ACTIVITY
STRUCTURAL CONSTITUENT OF RIBOSOME,1.0,0.0,0.0,0.011695906432748537,0.011695906432748537,0.0,0.005847953216374269,0.05847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,0.0,1.0,0.23204419889502761,0.08287292817679558,0.09944751381215469,0.11049723756906077,0.143646408839779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055248618784530384,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.0,0.0
"EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT
CONFERRING TENSILE STRENGTH",0.0,1.0,1.0,0.16666666666666666,0.023809523809523808,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GROWTH FACTOR BINDING,0.014705882352941176,0.11029411764705882,0.051470588235294115,1.0,0.058823529411764705,0.029411764705882353,0.07352941176470588,0.058823529411764705,0.0,0.007352941176470588,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0
EXTRACELLULAR MATRIX BINDING,0.03278688524590164,0.29508196721311475,0.01639344262295082,0.13114754098360656,1.0,0.2459016393442623,0.21311475409836064,0.01639344262295082,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0
COLLAGEN BINDING,0.0,0.3076923076923077,0.06153846153846154,0.06153846153846154,0.23076923076923078,1.0,0.16923076923076924,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTEGRIN BINDING,0.006622516556291391,0.17218543046357615,0.026490066225165563,0.06622516556291391,0.08609271523178808,0.0728476821192053,1.0,0.052980132450331126,0.006622516556291391,0.0,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.026490066225165563,0.026490066225165563,0.0,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052980132450331126,0.006622516556291391,0.006622516556291391,0.0,0.0
CADHERIN BINDING,0.029850746268656716,0.0,0.0,0.023880597014925373,0.0029850746268656717,0.0029850746268656717,0.023880597014925373,1.0,0.026865671641791045,0.020895522388059702,0.011940298507462687,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.01791044776119403,0.0029850746268656717,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029850746268656717,0.0,0.0
MOLECULAR SEQUESTERING ACTIVITY,0.0,0.0,0.0,0.0,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.10112359550561797,1.0,0.10112359550561797,0.02247191011235955,0.0,0.0,0.0,0.0,0.033707865168539325,0.07865168539325842,0.0449438202247191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02247191011235955,0.011235955056179775,0.0,0.0,0.0
KINASE INHIBITOR ACTIVITY,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.06930693069306931,0.0891089108910891,1.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.06930693069306931,0.0594059405940594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.009900990099009901,0.0,0.0
