"TF","MVL_TOR10"
"AHR","2.20595792554744285"
"AR","0.67291545901709737"
"ARID2","-1.75785130443815807"
"ARID3A","-0.94663177389610287"
"ARNT","2.17085206068727343"
"ARNTL","-0.66980114065355612"
"ASCL1","1.59909185484795779"
"ATF1","-0.08393567088588118"
"ATF2","1.13820074451984787"
"ATF3","-0.74235269001298065"
"ATF4","0.08183148457710775"
"ATF6","-2.35767168120884074"
"ATF7","1.70851747634273110"
"BACH1","2.06119965668774574"
"BACH2","1.23724479279847310"
"BATF","1.52219278813226677"
"BCL11A","1.15201799068558985"
"BCL6","-0.56516060762247566"
"BHLHE22","0.24530750533517401"
"BHLHE40","0.93355135256852373"
"CDX2","4.28675464422125785"
"CEBPA","-0.43020443087793586"
"CEBPB","0.62458498369969084"
"CEBPD","0.78278228914588088"
"CEBPG","0.56051992389364513"
"CLOCK","0.16479236259228219"
"CREB1","0.88091136742839726"
"CREB3","0.87426182001018360"
"CREB3L1","-2.60846085572726638"
"CREM","0.51016399093690834"
"CTCF","-0.30496163425168943"
"CTCFL","-2.36874611817932079"
"CUX1","-0.14338089364842638"
"DUX4","-0.84225162289412236"
"E2F1","-4.63433460571907840"
"E2F2","-0.21714140494433770"
"E2F3","-0.35594743329894335"
"E2F4","-8.00116365257065532"
"E2F5","1.23817574565991362"
"E2F6","-0.85379757571629300"
"E2F7","-1.51780253353657835"
"EBF1","2.12189234739589061"
"EGR1","-1.32522369396869366"
"EHF","2.69129158761880616"
"ELF1","-0.88161225487187311"
"ELF3","3.06079549617652757"
"ELF5","1.88468001608387148"
"ELK1","-1.60228580434030055"
"ELK4","-1.15565661122595120"
"EOMES","-0.94045750455744770"
"EPAS1","1.47079479552078318"
"ESR1","3.62324665469259477"
"ESR2","1.62270189490031558"
"ESRRA","2.71425490669525526"
"ETS1","-0.63806243320313927"
"ETS2","-1.96152077297291560"
"ETV1","1.81568057499749602"
"ETV4","0.83843323536384406"
"FLI1","0.11788797196977664"
"FOS","-0.76823868970730835"
"FOSL1","2.88501585180427034"
"FOSL2","-0.61159929380751299"
"FOXA1","2.37482909396809250"
"FOXA2","1.37461401574236142"
"FOXJ2","-0.48070275718398459"
"FOXK2","-0.95621098442120622"
"FOXL2","-0.12551968439279571"
"FOXM1","-4.44063191277902369"
"FOXO1","0.48558140254102489"
"FOXO3","-0.83179771424384474"
"FOXO4","0.13031608464604733"
"FOXP1","-1.56451830221246468"
"FOXP2","-0.39018330663252815"
"GABPA","-1.02934398476600619"
"GATA2","0.61103841584814522"
"GATA3","0.57493346653177113"
"GATA6","1.07230631802848331"
"GFI1B","0.62397828104247433"
"GLI2","2.17910698131013802"
"GRHL2","4.11601799235893751"
"HBP1","0.51246701525232474"
"HHEX","-0.99579108257722737"
"HIF1A","0.21619108500892020"
"HINFP","-0.50045033909398251"
"HMBOX1","-0.08490018003680805"
"HNF1A","2.08297755958113351"
"HNF1B","3.86245682570271720"
"HNF4A","3.32318763804518857"
"HNF4G","2.59741574523207897"
"HOXA9","-1.25900584010218886"
"HOXB13","0.90938841545024462"
"HSF1","0.13290779337137107"
"IKZF1","3.27931237129693232"
"IRF1","0.86545905548631885"
"IRF2","-1.39746145574450309"
"IRF3","-2.72865006342241134"
"IRF4","1.82513077718233263"
"IRF9","0.39829853792762010"
"JUN","2.77518139638547190"
"JUNB","0.63811410500955956"
"JUND","0.93937004979066430"
"KDM5B","-0.47614840245979179"
"KLF1","0.22574043600715868"
"KLF13","1.58082816086739042"
"KLF3","0.44423587786870528"
"KLF4","1.97008790085476426"
"KLF5","-0.65963862472267987"
"KLF6","0.04414299279268442"
"KLF9","-0.93137635871365210"
"KMT2A","1.27623515377418295"
"LEF1","1.71620632714988508"
"LHX2","0.50337422165124412"
"LYL1","2.05353808774534574"
"MAF","2.25873022504453136"
"MAFB","2.11128289741975239"
"MAFF","0.95224636247737249"
"MAFG","2.15390969829098378"
"MAFK","1.89757775759187042"
"MAX","0.80755455800179476"
"MAZ","-2.01328310908155883"
"MBD1","1.70516718163534997"
"MBD2","0.95324862104558716"
"MEF2A","1.34453068810231047"
"MEF2B","-0.91608871091101807"
"MEF2C","1.07038865554405027"
"MEIS1","1.81449907575767333"
"MEIS2","2.05940582243986947"
"MITF","0.95783499036860220"
"MNT","3.09042129908671281"
"MXI1","0.17236254745324200"
"MYB","0.32250080019024030"
"MYBL2","-2.03508318199740756"
"MYC","-0.07449434018142478"
"MYCN","2.64573350071859936"
"MYOD1","0.19355204401581746"
"NANOG","1.98924606309603758"
"NCOA1","-0.61317558599602606"
"NCOA2","0.42567484624050683"
"NCOA3","-1.35602861782286710"
"NEUROD1","0.38255037711157763"
"NFATC1","0.45743060632576077"
"NFE2","0.80223687348086725"
"NFE2L1","1.31782299911261980"
"NFE2L2","5.60779053719135145"
"NFIC","-0.89708719867309539"
"NFKB1","1.76085919868657448"
"NFKB2","1.69490064066283486"
"NFYA","-2.88532033176574165"
"NFYB","-3.26104370148852274"
"NR1H2","-1.05120706381881179"
"NR1H3","0.26292521232540583"
"NR2C2","-1.19745958371873429"
"NR2F1","1.86637777723929554"
"NR2F6","-0.48555129411789028"
"NR3C1","-1.40408355787166772"
"NR4A1","1.64146736533269055"
"NR5A2","0.94706006595585934"
"NRF1","-0.97971847846532867"
"ONECUT1","0.61104401323715729"
"OTX2","0.21780507665368215"
"PAX5","-0.78189458872930673"
"PAX6","0.37666829891092884"
"PAX8","1.31490633028225568"
"PBX2","0.74858483046082580"
"PBX3","1.41445940788026592"
"PDX1","2.73681623147138886"
"PGR","0.72033211642964956"
"PKNOX1","0.02541253360424062"
"POU2F1","3.04789602149161354"
"POU4F2","2.43903483750717109"
"POU5F1","2.44520756825622776"
"PPARA","3.80460809016534229"
"PPARG","-0.74903525714627395"
"PRDM1","1.20396419776778796"
"PRDM14","2.04687292003435894"
"PROX1","1.43295813060444432"
"RARA","2.41573078510173778"
"RBPJ","2.44003624488467086"
"REL","-0.16932779076362237"
"RELA","1.48041096224144364"
"RELB","-1.14491487859080077"
"REST","-0.43044241181678056"
"RFX1","1.12897211249090690"
"RFX2","2.43796572721256055"
"RUNX1","2.85541849503696499"
"RUNX2","3.42862430362528281"
