Pathway,ATF5 TARGET GENES,PER1 TARGET GENES,EMX1 TARGET GENES,KDM1B TARGET GENES,MSX1 TARGET GENES,SRPK1 TARGET GENES,NR2E3 TARGET GENES,NR1I2 TARGET GENES,MYF6 TARGET GENES,DLX2 TARGET GENES,DMRT1 TARGET GENES,TERF2 TARGET GENES,ZMYND11 TARGET GENES,RPA2 TARGET GENES,SIX1 TARGET GENES,IGF1R TARGET GENES,ZSCAN23 TARGET GENES,ZNF558 TARGET GENES,F10 TARGET GENES,KLF14 TARGET GENES,ZNF454 TARGET GENES,RORA TARGET GENES,FOXF1 TARGET GENES,HOXC13 TARGET GENES,SOX10 TARGET GENES,ZNF16 TARGET GENES,PCGF6 TARGET GENES,ZNF202 TARGET GENES,SQSTM1 TARGET GENES,ZZZ3 TARGET GENES,RBM15 TARGET GENES,ZNF677 TARGET GENES,MIER1 TARGET GENES,ATOH8 TARGET GENES,MYBL1 TARGET GENES,TCOF1 TARGET GENES,ZNF486 TARGET GENES,SNAPC4 TARGET GENES,MED16 TARGET GENES,NFE2L3 TARGET GENES
ATF5 TARGET GENES,1.0,0.015053763440860216,0.07956989247311828,0.012903225806451613,0.08602150537634409,0.02795698924731183,0.002150537634408602,0.047311827956989246,0.0,0.1053763440860215,0.10752688172043011,0.010752688172043012,0.0,0.0,0.023655913978494623,0.0,0.0064516129032258064,0.04086021505376344,0.012903225806451613,0.015053763440860216,0.002150537634408602,0.06236559139784946,0.0,0.01935483870967742,0.017204301075268817,0.002150537634408602,0.012903225806451613,0.004301075268817204,0.0,0.03655913978494624,0.017204301075268817,0.012903225806451613,0.034408602150537634,0.002150537634408602,0.04516129032258064,0.002150537634408602,0.010752688172043012,0.03225806451612903,0.012903225806451613,0.002150537634408602
PER1 TARGET GENES,0.21212121212121213,1.0,0.15151515151515152,0.030303030303030304,0.09090909090909091,0.12121212121212122,0.0,0.06060606060606061,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.12121212121212122,0.09090909090909091,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0
EMX1 TARGET GENES,0.15948275862068967,0.021551724137931036,1.0,0.02586206896551724,0.05172413793103448,0.03017241379310345,0.008620689655172414,0.02586206896551724,0.0,0.11637931034482758,0.13793103448275862,0.021551724137931036,0.017241379310344827,0.0,0.021551724137931036,0.0,0.021551724137931036,0.03017241379310345,0.008620689655172414,0.0,0.0,0.05603448275862069,0.0,0.02586206896551724,0.021551724137931036,0.0,0.008620689655172414,0.0,0.0,0.017241379310344827,0.017241379310344827,0.01293103448275862,0.03017241379310345,0.0,0.03879310344827586,0.0,0.017241379310344827,0.01293103448275862,0.0,0.004310344827586207
KDM1B TARGET GENES,0.03636363636363636,0.006060606060606061,0.03636363636363636,1.0,0.01818181818181818,0.03636363636363636,0.0,0.024242424242424242,0.0,0.04242424242424243,0.05454545454545454,0.01818181818181818,0.006060606060606061,0.0,0.006060606060606061,0.0,0.006060606060606061,0.04242424242424243,0.048484848484848485,0.012121212121212121,0.0,0.0,0.0,0.012121212121212121,0.030303030303030304,0.0,0.0,0.0,0.0,0.03636363636363636,0.024242424242424242,0.012121212121212121,0.0,0.006060606060606061,0.01818181818181818,0.0,0.0,0.04242424242424243,0.0,0.0
MSX1 TARGET GENES,0.19801980198019803,0.01485148514851485,0.0594059405940594,0.01485148514851485,1.0,0.24752475247524752,0.0049504950495049506,0.039603960396039604,0.0049504950495049506,0.19801980198019803,0.09405940594059406,0.009900990099009901,0.0,0.0,0.0297029702970297,0.0,0.0049504950495049506,0.019801980198019802,0.0297029702970297,0.024752475247524754,0.0,0.04455445544554455,0.0049504950495049506,0.034653465346534656,0.024752475247524754,0.0,0.0,0.0049504950495049506,0.0,0.07425742574257425,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.019801980198019802,0.0,0.009900990099009901,0.0049504950495049506,0.009900990099009901,0.0049504950495049506
SRPK1 TARGET GENES,0.03217821782178218,0.009900990099009901,0.017326732673267328,0.01485148514851485,0.12376237623762376,1.0,0.0,0.027227722772277228,0.0,0.022277227722772276,0.024752475247524754,0.0049504950495049506,0.0,0.0,0.009900990099009901,0.0024752475247524753,0.009900990099009901,0.0297029702970297,0.007425742574257425,0.034653465346534656,0.0,0.027227722772277228,0.0,0.007425742574257425,0.017326732673267328,0.0,0.0024752475247524753,0.0,0.0,0.04455445544554455,0.024752475247524754,0.007425742574257425,0.007425742574257425,0.0024752475247524753,0.04950495049504951,0.0,0.012376237623762377,0.009900990099009901,0.0024752475247524753,0.0
NR2E3 TARGET GENES,0.1,0.0,0.2,0.0,0.1,0.0,1.0,0.3,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR1I2 TARGET GENES,0.06321839080459771,0.005747126436781609,0.017241379310344827,0.011494252873563218,0.022988505747126436,0.031609195402298854,0.008620689655172414,1.0,0.0,0.034482758620689655,0.07183908045977011,0.011494252873563218,0.005747126436781609,0.0,0.022988505747126436,0.0,0.005747126436781609,0.008620689655172414,0.011494252873563218,0.020114942528735632,0.0,0.040229885057471264,0.0028735632183908046,0.02586206896551724,0.017241379310344827,0.0028735632183908046,0.008620689655172414,0.0,0.0028735632183908046,0.03735632183908046,0.011494252873563218,0.014367816091954023,0.005747126436781609,0.0,0.05747126436781609,0.0028735632183908046,0.005747126436781609,0.017241379310344827,0.0028735632183908046,0.0
MYF6 TARGET GENES,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,1.0,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
DLX2 TARGET GENES,0.1678082191780822,0.0,0.09246575342465753,0.023972602739726026,0.136986301369863,0.030821917808219176,0.00684931506849315,0.0410958904109589,0.00684931506849315,1.0,0.1815068493150685,0.02054794520547945,0.003424657534246575,0.0,0.023972602739726026,0.0,0.0136986301369863,0.05136986301369863,0.017123287671232876,0.010273972602739725,0.0,0.05821917808219178,0.0,0.023972602739726026,0.030821917808219176,0.003424657534246575,0.003424657534246575,0.0,0.003424657534246575,0.030821917808219176,0.010273972602739725,0.0,0.010273972602739725,0.003424657534246575,0.030821917808219176,0.0,0.0,0.02054794520547945,0.010273972602739725,0.00684931506849315
DMRT1 TARGET GENES,0.1201923076923077,0.004807692307692308,0.07692307692307693,0.021634615384615384,0.04567307692307692,0.02403846153846154,0.007211538461538462,0.06009615384615385,0.004807692307692308,0.12740384615384615,1.0,0.007211538461538462,0.0,0.0,0.014423076923076924,0.0,0.01201923076923077,0.028846153846153848,0.007211538461538462,0.021634615384615384,0.002403846153846154,0.08653846153846154,0.0,0.036057692307692304,0.014423076923076924,0.007211538461538462,0.002403846153846154,0.004807692307692308,0.004807692307692308,0.04567307692307692,0.002403846153846154,0.009615384615384616,0.016826923076923076,0.0,0.04567307692307692,0.004807692307692308,0.002403846153846154,0.004807692307692308,0.004807692307692308,0.004807692307692308
TERF2 TARGET GENES,0.03546099290780142,0.0,0.03546099290780142,0.02127659574468085,0.014184397163120567,0.014184397163120567,0.0,0.028368794326241134,0.0070921985815602835,0.0425531914893617,0.02127659574468085,1.0,0.0,0.0,0.028368794326241134,0.0,0.0,0.014184397163120567,0.02127659574468085,0.014184397163120567,0.0,0.014184397163120567,0.0,0.0070921985815602835,0.014184397163120567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014184397163120567,0.0070921985815602835,0.02127659574468085,0.0,0.0,0.0070921985815602835,0.014184397163120567,0.0
ZMYND11 TARGET GENES,0.0,0.0,0.07142857142857142,0.017857142857142856,0.0,0.0,0.0,0.03571428571428571,0.0,0.017857142857142856,0.0,0.0,1.0,0.017857142857142856,0.05357142857142857,0.0,0.0,0.0,0.05357142857142857,0.07142857142857142,0.05357142857142857,0.017857142857142856,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.08928571428571429,0.0,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.0,0.0,0.03571428571428571,0.0,0.0
RPA2 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0
SIX1 TARGET GENES,0.028720626631853787,0.0,0.013054830287206266,0.0026109660574412533,0.015665796344647518,0.010443864229765013,0.0,0.020887728459530026,0.005221932114882507,0.018276762402088774,0.015665796344647518,0.010443864229765013,0.007832898172323759,0.0,1.0,0.0026109660574412533,0.010443864229765013,0.031331592689295036,0.03655352480417755,0.018276762402088774,0.0,0.005221932114882507,0.0,0.0026109660574412533,0.02349869451697128,0.0026109660574412533,0.0026109660574412533,0.0026109660574412533,0.0,0.013054830287206266,0.007832898172323759,0.007832898172323759,0.02610966057441253,0.0,0.010443864229765013,0.0,0.007832898172323759,0.0026109660574412533,0.0026109660574412533,0.005221932114882507
IGF1R TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZSCAN23 TARGET GENES,0.03488372093023256,0.0,0.05813953488372093,0.011627906976744186,0.011627906976744186,0.046511627906976744,0.0,0.023255813953488372,0.0,0.046511627906976744,0.05813953488372093,0.0,0.0,0.0,0.046511627906976744,0.011627906976744186,1.0,0.32558139534883723,0.10465116279069768,0.23255813953488372,0.0,0.11627906976744186,0.0,0.023255813953488372,0.023255813953488372,0.011627906976744186,0.0,0.023255813953488372,0.0,0.10465116279069768,0.03488372093023256,0.023255813953488372,0.046511627906976744,0.0,0.06976744186046512,0.0,0.0,0.03488372093023256,0.05813953488372093,0.0
ZNF558 TARGET GENES,0.06070287539936102,0.0,0.022364217252396165,0.022364217252396165,0.012779552715654952,0.038338658146964855,0.003194888178913738,0.009584664536741214,0.0,0.04792332268370607,0.038338658146964855,0.006389776357827476,0.0,0.0,0.038338658146964855,0.003194888178913738,0.08945686900958466,1.0,0.04792332268370607,0.0926517571884984,0.01597444089456869,0.06389776357827476,0.0,0.006389776357827476,0.009584664536741214,0.006389776357827476,0.006389776357827476,0.07348242811501597,0.0,0.0670926517571885,0.025559105431309903,0.012779552715654952,0.025559105431309903,0.003194888178913738,0.03194888178913738,0.003194888178913738,0.006389776357827476,0.022364217252396165,0.019169329073482427,0.0
F10 TARGET GENES,0.020761245674740483,0.0,0.006920415224913495,0.02768166089965398,0.020761245674740483,0.010380622837370242,0.0,0.01384083044982699,0.0034602076124567475,0.01730103806228374,0.010380622837370242,0.010380622837370242,0.010380622837370242,0.0,0.04844290657439446,0.0034602076124567475,0.031141868512110725,0.05190311418685121,1.0,0.04498269896193772,0.0034602076124567475,0.03460207612456748,0.0,0.0034602076124567475,0.04498269896193772,0.0034602076124567475,0.0,0.0034602076124567475,0.0,0.02422145328719723,0.006920415224913495,0.010380622837370242,0.020761245674740483,0.0,0.031141868512110725,0.0,0.02422145328719723,0.010380622837370242,0.01384083044982699,0.0
KLF14 TARGET GENES,0.027237354085603113,0.0038910505836575876,0.0,0.007782101167315175,0.019455252918287938,0.054474708171206226,0.0,0.027237354085603113,0.0038910505836575876,0.011673151750972763,0.03501945525291829,0.007782101167315175,0.01556420233463035,0.0,0.027237354085603113,0.0,0.07782101167315175,0.11284046692607004,0.05058365758754864,1.0,0.01556420233463035,0.14007782101167315,0.0,0.0,0.0,0.023346303501945526,0.0,0.0038910505836575876,0.0,0.0311284046692607,0.03501945525291829,0.023346303501945526,0.054474708171206226,0.0038910505836575876,0.05058365758754864,0.0,0.011673151750972763,0.0,0.027237354085603113,0.0
ZNF454 TARGET GENES,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0,0.2777777777777778,0.05555555555555555,0.2222222222222222,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0
RORA TARGET GENES,0.10902255639097744,0.007518796992481203,0.04887218045112782,0.0,0.03383458646616541,0.041353383458646614,0.0037593984962406013,0.05263157894736842,0.0037593984962406013,0.06390977443609022,0.13533834586466165,0.007518796992481203,0.0037593984962406013,0.0,0.007518796992481203,0.0,0.03759398496240601,0.07518796992481203,0.03759398496240601,0.13533834586466165,0.011278195488721804,1.0,0.0,0.03007518796992481,0.007518796992481203,0.0037593984962406013,0.0,0.0,0.007518796992481203,0.10150375939849623,0.0037593984962406013,0.007518796992481203,0.03007518796992481,0.0,0.04887218045112782,0.0,0.007518796992481203,0.011278195488721804,0.0,0.0
FOXF1 TARGET GENES,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXC13 TARGET GENES,0.07377049180327869,0.0,0.04918032786885246,0.01639344262295082,0.05737704918032787,0.02459016393442623,0.0,0.07377049180327869,0.0,0.05737704918032787,0.12295081967213115,0.00819672131147541,0.0,0.0,0.00819672131147541,0.0,0.01639344262295082,0.01639344262295082,0.00819672131147541,0.0,0.0,0.06557377049180328,0.00819672131147541,1.0,0.01639344262295082,0.0,0.0,0.00819672131147541,0.0,0.06557377049180328,0.0,0.01639344262295082,0.02459016393442623,0.0,0.08196721311475409,0.0,0.0,0.01639344262295082,0.0,0.0
