Pathway,REFERENCE TRANSLATION INITIATION,"VARIANT MUTATION INACTIVATED VCP TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","REFERENCE 26S PROTEASOME MEDIATED PROTEIN
DEGRADATION","VARIANT MUTATION INACTIVATED UBQLN2 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT SOD1 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","REFERENCE MITOCHONDRIAL COMPLEX UCP1 IN
THERMOGENESIS","PATHOGEN ARSENIC TO ELECTRON TRANSFER IN
COMPLEX II","REFERENCE CITRATE CYCLE SECOND CARBON
OXIDATION 2","ENV FACTOR ARSENIC TO ELECTRON TRANSFER IN
COMPLEX IV",REFERENCE ELECTRON TRANSFER IN COMPLEX IV,"VARIANT MUTATION CAUSED ABERRANT ABETA TO
ELECTRON TRANSFER IN COMPLEX IV",REFERENCE CXCR4 GNB G RAC SIGNALING PATHWAY,"PATHOGEN HIV GP120 TO CXCR4 GNB G RAC
SIGNALING PATHWAY","REFERENCE CCR CXCR GNB G PI3K RAC SIGNALING
PATHWAY",REFERENCE GPCR PI3K SIGNALING PATHWAY,"REFERENCE CXCR GNB G PI3K AKT SIGNALING
PATHWAY","PATHOGEN KSHV VGPCR TO GNB G PI3K AKT
SIGNALING PATHWAY","VARIANT MUTATION CAUSED ABERRANT ABETA TO
ELECTRON TRANSFER IN COMPLEX I",REFERENCE ELECTRON TRANSFER IN COMPLEX I,"VARIANT MUTATION CAUSED ABERRANT SNCA TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT MUTATION INACTIVATED PINK1 TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT MUTATION CAUSED ABERRANT TDP43 TO
ELECTRON TRANSFER IN COMPLEX I",REFERENCE STRAD STK11 TSC SIGNALING PATHWAY,REFERENCE MEVALONATE PATHWAY,REFERENCE ELECTRON TRANSFER IN COMPLEX III,"VARIANT MUTATION CAUSED ABERRANT HTT TO
ELECTRON TRANSFER IN COMPLEX III",REFERENCE EGF EGFR ACTIN SIGNALING PATHWAY,"PATHOGEN SHIGELLA IPAC TO ACTIN SIGNALING
PATHWAY","PATHOGEN ESCHERICHIA ESPT TO RAC SIGNALING
PATHWAY","VARIANT DELETED DMD TO DYSTROPHIN ASSOCIATED
PROTEIN COMPLEX","PATHOGEN SALMONELLA SPVD TO TNF NFKB
SIGNALING PATHWAY","PATHOGEN SALMONELLA SOPE E2 TO NOD NFKB
SIGNALING PATHWAY",REFERENCE RIG I NFKB SIGNALING PATHWAY,REFERENCE TLR2 4 MAPK SIGNALING PATHWAY,"PATHOGEN HTLV 1 TAX TO SRF MEDIATED
TRANSCRIPTION","REFERENCE N GLYCAN PRECURSOR BIOSYNTHESIS
ALG7 TO ALG11","REFERENCE C9ORF72 MEDIATED AUTOPHAGY
INITIATION",REFERENCE TSH DUOX2 TG SIGNALING PATHWAY,"VARIANT MUTATION CAUSED ABERRANT ABETA TO
CROSSTALK BETWEEN EXTRINSIC AND INTRINSIC
APOPTOTIC PATHWAYS","VARIANT MUTATION CAUSED ABERRANT PSEN1 TO
PERK ATF4 SIGNALING PATHWAY"
"VARIANT MUTATION CAUSED ABERRANT ABETA TO
ELECTRON TRANSFER IN COMPLEX I",0.0,0.0,0.0,0.0,0.0,0.5098039215686274,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0
REFERENCE ELECTRON TRANSFER IN COMPLEX I,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION CAUSED ABERRANT SNCA TO
ELECTRON TRANSFER IN COMPLEX I",0.0,0.0,0.0,0.0,0.0,0.5777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777777777777777,0.9777777777777777,1.0,0.9777777777777777,0.9777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION INACTIVATED PINK1 TO
ELECTRON TRANSFER IN COMPLEX I",0.0,0.0,0.0,0.0,0.0,0.5777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,1.0,0.9777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION CAUSED ABERRANT TDP43 TO
ELECTRON TRANSFER IN COMPLEX I",0.0,0.0,0.0,0.0,0.0,0.5777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE STRAD STK11 TSC SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE MEVALONATE PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE ELECTRON TRANSFER IN COMPLEX III,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION CAUSED ABERRANT HTT TO
ELECTRON TRANSFER IN COMPLEX III",0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE EGF EGFR ACTIN SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6190476190476191,0.5238095238095238,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
