Pathway,CYTOPLASMIC RIBOSOMAL PROTEINS,22Q112 DISTAL CNV,"ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN
MITOCHONDRIA",OXIDATIVE PHOSPHORYLATION,"MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS
SYSTEM",MITOCHONDRIAL COMPLEX IV ASSEMBLY,MAPK SIGNALING AND ARTD FAMILY MEMBERS,MACROPHAGESTIMULATING PROTEIN MSP SIGNALING,7Q1123 DISTAL COPY NUMBER VARIATION,EXERCISEINDUCED CIRCADIAN REGULATION,"CHOLESTEROL METABOLISM WITH BLOCH AND
KANDUTSCHRUSSELL PATHWAYS",MEVALONATE PATHWAY,CHOLESTEROL METABOLISM,CHOLESTEROL BIOSYNTHESIS PATHWAY,CHOLESTEROL SYNTHESIS DISORDERS,AUTOPHAGY,P53 TRANSCRIPTIONAL GENE NETWORK,MIRTARGETED GENES IN MUSCLE CELL,MIRTARGETED GENES IN LYMPHOCYTES,HEMATOPOIETIC STEM CELL DIFFERENTIATION,"T CELL MODULATION AND DESMOPLASIA IN
PANCREATIC CANCER",LIPID METABOLISM IN SENESCENT CELLS,"PHOTODYNAMIC THERAPYINDUCED HIF1 SURVIVAL
SIGNALING",DNA DAMAGE RESPONSE,"MIRNA REGULATION OF P53 PATHWAY IN PROSTATE
CANCER",DNA IRDAMAGE AND CELLULAR RESPONSE VIA ATR,UNFOLDED PROTEIN RESPONSE,"PHOTODYNAMIC THERAPYINDUCED UNFOLDED PROTEIN
RESPONSE",ARYL HYDROCARBON RECEPTOR PATHWAY WP2586,BENZOAPYRENE METABOLISM,MITOCHONDRIAL BETAOXIDATION,LEUCINE ISOLEUCINE AND VALINE METABOLISM,ONCOSTATIN M SIGNALING,"NCRNAS INVOLVED IN STAT3 SIGNALING IN
HEPATOCELLULAR CARCINOMA",SARS CORONAVIRUS AND INNATE IMMUNITY,"HOSTPATHOGEN INTERACTION OF HUMAN
CORONAVIRUSES INTERFERON INDUCTION",GLUTATHIONE METABOLISM,SELENIUM MICRONUTRIENT NETWORK,PHOSPHATIDYL INOSITOL PHOSPHATE PATHWAY,7OXOC AND 7BETAHC PATHWAYS
CYTOPLASMIC RIBOSOMAL PROTEINS,1.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22Q112 DISTAL CNV,0.2014388489208633,1.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.02158273381294964,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02158273381294964,0.02158273381294964,0.0,0.0,0.007194244604316547,0.007194244604316547,0.02158273381294964,0.014388489208633094,0.02158273381294964,0.02877697841726619,0.04316546762589928,0.007194244604316547,0.0,0.0,0.0,0.02158273381294964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN
MITOCHONDRIA",0.0,0.0,1.0,0.5333333333333333,0.3619047619047619,0.17142857142857143,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXIDATIVE PHOSPHORYLATION,0.0,0.0,0.9333333333333333,1.0,0.5666666666666667,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS
SYSTEM",0.0,0.0,0.6785714285714286,0.6071428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MITOCHONDRIAL COMPLEX IV ASSEMBLY,0.0,0.0,0.5294117647058824,0.029411764705882353,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAPK SIGNALING AND ARTD FAMILY MEMBERS,0.0,0.03125,0.0,0.0,0.0,0.0,1.0,0.3125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.09375,0.0,0.0,0.0,0.25,0.0,0.0,0.09375,0.0,0.0,0.0,0.0
MACROPHAGESTIMULATING PROTEIN MSP SIGNALING,0.037037037037037035,0.027777777777777776,0.0,0.0,0.0,0.0,0.09259259259259259,1.0,0.018518518518518517,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.06481481481481481,0.046296296296296294,0.05555555555555555,0.046296296296296294,0.037037037037037035,0.009259259259259259,0.037037037037037035,0.027777777777777776,0.018518518518518517,0.027777777777777776,0.018518518518518517,0.0,0.07407407407407407,0.0,0.0,0.0,0.2222222222222222,0.037037037037037035,0.009259259259259259,0.046296296296296294,0.0,0.05555555555555555,0.018518518518518517,0.0
7Q1123 DISTAL COPY NUMBER VARIATION,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXERCISEINDUCED CIRCADIAN REGULATION,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,1.0,0.020833333333333332,0.0,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.0,0.0,0.041666666666666664,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHOLESTEROL METABOLISM WITH BLOCH AND
KANDUTSCHRUSSELL PATHWAYS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,1.0,0.14893617021276595,0.5319148936170213,0.3191489361702128,0.3617021276595745,0.0,0.0,0.06382978723404255,0.10638297872340426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0851063829787234
MEVALONATE PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHOLESTEROL METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.3472222222222222,0.09722222222222222,1.0,0.20833333333333334,0.2361111111111111,0.0,0.0,0.05555555555555555,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.06944444444444445,0.0,0.08333333333333333
CHOLESTEROL BIOSYNTHESIS PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,1.0,0.4,1.0,1.0,0.9333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
CHOLESTEROL SYNTHESIS DISORDERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.9444444444444444,0.3333333333333333,0.9444444444444444,0.7777777777777778,1.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
AUTOPHAGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43333333333333335,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P53 TRANSCRIPTIONAL GENE NETWORK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07291666666666667,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.13541666666666666,1.0,0.125,0.07291666666666667,0.020833333333333332,0.020833333333333332,0.010416666666666666,0.041666666666666664,0.19791666666666666,0.11458333333333333,0.07291666666666667,0.03125,0.010416666666666666,0.03125,0.0,0.0,0.0,0.041666666666666664,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.052083333333333336,0.010416666666666666,0.0
MIRTARGETED GENES IN MUSCLE CELL,0.0,0.007556675062972292,0.0,0.0,0.0,0.0,0.005037783375314861,0.012594458438287154,0.0,0.005037783375314861,0.007556675062972292,0.0,0.010075566750629723,0.0025188916876574307,0.0025188916876574307,0.0025188916876574307,0.030226700251889168,1.0,0.9017632241813602,0.020151133501259445,0.005037783375314861,0.0025188916876574307,0.007556675062972292,0.017632241813602016,0.005037783375314861,0.007556675062972292,0.005037783375314861,0.0,0.022670025188916875,0.0025188916876574307,0.0025188916876574307,0.0,0.015113350125944584,0.012594458438287154,0.0,0.0025188916876574307,0.005037783375314861,0.0025188916876574307,0.0,0.0
MIRTARGETED GENES IN LYMPHOCYTES,0.0,0.006198347107438017,0.0,0.0,0.0,0.0,0.006198347107438017,0.012396694214876033,0.0,0.006198347107438017,0.010330578512396695,0.0,0.006198347107438017,0.002066115702479339,0.002066115702479339,0.004132231404958678,0.014462809917355372,0.7396694214876033,1.0,0.01859504132231405,0.006198347107438017,0.002066115702479339,0.006198347107438017,0.01652892561983471,0.002066115702479339,0.010330578512396695,0.004132231404958678,0.002066115702479339,0.01652892561983471,0.002066115702479339,0.002066115702479339,0.002066115702479339,0.012396694214876033,0.010330578512396695,0.0,0.002066115702479339,0.006198347107438017,0.002066115702479339,0.0,0.0
HEMATOPOIETIC STEM CELL DIFFERENTIATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.12698412698412698,0.14285714285714285,1.0,0.031746031746031744,0.0,0.015873015873015872,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.015873015873015872,0.0,0.031746031746031744,0.0,0.0
"T CELL MODULATION AND DESMOPLASIA IN
PANCREATIC CANCER",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.03636363636363636,0.05454545454545454,0.03636363636363636,1.0,0.0,0.03636363636363636,0.01818181818181818,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.01818181818181818,0.01818181818181818,0.0,0.0,0.0,0.01818181818181818,0.0,0.0
LIPID METABOLISM IN SENESCENT CELLS,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,1.0,0.1,0.1,0.05,0.05,0.05,0.0,0.15,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0
"PHOTODYNAMIC THERAPYINDUCED HIF1 SURVIVAL
SIGNALING",0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.07894736842105263,0.07894736842105263,0.02631578947368421,0.05263157894736842,0.05263157894736842,1.0,0.10526315789473684,0.13157894736842105,0.02631578947368421,0.07894736842105263,0.0,0.07894736842105263,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0
DNA DAMAGE RESPONSE,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2753623188405797,0.10144927536231885,0.11594202898550725,0.0,0.014492753623188406,0.028985507246376812,0.057971014492753624,1.0,0.21739130434782608,0.37681159420289856,0.07246376811594203,0.014492753623188406,0.08695652173913043,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MIRNA REGULATION OF P53 PATHWAY IN PROSTATE
CANCER",0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3548387096774194,0.06451612903225806,0.03225806451612903,0.0,0.0,0.03225806451612903,0.16129032258064516,0.4838709677419355,1.0,0.12903225806451613,0.16129032258064516,0.03225806451612903,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0
DNA IRDAMAGE AND CELLULAR RESPONSE VIA ATR,0.0,0.036585365853658534,0.0,0.0,0.0,0.0,0.012195121951219513,0.036585365853658534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08536585365853659,0.036585365853658534,0.06097560975609756,0.0,0.0,0.012195121951219513,0.012195121951219513,0.3170731707317073,0.04878048780487805,1.0,0.012195121951219513,0.0,0.024390243902439025,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0
UNFOLDED PROTEIN RESPONSE,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.0,0.041666666666666664,0.125,0.20833333333333334,0.20833333333333334,0.041666666666666664,1.0,0.4583333333333333,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0
"PHOTODYNAMIC THERAPYINDUCED UNFOLDED PROTEIN
RESPONSE",0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.4074074074074074,1.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARYL HYDROCARBON RECEPTOR PATHWAY WP2586,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.06521739130434782,0.17391304347826086,0.021739130434782608,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.06521739130434782,0.1956521739130435,0.17391304347826086,0.0,0.021739130434782608,0.06521739130434782,0.06521739130434782,0.13043478260869565,0.0,0.043478260869565216,0.021739130434782608,0.021739130434782608,1.0,0.043478260869565216,0.0,0.0,0.2391304347826087,0.043478260869565216,0.0,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.0,0.0
BENZOAPYRENE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MITOCHONDRIAL BETAOXIDATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEUCINE ISOLEUCINE AND VALINE METABOLISM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
