"res"
"TCGA-AA-A004-01A"
"TCGA-A6-2674-01A"
"TCGA-AA-3947-01A"
"TCGA-A6-6780-01A"
"TCGA-A6-2683-01A"
"TCGA-AA-3542-01A"
"TCGA-WS-AB45-01A"
"TCGA-AA-3514-01A"
"TCGA-AA-3527-01A"
"TCGA-AA-3695-01A"
"TCGA-A6-2679-01A"
"TCGA-AZ-4323-01A"
