"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","SP1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.16666666666666","5","5","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=792); GTEx--Coexpression(rank=1046); Enrichr--Queries(rank=1222)","55","rank=5; score=1.8882; p=0.012936","rank=55; score=0.01347","rank=37; score=2.9602; direction=Activated","rank=57; score=7.9228; p=0.022355; adjP=0.24591","rank=7; score=1.6506; p=0.022356","rank=230; score=1.2219; p=0.22174; direction=Activated"
"2","EPAS1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","79.66666666666666","3","4","GTEx--Coexpression(rank=86); Enrichr--Queries(rank=133); ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=177)","228","rank=3; score=2.0174; p=0.0096063","rank=228; score=0.05352","rank=35; score=3.0762; direction=Activated","rank=162; score=20.965; p=0.11015; adjP=0.26889","rank=29; score=0.95801; p=0.11015","rank=21; score=2.4278; p=0.015193; direction=Activated"
"3","ESR1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","80.50000000000000","18","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=177); Enrichr--Queries(rank=231); GTEx--Coexpression(rank=497); ARCHS4--Coexpression(rank=1192)","181","rank=51; score=0.56634; p=0.27143","rank=181; score=0.04268","rank=113; score=1.3244; direction=Activated","rank=26; score=10.035; p=0.058464; adjP=0.26889","rank=18; score=1.2331; p=0.058464","rank=94; score=1.7845; p=0.074344; direction=Activated"
"4","SPI1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","90.33333333333333","18","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=99); Enrichr--Queries(rank=621); GTEx--Coexpression(rank=686); ARCHS4--Coexpression(rank=798)","78","rank=108; score=0.15693; p=0.69674","rank=78; score=0.01829","rank=136; score=1.0215; direction=Activated","rank=18; score=8.6525; p=0.0083554; adjP=0.53998","rank=81; score=0.28782; p=0.51544","rank=121; score=1.6537; p=0.098181; direction=Activated"
"5","TP53","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","101.50000000000000","4","5","Literature--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=111); Enrichr--Queries(rank=995); GTEx--Coexpression(rank=1247); ARCHS4--Coexpression(rank=1436)","131","rank=94; score=0.25876; p=0.55111","rank=131; score=0.03049","rank=41; score=2.9; direction=Activated","rank=4; score=11.109; p=0.012461; adjP=0.58466","rank=84; score=0.24453; p=0.56947","rank=255; score=1.148; p=0.25097; direction=Activated"
"6","HIF1A","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","105.50000000000000","14","5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=279); ARCHS4--Coexpression(rank=284); Enrichr--Queries(rank=897)","284","rank=46; score=0.60821; p=0.24648","rank=284; score=0.06707","rank=14; score=4.5717; direction=Activated","rank=132; score=5.7074; p=0.069641; adjP=0.62925","rank=86; score=0.20685; p=0.62108","rank=71; score=1.8931; p=0.05835; direction=Activated"
"7","PPARG","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","106.00000000000000","4","5","Literature--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=112); Enrichr--Queries(rank=152); ARCHS4--Coexpression(rank=257)","206","rank=4; score=1.9253; p=0.011876","rank=206; score=0.04878","rank=167; score=0.69679; direction=Activated","rank=156; score=7.7459; p=0.11438; adjP=0.26889","rank=48; score=0.74895; p=0.17826","rank=55; score=1.9556; p=0.050516; direction=Activated"
"8","CDX2","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","108.66666666666666","6","5","Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=121); Enrichr--Queries(rank=182); ReMap--ChIP-seq(rank=183); GTEx--Coexpression(rank=377)","104","rank=6; score=1.7892; p=0.016248","rank=104; score=0.02439","rank=226; score=0.3245; direction=Activated","rank=25; score=16.814; p=0.0095927; adjP=0.26889","rank=12; score=1.2764; p=0.052922","rank=279; score=1.0644; p=0.28714; direction=Repressed"
"9","FLI1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","108.66666666666667","21","6","Enrichr--Queries(rank=53); ReMap--ChIP-seq(rank=58); ENCODE--ChIP-seq(rank=116); Literature--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=328); GTEx--Coexpression(rank=609)","162","rank=21; score=0.85147; p=0.14078","rank=162; score=0.03775","rank=115; score=1.3159; direction=Repressed","rank=179; score=5.2368; p=0.10474; adjP=0.32723","rank=59; score=0.61197; p=0.24436","rank=116; score=1.6708; p=0.094759; direction=Activated"
"10","ZEB2","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","127.83333333333334","19","4","Enrichr--Queries(rank=52); ReMap--ChIP-seq(rank=226); GTEx--Coexpression(rank=1209); ARCHS4--Coexpression(rank=1295)","158","rank=262; score=0; p=1","rank=158; score=0.03704","rank=60; score=2.4119; direction=Activated","rank=103; score=46.094; p=0.06762; adjP=0.26889","rank=19; score=1.1699; p=0.067621","rank=165; score=1.4803; p=0.13879; direction=Activated"
