"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.333333333333334","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=1336); Enrichr--Queries(rank=1369); GTEx--Coexpression(rank=1525)","35","rank=1; score=3.4892; p=0.00032422","rank=35; score=0.008475","rank=3; score=7.262; direction=Repressed","rank=1; score=36.668; p=0.00012026; adjP=0.012267","rank=3; score=2.3382; p=0.0045902","rank=1; score=6.8052; p=1.0093e-11; direction=Repressed"
"2","FOXM1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.666666666666671","5","6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=11); Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=223); ARCHS4--Coexpression(rank=1448)","5","rank=6; score=1.732; p=0.018536","rank=5; score=0.001245","rank=75; score=1.5294; direction=Repressed","rank=14; score=41.684; p=1.7416e-05; adjP=0.003222","rank=109; score=0.39162; p=0.40586","rank=11; score=2.7391; p=0.00616; direction=Repressed"
"3","KLF5","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.166666666666671","4","5","ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=61); GTEx--Coexpression(rank=231); Enrichr--Queries(rank=357)","27","rank=27; score=0.99293; p=0.10164","rank=27; score=0.006734","rank=4; score=6.4838; direction=Activated","rank=23; score=49.239; p=0.0062224; adjP=0.25304","rank=5; score=2.206; p=0.0062225","rank=179; score=1.3597; p=0.17392; direction=Activated"
"4","IRF9","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.833333333333336","9","4","Enrichr--Queries(rank=35); GTEx--Coexpression(rank=97); ARCHS4--Coexpression(rank=100); ReMap--ChIP-seq(rank=237)","108","rank=77; score=0.51213; p=0.30752","rank=108; score=0.02493","rank=86; score=1.4036; direction=Activated","rank=49; score=40.795; p=0.022523; adjP=0.44763","rank=9; score=1.6474; p=0.022523","rank=12; score=2.7167; p=0.0065937; direction=Activated"
"5","E2F1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.666666666666671","5","6","GTEx--Coexpression(rank=5); Enrichr--Queries(rank=12); Literature--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=190); ARCHS4--Coexpression(rank=1469)","14","rank=138; score=0.19016; p=0.64542","rank=14; score=0.003111","rank=5; score=5.2283; direction=Repressed","rank=62; score=7.5186; p=0.0053898; adjP=0.10919","rank=107; score=0.42124; p=0.37911","rank=32; score=2.5307; p=0.011383; direction=Repressed"
"6","STAT1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.166666666666671","9","6","ENCODE--ChIP-seq(rank=13); Literature--ChIP-seq(rank=23); GTEx--Coexpression(rank=26); Enrichr--Queries(rank=77); ReMap--ChIP-seq(rank=86); ARCHS4--Coexpression(rank=106)","70","rank=9; score=1.5157; p=0.030498","rank=70; score=0.01618","rank=47; score=2.1117; direction=Activated","rank=24; score=6.7555; p=0.016316; adjP=0.20701","rank=145; score=0.13985; p=0.72468","rank=120; score=1.6317; p=0.10275; direction=Activated"
"7","RELA","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","85.666666666666671","15","6","Literature--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=827); GTEx--Coexpression(rank=1162); ARCHS4--Coexpression(rank=1290)","156","rank=69; score=0.57164; p=0.26814","rank=156; score=0.03659","rank=63; score=1.7112; direction=Activated","rank=61; score=11.402; p=0.00097991; adjP=0.044237","rank=15; score=1.3956; p=0.040215","rank=150; score=1.5009; p=0.13338; direction=Activated"
"8","ASCL1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","86.166666666666671","15","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=310); Enrichr--Queries(rank=767); ARCHS4--Coexpression(rank=857)","15","rank=57; score=0.65312; p=0.22227","rank=15; score=0.003367","rank=30; score=2.892; direction=Activated","rank=225; score=8.8338; p=0.19292; adjP=0.51938","rank=57; score=0.71463; p=0.19292","rank=133; score=1.5735; p=0.11561; direction=Activated"
"9","ZEB1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","88.666666666666671","19","5","ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=32); Enrichr--Queries(rank=173); GTEx--Coexpression(rank=295); ARCHS4--Coexpression(rank=526)","145","rank=91; score=0.43378; p=0.36832","rank=145; score=0.03367","rank=53; score=2.0144; direction=Repressed","rank=97; score=16.819; p=0.056823; adjP=0.51938","rank=19; score=1.2455; p=0.056824","rank=127; score=1.5961; p=0.11046; direction=Activated"
"10","ZBTB7A","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","90.833333333333343","2","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=5); GTEx--Coexpression(rank=364); ARCHS4--Coexpression(rank=649); Enrichr--Queries(rank=1133)","74","rank=74; score=0.54101; p=0.28773","rank=74; score=0.01684","rank=2; score=7.4292; direction=Repressed","rank=56; score=11.499; p=0.12085; adjP=0.51938","rank=53; score=0.77516; p=0.16782","rank=286; score=0.91702; p=0.35913; direction=Activated"
