"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.000000000000000","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=73); GTEx--Coexpression(rank=830); ARCHS4--Coexpression(rank=1173)","18","rank=1; score=26.145; p=7.159e-27","rank=1; score=9.9455; direction=Repressed","rank=1; score=9.161; p=5.1434e-20; direction=Repressed"
"2","MYC","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.666666666666667","3","6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=200); ARCHS4--Coexpression(rank=248); GTEx--Coexpression(rank=723)","324","rank=7; score=6.2459; p=5.6767e-07","rank=3; score=7.0135; direction=Repressed","rank=4; score=4.6753; p=2.9346e-06; direction=Repressed"
"3","SREBF2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.000000000000000","2","6","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=96); Literature--ChIP-seq(rank=127); GTEx--Coexpression(rank=277); Enrichr--Queries(rank=567); ARCHS4--Coexpression(rank=1403)","676","rank=11; score=4.417; p=3.8281e-05","rank=2; score=7.0234; direction=Repressed","rank=17; score=3.4494; p=0.00056173; direction=Repressed"
"4","STAT1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.666666666666668","11","6","GTEx--Coexpression(rank=21); ENCODE--ChIP-seq(rank=69); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=174); Enrichr--Queries(rank=437)","47","rank=58; score=1.6539; p=0.022187","rank=11; score=5.2037; direction=Activated","rank=14; score=3.5298; p=0.00041581; direction=Activated"
"5","FOXO3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.000000000000000","2","4","ARCHS4--Coexpression(rank=43); Literature--ChIP-seq(rank=125); Enrichr--Queries(rank=447); GTEx--Coexpression(rank=876)","100","rank=61; score=1.6459; p=0.0226","rank=36; score=3.4277; direction=Activated","rank=2; score=5.8045; p=6.4571e-09; direction=Activated"
"6","IRF9","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.333333333333336","7","4","ReMap--ChIP-seq(rank=254); ARCHS4--Coexpression(rank=429); GTEx--Coexpression(rank=457); Enrichr--Queries(rank=608)","926","rank=53; score=1.6841; p=0.020695","rank=43; score=3.2875; direction=Activated","rank=7; score=4.0661; p=4.7811e-05; direction=Activated"
"7","EBF1","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","38.333333333333336","6","5","ENCODE--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=172); GTEx--Coexpression(rank=575); ARCHS4--Coexpression(rank=630); Enrichr--Queries(rank=1069)","1120","rank=20; score=3.321; p=0.00047756","rank=6; score=6.1408; direction=Activated","rank=89; score=2.2305; p=0.025714; direction=Activated"
"8","KLF6","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.333333333333336","12","4","ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=151); Enrichr--Queries(rank=483); GTEx--Coexpression(rank=1090)","385","rank=38; score=2.168; p=0.0067926","rank=107; score=2.1707; direction=Activated","rank=12; score=3.6378; p=0.00027496; direction=Activated"
"9","E2F3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.666666666666664","4","3","Enrichr--Queries(rank=29); ARCHS4--Coexpression(rank=47); GTEx--Coexpression(rank=864)","76","rank=4; score=7.9443; p=1.137e-08","rank=58; score=2.9295; direction=Repressed","rank=102; score=2.0854; p=0.037032; direction=Repressed"
"10","NFYA","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.666666666666664","9","5","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=17); GTEx--Coexpression(rank=548); Enrichr--Queries(rank=634); ARCHS4--Coexpression(rank=1495)","232","rank=85; score=1.2222; p=0.059957","rank=94; score=2.3405; direction=Repressed","rank=9; score=3.9958; p=6.4464e-05; direction=Repressed"
