"Input_Type","TF_Analysis_Name","Method","ATF3_Found","Rank","Score","P_Value","Adj_P_Value","Direction","ATF3_Rank1","ATF3_TopN","ATF3_P_Significant","ATF3_AdjP_Significant","ATF3_Method_Supported","Result_File"
"DEG","HCT15","chea3",TRUE,1,0.0006143,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/HCT15/method_final/chea3/chea3_deg_Integrated--topRank.csv"
"DEG","HCT15","collectri",TRUE,2,5.04097561828392,4.63164480854938e-07,NA,"Activated",FALSE,TRUE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/HCT15/method_final/collectri/collectri_deg_final_result.csv"
"DEG","HCT15","dorothea",TRUE,30,2.01858457950107,0.00958110104757053,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/HCT15/method_final/dorothea/dorothea_deg_final_result.csv"
"DEG","HCT15","enrichr",TRUE,5,125.529235519107,6.07194103214042e-19,4.51752412791248e-16,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"results/ngs/GSE114012/TF_summary/deg/HCT15/method_final/enrichr/enrichr_deg_Integrated--topRank.csv"
"DEG","HCT15","trrust",TRUE,90,1.19313931240881,0.0641003923212647,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/HCT15/method_final/trrust/trrust_deg_final_result.csv"
"DEG","HCT15","viper",TRUE,176,0.57568938615316,NA,NA,"Repressed",FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/HCT15/method_final/viper/viper_deg_final_result.csv"
"DEG","HT55","chea3",TRUE,4,0.001229,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/HT55/method_final/chea3/chea3_deg_Integrated--topRank.csv"
"DEG","HT55","collectri",TRUE,69,2.8898920264777,0.00385374165977273,NA,"Activated",FALSE,FALSE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/HT55/method_final/collectri/collectri_deg_final_result.csv"
"DEG","HT55","dorothea",TRUE,28,1.87841765972777,0.0132306853204951,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/HT55/method_final/dorothea/dorothea_deg_final_result.csv"
"DEG","HT55","enrichr",TRUE,99,25.9626440984993,0.000168898154235408,0.00248618083034521,NA,FALSE,FALSE,TRUE,TRUE,TRUE,"results/ngs/GSE114012/TF_summary/deg/HT55/method_final/enrichr/enrichr_deg_Integrated--topRank.csv"
"DEG","HT55","trrust",TRUE,57,1.46840684107071,0.034008944933085,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/HT55/method_final/trrust/trrust_deg_final_result.csv"
"DEG","HT55","viper",TRUE,180,0.65216894847538,NA,NA,"Activated",FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/HT55/method_final/viper/viper_deg_final_result.csv"
"DEG","RKO","chea3",TRUE,171,0.04268,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/RKO/method_final/chea3/chea3_deg_Integrated--topRank.csv"
"DEG","RKO","collectri",TRUE,184,1.73646788426595,0.0824811382112327,NA,"Activated",FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/RKO/method_final/collectri/collectri_deg_final_result.csv"
"DEG","RKO","dorothea",TRUE,138,0.732639374922735,0.185080483375136,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/RKO/method_final/dorothea/dorothea_deg_final_result.csv"
"DEG","RKO","enrichr",TRUE,9,70.0687783450695,8.2941108898192e-17,2.08458653697456e-14,NA,FALSE,TRUE,TRUE,TRUE,TRUE,"results/ngs/GSE114012/TF_summary/deg/RKO/method_final/enrichr/enrichr_deg_Integrated--topRank.csv"
"DEG","RKO","trrust",TRUE,130,0.733047509575869,0.184906632959613,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/RKO/method_final/trrust/trrust_deg_final_result.csv"
"DEG","RKO","viper",TRUE,211,0.714999970048965,NA,NA,"Repressed",FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/RKO/method_final/viper/viper_deg_final_result.csv"
"DEG","SW48","chea3",TRUE,122,0.03194,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/SW48/method_final/chea3/chea3_deg_Integrated--topRank.csv"
"DEG","SW48","collectri",TRUE,47,2.55078149193918,0.0107481688743156,NA,"Activated",FALSE,FALSE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/SW48/method_final/collectri/collectri_deg_final_result.csv"
"DEG","SW48","dorothea",TRUE,75,0.991990732649857,0.101861312386739,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/SW48/method_final/dorothea/dorothea_deg_final_result.csv"
"DEG","SW48","enrichr",TRUE,37,41.6923199719017,8.73769516880272e-09,6.50958290075802e-07,NA,FALSE,FALSE,TRUE,TRUE,TRUE,"results/ngs/GSE114012/TF_summary/deg/SW48/method_final/enrichr/enrichr_deg_Integrated--topRank.csv"
"DEG","SW48","trrust",TRUE,162,0.516108326265798,0.304713484663034,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/SW48/method_final/trrust/trrust_deg_final_result.csv"
"DEG","SW48","viper",TRUE,207,0.716807968691426,NA,NA,"Repressed",FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/SW48/method_final/viper/viper_deg_final_result.csv"
"DEG","SW948","chea3",TRUE,2,0.0006223,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/SW948/method_final/chea3/chea3_deg_Integrated--topRank.csv"
"DEG","SW948","collectri",TRUE,2,5.65045061582395,1.60027777378076e-08,NA,"Activated",FALSE,TRUE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/SW948/method_final/collectri/collectri_deg_final_result.csv"
"DEG","SW948","dorothea",TRUE,41,1.89840887417118,0.012635461995443,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,"results/ngs/GSE114012/TF_summary/deg/SW948/method_final/dorothea/dorothea_deg_final_result.csv"
"DEG","SW948","enrichr",TRUE,35,28.0933322953534,1.69364246528186e-06,0.000154856586925215,NA,FALSE,FALSE,TRUE,TRUE,TRUE,"results/ngs/GSE114012/TF_summary/deg/SW948/method_final/enrichr/enrichr_deg_Integrated--topRank.csv"
"DEG","SW948","trrust",TRUE,154,0.59601699941878,0.253502940089307,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/SW948/method_final/trrust/trrust_deg_final_result.csv"
"DEG","SW948","viper",TRUE,152,1.15521555881257,NA,NA,"Repressed",FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/deg/SW948/method_final/viper/viper_deg_final_result.csv"
"INTERSECT","DLD1_HCT15_SW48","chea3",TRUE,177,0.03917,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,"results/ngs/GSE114012/TF_summary/intersect/DLD1_HCT15_SW48/method_final/chea3/chea3_intersect_Integrated--topRank.csv"
