"Input_Type","TF_Analysis_Name","Intersection_Name","ATF3_Found_In_Top_Candidates","Consensus_Rank","Required_Methods","Number_Of_Methods","Source_Method_Count","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Integrated_TopRank","Result_File"
"DEG","HT55","ENRICHR_TRRUST_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/HT55/intersections/ENRICHR_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","HT55","LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST",TRUE,6,"DoRothEA;ChEA3;ENRICHR;TRRUST",4,6,47,4,4,"results/ngs/GSE114012/TF_summary/deg/HT55/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","HT55","ORA_METHODS_DOROTHEA_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/HT55/intersections/ORA_METHODS_DOROTHEA_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","HT55","SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/HT55/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","HT55","WITHOUT_CHEA3",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/HT55/intersections/WITHOUT_CHEA3/candidates/top10_tf_candidates.csv"
"DEG","RKO","ACTIVITY_METHODS_VIPER_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/RKO/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","RKO","ALL_6_METHODS",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/RKO/intersections/ALL_6_METHODS/candidates/top10_tf_candidates.csv"
"DEG","RKO","API_METHODS_CHEA3_ENRICHR",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/RKO/intersections/API_METHODS_CHEA3_ENRICHR/candidates/top10_tf_candidates.csv"
"DEG","RKO","BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/RKO/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","RKO","CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/RKO/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv"
"DEG","RKO","CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/RKO/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv"
"DEG","RKO","DOROTHEA_CHEA3_VIPER",FALSE,NA,NA,NA,NA,NA,NA,NA,"results/ngs/GSE114012/TF_summary/deg/RKO/intersections/DOROTHEA_CHEA3_VIPER/candidates/top10_tf_candidates.csv"
