"Input_Type","TF_Analysis_Name","Methods_Checked","ATF3_Method_Found_Count","ATF3_Method_Supported_Count","ATF3_Method_TopN_Count","ATF3_Method_Rank1_Count","ATF3_Method_P_Significant_Count","ATF3_Supported_Methods","ATF3_Rank1_Methods"
"DEG","ALL",6,6,4,3,1,3,"chea3(rank=1);collectri(rank=5,P=5e-06);trrust(rank=10,P=0.00121);enrichr(rank=24,adjP=0.00482)","chea3"
"DEG","DLD1",6,6,4,0,0,4,"collectri(rank=35,P=0.00577);dorothea(rank=42,P=0.0391);trrust(rank=43,P=0.0206);enrichr(rank=129,adjP=0.0312)",""
"DEG","DLD1_HCT15",6,6,5,4,1,4,"chea3(rank=1);enrichr(rank=4,adjP=9.99e-05);collectri(rank=8,P=0.00101);dorothea(rank=9,P=0.00137);trrust(rank=13,P=0.0102)","chea3"
"DEG","DLD1_HCT15_SW48",6,6,4,2,1,3,"chea3(rank=1);collectri(rank=5,P=1.4e-05);enrichr(rank=12,adjP=0.000136);dorothea(rank=22,P=0.0269)","chea3"
"DEG","HCT15",6,6,4,3,1,3,"chea3(rank=1);collectri(rank=2,P=4.63e-07);enrichr(rank=5,adjP=4.52e-16);dorothea(rank=30,P=0.00958)","chea3"
"DEG","HT55",6,6,5,1,0,4,"chea3(rank=4);dorothea(rank=28,P=0.0132);trrust(rank=57,P=0.034);collectri(rank=69,P=0.00385);enrichr(rank=99,adjP=0.00249)",""
"DEG","RKO",6,6,1,1,0,1,"enrichr(rank=9,adjP=2.08e-14)",""
"DEG","SW48",6,6,2,0,0,2,"enrichr(rank=37,adjP=6.51e-07);collectri(rank=47,P=0.0107)",""
"DEG","SW948",6,6,4,2,0,3,"chea3(rank=2);collectri(rank=2,P=1.6e-08);enrichr(rank=35,adjP=0.000155);dorothea(rank=41,P=0.0126)",""
"INTERSECT","DLD1_HCT15",6,6,4,3,1,3,"chea3(rank=1);collectri(rank=5,P=4.71e-07);enrichr(rank=7,adjP=0.00076);dorothea(rank=19,P=0.0269)","chea3"
"INTERSECT","DLD1_HCT15_SW48",6,6,2,1,0,2,"collectri(rank=6,P=4.38e-07);enrichr(rank=24,adjP=0.0414)",""
"INTERSECT","HT55_SW948",6,6,5,3,0,4,"dorothea(rank=2,P=0.00025);collectri(rank=3,P=1.92e-08);chea3(rank=5);trrust(rank=21,P=0.0385);enrichr(rank=33,adjP=0.0256)",""
"INTERSECT","SW948_RKO",6,6,2,1,0,2,"collectri(rank=3,P=1.09e-08);enrichr(rank=25,adjP=0.0034)",""
