"Analysis_Name","Method","Method_Label","Status","TFs_Plotted","ATF3_Found","ATF3_Rank","ATF3_P_Value","ATF3_Adjusted_P_Value","ATF3_Score","ATF3_Evidence_Strength","ATF3_In_Top_N","PDF_File","PNG_File"
"DLD1","chea3","ChEA3","ok","21",TRUE,"244",NA,NA,"0.059120000000000","1.2282655746132307",FALSE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/DLD1/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/DLD1/png/tf_bubble_plot.png"
"DLD1_HCT15","chea3","ChEA3","ok","20",TRUE,"1",NA,NA,"0.000614300000000","3.2116194846804365",TRUE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/DLD1_HCT15/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/DLD1_HCT15/png/tf_bubble_plot.png"
"DLD1_HCT15_SW48","chea3","ChEA3","ok","20",TRUE,"1",NA,NA,"0.000614300000000","3.2116194846804365",TRUE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/DLD1_HCT15_SW48/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/DLD1_HCT15_SW48/png/tf_bubble_plot.png"
"HCT15","chea3","ChEA3","ok","20",TRUE,"1",NA,NA,"0.000614300000000","3.2116194846804365",TRUE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/HCT15/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/HCT15/png/tf_bubble_plot.png"
"HT55","chea3","ChEA3","ok","20",TRUE,"4",NA,NA,"0.001229000000000","2.9104481171135457",TRUE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/HT55/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/HT55/png/tf_bubble_plot.png"
"RKO","chea3","ChEA3","ok","21",TRUE,"171",NA,NA,"0.042680000000000","1.3697755892475676",FALSE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/RKO/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/RKO/png/tf_bubble_plot.png"
"SW48","chea3","ChEA3","ok","21",TRUE,"122",NA,NA,"0.031940000000000","1.4956650881975357",FALSE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/SW48/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/SW48/png/tf_bubble_plot.png"
"SW948","chea3","ChEA3","ok","20",TRUE,"2",NA,NA,"0.000622300000000","3.2060001990155294",TRUE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/SW948/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/chea3/SW948/png/tf_bubble_plot.png"
"ALL","collectri","CollecTRI","ok","20",TRUE,"5","0.0000050033521203276503",NA,"4.564647125675340","5.3007389317490148",TRUE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/ALL/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/ALL/png/tf_bubble_plot.png"
"DLD1","collectri","CollecTRI","ok","21",TRUE,"35","0.0057694683970751503566",NA,"2.760603441875200","2.2388642012035174",FALSE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/DLD1/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/DLD1/png/tf_bubble_plot.png"
"DLD1_HCT15","collectri","CollecTRI","ok","20",TRUE,"8","0.0010054385365363600370",NA,"3.289000475900370","2.9976444731119662",TRUE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/DLD1_HCT15/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/DLD1_HCT15/png/tf_bubble_plot.png"
"DLD1_HCT15_SW48","collectri","CollecTRI","ok","20",TRUE,"5","0.0000139708492304910997",NA,"4.344318820123010","4.8547771941072559",TRUE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/DLD1_HCT15_SW48/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/DLD1_HCT15_SW48/png/tf_bubble_plot.png"
"HCT15","collectri","CollecTRI","ok","20",TRUE,"2","0.0000004631644808549380",NA,"5.040975618283920","6.3342647531670035",TRUE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/HCT15/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/HCT15/png/tf_bubble_plot.png"
"HT55","collectri","CollecTRI","ok","21",TRUE,"69","0.0038537416597727298766",NA,"2.889892026477700","2.4141174021599796",FALSE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/HT55/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/HT55/png/tf_bubble_plot.png"
"RKO","collectri","CollecTRI","ok","21",TRUE,"184","0.0824811382112326935134",NA,"1.736467884265950","1.0836453545692675",FALSE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/RKO/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/RKO/png/tf_bubble_plot.png"
"SW48","collectri","CollecTRI","ok","21",TRUE,"47","0.0107481688743155997384",NA,"2.550781491939180","1.9686655185872846",FALSE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/SW48/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/SW48/png/tf_bubble_plot.png"
"SW948","collectri","CollecTRI","ok","20",TRUE,"2","0.0000000160027777378076",NA,"5.650450615823950","7.7958046266254986",TRUE,"results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/SW948/pdf/tf_bubble_plot.pdf","results/ngs/GSE114012/plots/TF_ATF3_visualization/bubble/collectri/SW948/png/tf_bubble_plot.png"
