Pathway,IMMUNOGLOBULIN COMPLEX,T CELL RECEPTOR COMPLEX,PRERIBOSOME,SMALL SUBUNIT PROCESSOME,90S PRERIBOSOME,HIGH DENSITY LIPOPROTEIN PARTICLE,PROTEIN LIPID COMPLEX,ENDOPLASMIC RETICULUM LUMEN,VESICLE LUMEN,PLATELET ALPHA GRANULE LUMEN,PLATELET ALPHA GRANULE,BLOOD MICROPARTICLE,OTHER ORGANISM PART,ENDOPEPTIDASE COMPLEX,SERINE TYPE PEPTIDASE COMPLEX,PEPTIDASE COMPLEX,CATION CHANNEL COMPLEX,MONOATOMIC ION CHANNEL COMPLEX,SODIUM CHANNEL COMPLEX,POSTSYNAPTIC MEMBRANE,SYNAPTIC MEMBRANE,POSTSYNAPTIC SPECIALIZATION,PRESYNAPTIC MEMBRANE,RIBOSOMAL SUBUNIT,RIBOSOME,LARGE RIBOSOMAL SUBUNIT,CONDENSED CHROMOSOME,CONDENSED CHROMOSOME CENTROMERIC REGION,CHROMOSOMAL REGION,CHROMOSOME CENTROMERIC REGION,SPINDLE,MITOTIC SPINDLE,NUCLEAR ENVELOPE,NUCLEAR PORE,NUCLEAR CHROMOSOME,REPLICATION FORK,SPLICEOSOMAL COMPLEX,CATALYTIC STEP 2 SPLICEOSOME,SM LIKE PROTEIN FAMILY COMPLEX,RESPIRATORY CHAIN COMPLEX
IMMUNOGLOBULIN COMPLEX,1.0,0.10919540229885058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T CELL RECEPTOR COMPLEX,0.1292517006802721,1.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRERIBOSOME,0.0,0.0,1.0,0.6981132075471698,0.2641509433962264,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.18867924528301888,0.19811320754716982,0.0,0.018867924528301886,0.0,0.03773584905660377,0.009433962264150943,0.009433962264150943,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0,0.009433962264150943,0.0,0.009433962264150943,0.0
SMALL SUBUNIT PROCESSOME,0.0,0.0,1.0,1.0,0.22972972972972974,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.2702702702702703,0.2702702702702703,0.0,0.013513513513513514,0.0,0.05405405405405406,0.013513513513513514,0.0,0.0,0.02702702702702703,0.0,0.013513513513513514,0.0,0.013513513513513514,0.0,0.013513513513513514,0.0
90S PRERIBOSOME,0.0,0.0,1.0,0.6071428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0
HIGH DENSITY LIPOPROTEIN PARTICLE,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTEIN LIPID COMPLEX,0.0,0.0,0.0,0.0,0.0,0.675,1.0,0.275,0.1,0.05,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENDOPLASMIC RETICULUM LUMEN,0.0,0.003067484662576687,0.0,0.0,0.0,0.027607361963190184,0.03374233128834356,1.0,0.13190184049079753,0.06134969325153374,0.06441717791411043,0.06748466257668712,0.006134969325153374,0.027607361963190184,0.027607361963190184,0.03374233128834356,0.006134969325153374,0.006134969325153374,0.0,0.006134969325153374,0.012269938650306749,0.003067484662576687,0.0,0.0,0.003067484662576687,0.0,0.0,0.0,0.003067484662576687,0.0,0.003067484662576687,0.003067484662576687,0.04294478527607362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VESICLE LUMEN,0.0,0.003003003003003003,0.003003003003003003,0.003003003003003003,0.0,0.012012012012012012,0.012012012012012012,0.12912912912912913,1.0,0.2012012012012012,0.2012012012012012,0.09009009009009009,0.009009009009009009,0.06006006006006006,0.012012012012012012,0.06006006006006006,0.0,0.0,0.0,0.003003003003003003,0.006006006006006006,0.009009009009009009,0.0,0.003003003003003003,0.009009009009009009,0.0,0.006006006006006006,0.003003003003003003,0.009009009009009009,0.003003003003003003,0.018018018018018018,0.009009009009009009,0.03003003003003003,0.006006006006006006,0.0,0.003003003003003003,0.006006006006006006,0.003003003003003003,0.0,0.0
PLATELET ALPHA GRANULE LUMEN,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.029850746268656716,0.29850746268656714,1.0,1.0,1.0,0.29850746268656714,0.0,0.029850746268656716,0.029850746268656716,0.029850746268656716,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0
