Pathway,STRUCTURAL CONSTITUENT OF RIBOSOME,RRNA BINDING,CATALYTIC ACTIVITY ACTING ON A TRNA,CATALYTIC ACTIVITY ACTING ON RNA,TRNA METHYLTRANSFERASE ACTIVITY,TRNA BINDING,PROTEIN SERINE KINASE ACTIVITY,PROTEIN SERINE THREONINE KINASE ACTIVITY,PHOSPHATASE BINDING,PHOSPHATIDYLINOSITOL BINDING,PHOSPHATIDYLINOSITOL PHOSPHATE BINDING,PHOSPHATIDYLINOSITOL 4 5 BISPHOSPHATE BINDING,NUCLEOSIDE TRIPHOSPHATASE REGULATOR ACTIVITY,GUANYL NUCLEOTIDE EXCHANGE FACTOR ACTIVITY,GTPASE BINDING,GTPASE ACTIVATOR ACTIVITY,G PROTEIN COUPLED RECEPTOR BINDING,G PROTEIN ACTIVITY,ELECTRON TRANSFER ACTIVITY,NADH DEHYDROGENASE UBIQUINONE ACTIVITY,"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY",RNA METHYLTRANSFERASE ACTIVITY,"TRANSFERASE ACTIVITY TRANSFERRING ONE CARBON
GROUPS",CATALYTIC ACTIVITY ACTING ON A RRNA,"S ADENOSYLMETHIONINE DEPENDENT
METHYLTRANSFERASE ACTIVITY",RIBONUCLEOPROTEIN COMPLEX BINDING,TRANSLATION INITIATION FACTOR ACTIVITY,TRANSLATION FACTOR ACTIVITY,SNRNA BINDING,SNORNA BINDING,LIPID TRANSFER ACTIVITY,LIPID TRANSPORTER ACTIVITY,PHOSPHOLIPID TRANSPORTER ACTIVITY,"LIGAND MODULATED TRANSCRIPTION FACTOR
ACTIVITY",DNA BINDING TRANSCRIPTION FACTOR BINDING,"RNA POLYMERASE II SPECIFIC DNA BINDING
TRANSCRIPTION FACTOR BINDING",NUCLEASE ACTIVITY,DNA NUCLEASE ACTIVITY,"RNA ENDONUCLEASE ACTIVITY PRODUCING 5
PHOSPHOMONOESTERS HYDROLYTIC MECHANISM",UBIQUITIN LIKE PROTEIN LIGASE ACTIVITY
STRUCTURAL CONSTITUENT OF RIBOSOME,1.0,0.16374269005847952,0.0,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011695906432748537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.005847953216374269,0.005847953216374269,0.0,0.0
RRNA BINDING,0.4,1.0,0.02857142857142857,0.12857142857142856,0.0,0.04285714285714286,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.18571428571428572,0.0,0.014285714285714285,0.014285714285714285,0.05714285714285714,0.0,0.0,0.0,0.0,0.02857142857142857,0.014285714285714285,0.05714285714285714,0.014285714285714285,0.0,0.014285714285714285
CATALYTIC ACTIVITY ACTING ON A TRNA,0.0,0.012903225806451613,1.0,1.0,0.2129032258064516,0.3096774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.012903225806451613,0.0064516129032258064,0.012903225806451613,0.0064516129032258064,0.012903225806451613,0.0,0.0,0.0,0.0,0.2129032258064516,0.21935483870967742,0.012903225806451613,0.17419354838709677,0.01935483870967742,0.0,0.01935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12258064516129032,0.0064516129032258064,0.09032258064516129,0.0
CATALYTIC ACTIVITY ACTING ON RNA,0.0,0.02097902097902098,0.3613053613053613,1.0,0.07692307692307693,0.11888111888111888,0.006993006993006993,0.006993006993006993,0.0,0.0,0.0,0.0,0.006993006993006993,0.004662004662004662,0.004662004662004662,0.002331002331002331,0.006993006993006993,0.0,0.0,0.0,0.0,0.1585081585081585,0.16083916083916083,0.055944055944055944,0.13752913752913754,0.053613053613053616,0.009324009324009324,0.016317016317016316,0.016317016317016316,0.011655011655011656,0.0,0.0,0.0,0.0,0.018648018648018648,0.011655011655011656,0.31934731934731936,0.027972027972027972,0.07459207459207459,0.004662004662004662
TRNA METHYLTRANSFERASE ACTIVITY,0.0,0.0,1.0,1.0,1.0,0.42424242424242425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06060606060606061,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRNA BINDING,0.012345679012345678,0.037037037037037035,0.5925925925925926,0.6296296296296297,0.1728395061728395,1.0,0.012345679012345678,0.012345679012345678,0.0,0.0,0.0,0.0,0.012345679012345678,0.012345679012345678,0.04938271604938271,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.1728395061728395,0.1728395061728395,0.0,0.1728395061728395,0.08641975308641975,0.07407407407407407,0.12345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.012345679012345678,0.0,0.0
PROTEIN SERINE KINASE ACTIVITY,0.0,0.0027624309392265192,0.0,0.008287292817679558,0.0,0.0027624309392265192,1.0,1.0,0.03591160220994475,0.019337016574585635,0.008287292817679558,0.0055248618784530384,0.016574585635359115,0.011049723756906077,0.04696132596685083,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011049723756906077,0.0,0.0,0.0027624309392265192,0.0027624309392265192,0.0,0.0,0.0,0.0,0.052486187845303865,0.03314917127071823,0.008287292817679558,0.0,0.0,0.0027624309392265192
PROTEIN SERINE THREONINE KINASE ACTIVITY,0.0,0.0022471910112359553,0.0,0.006741573033707865,0.0,0.0022471910112359553,0.8134831460674158,1.0,0.038202247191011236,0.017977528089887642,0.008988764044943821,0.006741573033707865,0.01348314606741573,0.008988764044943821,0.0449438202247191,0.0044943820224719105,0.006741573033707865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0022471910112359553,0.0022471910112359553,0.0022471910112359553,0.0,0.0,0.0,0.0,0.04719101123595506,0.029213483146067417,0.006741573033707865,0.0,0.0,0.0022471910112359553
PHOSPHATASE BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.06598984771573604,0.08629441624365482,1.0,0.050761421319796954,0.04060913705583756,0.015228426395939087,0.04568527918781726,0.005076142131979695,0.050761421319796954,0.030456852791878174,0.04060913705583756,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01015228426395939,0.0,0.0,0.0,0.0,0.0,0.005076142131979695,0.0,0.01015228426395939,0.09137055837563451,0.07106598984771574,0.0,0.0,0.0,0.025380710659898477
PHOSPHATIDYLINOSITOL BINDING,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.027874564459930314,0.03484320557491289,1.0,0.6480836236933798,0.29965156794425085,0.09059233449477352,0.03484320557491289,0.0627177700348432,0.05226480836236934,0.020905923344947737,0.003484320557491289,0.003484320557491289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059233449477351915,0.059233449477351915,0.04878048780487805,0.0,0.013937282229965157,0.010452961672473868,0.0,0.0,0.0,0.003484320557491289
