"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","SP1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.00","5","5","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=792); GTEx--Coexpression(rank=1046); Enrichr--Queries(rank=1222)","55","rank=5; score=1.8882; p=0.012936","rank=55; score=0.01347","rank=57; score=7.9228; p=0.022355; adjP=0.24591","rank=7; score=1.6506; p=0.022356"
"2","CDX2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.75","6","5","Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=121); Enrichr--Queries(rank=182); ReMap--ChIP-seq(rank=183); GTEx--Coexpression(rank=377)","104","rank=6; score=1.7892; p=0.016248","rank=104; score=0.02439","rank=25; score=16.814; p=0.0095927; adjP=0.26889","rank=12; score=1.2764; p=0.052922"
"3","NR2F2","DoRothEA;ChEA3;ENRICHR;TRRUST","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","46.00","8","5","ENCODE--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=44); ReMap--ChIP-seq(rank=236); Enrichr--Queries(rank=351); GTEx--Coexpression(rank=1283)","117","rank=37; score=0.72238; p=0.18951","rank=117; score=0.02703","rank=8; score=36.293; p=0.026571; adjP=0.26889","rank=22; score=1.1055; p=0.07844"
"4","ESR1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.00","18","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=177); Enrichr--Queries(rank=231); GTEx--Coexpression(rank=497); ARCHS4--Coexpression(rank=1192)","181","rank=51; score=0.56634; p=0.27143","rank=181; score=0.04268","rank=26; score=10.035; p=0.058464; adjP=0.26889","rank=18; score=1.2331; p=0.058464"
"5","VDR","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","70.00","17","5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=10); GTEx--Coexpression(rank=95); ARCHS4--Coexpression(rank=572); Enrichr--Queries(rank=743)","143","rank=45; score=0.61197; p=0.24436","rank=143; score=0.03367","rank=17; score=10.035; p=0.058464; adjP=0.44228","rank=75; score=0.41149; p=0.38771"
"6","SPI1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","71.25","18","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=99); Enrichr--Queries(rank=621); GTEx--Coexpression(rank=686); ARCHS4--Coexpression(rank=798)","78","rank=108; score=0.15693; p=0.69674","rank=78; score=0.01829","rank=18; score=8.6525; p=0.0083554; adjP=0.53998","rank=81; score=0.28782; p=0.51544"
"7","TP53","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","78.25","4","5","Literature--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=111); Enrichr--Queries(rank=995); GTEx--Coexpression(rank=1247); ARCHS4--Coexpression(rank=1436)","131","rank=94; score=0.25876; p=0.55111","rank=131; score=0.03049","rank=4; score=11.109; p=0.012461; adjP=0.58466","rank=84; score=0.24453; p=0.56947"
"8","FOSL1","DoRothEA;ChEA3;ENRICHR;TRRUST","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","90.75","13","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=146); Enrichr--Queries(rank=724); ARCHS4--Coexpression(rank=930); GTEx--Coexpression(rank=931)","71","rank=146; score=0; p=1","rank=71; score=0.01695","rank=13; score=5.2889; p=0.088091; adjP=0.99999","rank=133; score=0; p=1"
"9","FOXA2","DoRothEA;ChEA3;ENRICHR;TRRUST","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","93.75","2","6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=107); GTEx--Coexpression(rank=174); ReMap--ChIP-seq(rank=213); ARCHS4--Coexpression(rank=776); Enrichr--Queries(rank=814)","215","rank=148; score=0; p=1","rank=215; score=0.05085","rank=10; score=117.44; p=0.0011054; adjP=0.085113","rank=2; score=2.9565; p=0.0011054"
"10","HSF1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","95.25","5","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=115); Literature--ChIP-seq(rank=120); GTEx--Coexpression(rank=1027); ARCHS4--Coexpression(rank=1557)","35","rank=167; score=0; p=1","rank=35; score=0.008475","rank=5; score=19.564; p=0.0025861; adjP=0.99999","rank=174; score=0; p=1"
