"TF","RKO","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","-9.94553187036516917","-9.94553187036516917","9.94553187036516917","Repressed","1","viper","1","9.94553187036516917",NA,NA,"6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=73); GTEx--Coexpression(rank=830); ARCHS4--Coexpression(rank=1173)","18","0.00609800000000000","Literature ChIP-seq,0.006098"
"SREBF2","-7.02344137780292055","-7.02344137780292055","7.02344137780292055","Repressed","2","viper","2","7.02344137780292055",NA,NA,"6","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=96); Literature--ChIP-seq(rank=127); GTEx--Coexpression(rank=277); Enrichr--Queries(rank=567); ARCHS4--Coexpression(rank=1403)","676","0.17240000000000000","GTEx Coexpression,0.1724"
"MYC","-7.01354852713843613","-7.01354852713843613","7.01354852713843613","Repressed","3","viper","3","7.01354852713843613",NA,NA,"6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=200); ARCHS4--Coexpression(rank=248); GTEx--Coexpression(rank=723)","324","0.07926999999999999","Literature ChIP-seq,0.07927"
"MAFB","6.43735310179684639","6.43735310179684639","6.43735310179684639","Activated","4","viper","4","6.43735310179684639",NA,NA,"4","ReMap--ChIP-seq(rank=232); ARCHS4--Coexpression(rank=440); Enrichr--Queries(rank=728); GTEx--Coexpression(rank=937)","944","0.27029999999999998","ARCHS4 Coexpression,0.2703"
"TP53","6.16470370666977185","6.16470370666977185","6.16470370666977185","Activated","5","viper","5","6.16470370666977185",NA,NA,"5","Literature--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=57); GTEx--Coexpression(rank=70); Enrichr--Queries(rank=575)","29","0.00860000000000000","ARCHS4 Coexpression,0.0086"
"EBF1","6.14076719377003410","6.14076719377003410","6.14076719377003410","Activated","6","viper","6","6.14076719377003410",NA,NA,"5","ENCODE--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=172); GTEx--Coexpression(rank=575); ARCHS4--Coexpression(rank=630); Enrichr--Queries(rank=1069)","1120","0.35780000000000001","GTEx Coexpression,0.3578"
"PRDM14","6.02766912346866324","6.02766912346866324","6.02766912346866324","Activated","7","viper","7","6.02766912346866324",NA,NA,"5","ReMap--ChIP-seq(rank=93); Literature--ChIP-seq(rank=124); ARCHS4--Coexpression(rank=625); Enrichr--Queries(rank=1234); GTEx--Coexpression(rank=1453)","1034","0.31309999999999999","ReMap ChIP-seq,0.3131"
"E2F2","-5.77104778642890981","-5.77104778642890981","5.77104778642890981","Repressed","8","viper","8","5.77104778642890981",NA,NA,"3","Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=9); GTEx--Coexpression(rank=1411)","9","0.00284900000000000","Enrichr Queries,0.002849"
"ZNF263","-5.74830045247221744","-5.74830045247221744","5.74830045247221744","Repressed","9","viper","9","5.74830045247221744",NA,NA,"6","ENCODE--ChIP-seq(rank=46); Literature--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=175); Enrichr--Queries(rank=1131); GTEx--Coexpression(rank=1446); ARCHS4--Coexpression(rank=1537)","1078","0.33539999999999992","Literature ChIP-seq,0.3354"
"FOXP1","-5.32329128194244117","-5.32329128194244117","5.32329128194244117","Repressed","10","viper","10","5.32329128194244117",NA,NA,"5","Literature--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=50); GTEx--Coexpression(rank=543); Enrichr--Queries(rank=595); ARCHS4--Coexpression(rank=847)","661","0.16839999999999999","ReMap ChIP-seq,0.1684"
