"Data_Type","Dataset_ID","Plot_Type","PDF_File","PNG_File","Plot_Category","Analysis_Name","GeneSet_Name","Terms_Plotted"
"ngs","GSE50760","exclusion_heatmap","results/ngs/GSE50760/plots/PathwayDenester/summary/pdf/pathway_denester_exclusion_heatmap.pdf","results/ngs/GSE50760/plots/PathwayDenester/summary/png/pathway_denester_exclusion_heatmap.png",NA,NA,NA,NA
"ngs","GSE50760","kept_excluded_barplot","results/ngs/GSE50760/plots/PathwayDenester/summary/pdf/pathway_denester_kept_excluded_barplot.pdf","results/ngs/GSE50760/plots/PathwayDenester/summary/png/pathway_denester_kept_excluded_barplot.png",NA,NA,NA,NA
"ngs","GSE50760","top_hitchhiker_terms","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/C6/pdf/top_hitchhiker_terms.pdf","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/C6/png/top_hitchhiker_terms.png","ATF3_correlation","Liver_metastasis","C6","3"
"ngs","GSE50760","top_hitchhiker_terms","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/CP_BIOCARTA/pdf/top_hitchhiker_terms.pdf","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/CP_BIOCARTA/png/top_hitchhiker_terms.png","ATF3_correlation","Liver_metastasis","CP_BIOCARTA","0"
"ngs","GSE50760","top_hitchhiker_terms","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/CP_KEGG_LEGACY/pdf/top_hitchhiker_terms.pdf","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/CP_KEGG_LEGACY/png/top_hitchhiker_terms.png","ATF3_correlation","Liver_metastasis","CP_KEGG_LEGACY","6"
"ngs","GSE50760","top_hitchhiker_terms","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/CP_KEGG_MEDICUS/pdf/top_hitchhiker_terms.pdf","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/CP_KEGG_MEDICUS/png/top_hitchhiker_terms.png","ATF3_correlation","Liver_metastasis","CP_KEGG_MEDICUS","0"
"ngs","GSE50760","top_hitchhiker_terms","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/CP_REACTOME/pdf/top_hitchhiker_terms.pdf","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/CP_REACTOME/png/top_hitchhiker_terms.png","ATF3_correlation","Liver_metastasis","CP_REACTOME","20"
"ngs","GSE50760","top_hitchhiker_terms","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/CP_WIKIPATHWAYS/pdf/top_hitchhiker_terms.pdf","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/CP_WIKIPATHWAYS/png/top_hitchhiker_terms.png","ATF3_correlation","Liver_metastasis","CP_WIKIPATHWAYS","20"
"ngs","GSE50760","top_hitchhiker_terms","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/GO_BP/pdf/top_hitchhiker_terms.pdf","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/GO_BP/png/top_hitchhiker_terms.png","ATF3_correlation","Liver_metastasis","GO_BP","20"
"ngs","GSE50760","top_hitchhiker_terms","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/GO_CC/pdf/top_hitchhiker_terms.pdf","results/ngs/GSE50760/plots/PathwayDenester/ATF3_correlation/Liver_metastasis/GO_CC/png/top_hitchhiker_terms.png","ATF3_correlation","Liver_metastasis","GO_CC","18"
