"Analysis_Name","GeneSet_Name","Source","Ranked_Genes","GSEA_Terms","Positive_NES","Negative_NES","CSV_File"
"Liver_metastasis_vs_normal","hallmark","computed","16950","24","19","5","results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/hallmark/gsea_result.csv"
"Liver_metastasis_vs_primary","hallmark","computed","16985","29","24","5","results/ngs/GSE50760/tables/Liver_metastasis_vs_primary/GSEA/hallmark/gsea_result.csv"
"Primary_tumor_vs_normal","hallmark","computed","16887","24","14","10","results/ngs/GSE50760/tables/Primary_tumor_vs_normal/GSEA/hallmark/gsea_result.csv"
"Liver_metastasis_vs_normal","CP_BIOCARTA","computed","16950","66","39","27","results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_BIOCARTA/gsea_result.csv"
"Liver_metastasis_vs_primary","CP_BIOCARTA","computed","16985","31","21","10","results/ngs/GSE50760/tables/Liver_metastasis_vs_primary/GSEA/CP_BIOCARTA/gsea_result.csv"
"Primary_tumor_vs_normal","CP_BIOCARTA","computed","16887","71","30","41","results/ngs/GSE50760/tables/Primary_tumor_vs_normal/GSEA/CP_BIOCARTA/gsea_result.csv"
"Liver_metastasis_vs_normal","CP_KEGG_MEDICUS","computed","16950","175","87","88","results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"Liver_metastasis_vs_primary","CP_KEGG_MEDICUS","computed","16985","75","46","29","results/ngs/GSE50760/tables/Liver_metastasis_vs_primary/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"Primary_tumor_vs_normal","CP_KEGG_MEDICUS","computed","16887","177","88","89","results/ngs/GSE50760/tables/Primary_tumor_vs_normal/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"Liver_metastasis_vs_normal","CP_KEGG_LEGACY","computed","16950","78","41","37","results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"Liver_metastasis_vs_primary","CP_KEGG_LEGACY","computed","16985","79","57","22","results/ngs/GSE50760/tables/Liver_metastasis_vs_primary/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"Primary_tumor_vs_normal","CP_KEGG_LEGACY","computed","16887","93","23","70","results/ngs/GSE50760/tables/Primary_tumor_vs_normal/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"Liver_metastasis_vs_normal","CP_REACTOME","computed","16950","649","483","166","results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_REACTOME/gsea_result.csv"
"Liver_metastasis_vs_primary","CP_REACTOME","computed","16985","468","306","162","results/ngs/GSE50760/tables/Liver_metastasis_vs_primary/GSEA/CP_REACTOME/gsea_result.csv"
"Primary_tumor_vs_normal","CP_REACTOME","computed","16887","663","450","213","results/ngs/GSE50760/tables/Primary_tumor_vs_normal/GSEA/CP_REACTOME/gsea_result.csv"
"Liver_metastasis_vs_normal","CP_WIKIPATHWAYS","computed","16950","268","198","70","results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"Liver_metastasis_vs_primary","CP_WIKIPATHWAYS","computed","16985","263","198","65","results/ngs/GSE50760/tables/Liver_metastasis_vs_primary/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"Primary_tumor_vs_normal","CP_WIKIPATHWAYS","computed","16887","244","117","127","results/ngs/GSE50760/tables/Primary_tumor_vs_normal/GSEA/CP_WIKIPATHWAYS/gsea_result.csv"
"Liver_metastasis_vs_normal","TFT_TFT_LEGACY","computed","16950","197","51","146","results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"Liver_metastasis_vs_primary","TFT_TFT_LEGACY","computed","16985","200","24","176","results/ngs/GSE50760/tables/Liver_metastasis_vs_primary/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"Primary_tumor_vs_normal","TFT_TFT_LEGACY","computed","16887","124","65","59","results/ngs/GSE50760/tables/Primary_tumor_vs_normal/GSEA/TFT_TFT_LEGACY/gsea_result.csv"
"Liver_metastasis_vs_normal","TFT_GTRD","computed","16950","55","43","9","results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/TFT_GTRD/gsea_result.csv"
"Liver_metastasis_vs_primary","TFT_GTRD","computed","16985","15","7","5","results/ngs/GSE50760/tables/Liver_metastasis_vs_primary/GSEA/TFT_GTRD/gsea_result.csv"
"Primary_tumor_vs_normal","TFT_GTRD","computed","16887","76","65","8","results/ngs/GSE50760/tables/Primary_tumor_vs_normal/GSEA/TFT_GTRD/gsea_result.csv"
"Liver_metastasis_vs_normal","GO_BP","computed","16950","1667","983","681","results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/GO_BP/gsea_result.csv"
"Liver_metastasis_vs_primary","GO_BP","computed","16985","1766","1075","688","results/ngs/GSE50760/tables/Liver_metastasis_vs_primary/GSEA/GO_BP/gsea_result.csv"
"Primary_tumor_vs_normal","GO_BP","computed","16887","1590","845","742","results/ngs/GSE50760/tables/Primary_tumor_vs_normal/GSEA/GO_BP/gsea_result.csv"
"Liver_metastasis_vs_normal","GO_CC","computed","16950","368","231","136","results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/GO_CC/gsea_result.csv"
"Liver_metastasis_vs_primary","GO_CC","computed","16985","208","90","117","results/ngs/GSE50760/tables/Liver_metastasis_vs_primary/GSEA/GO_CC/gsea_result.csv"
"Primary_tumor_vs_normal","GO_CC","computed","16887","386","259","127","results/ngs/GSE50760/tables/Primary_tumor_vs_normal/GSEA/GO_CC/gsea_result.csv"
"Liver_metastasis_vs_normal","GO_MF","computed","16950","446","276","166","results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/GO_MF/gsea_result.csv"
"Liver_metastasis_vs_primary","GO_MF","computed","16985","400","286","109","results/ngs/GSE50760/tables/Liver_metastasis_vs_primary/GSEA/GO_MF/gsea_result.csv"
"Primary_tumor_vs_normal","GO_MF","computed","16887","436","216","216","results/ngs/GSE50760/tables/Primary_tumor_vs_normal/GSEA/GO_MF/gsea_result.csv"
"Liver_metastasis_vs_normal","HPO","computed","16950","876","682","194","results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/HPO/gsea_result.csv"
"Liver_metastasis_vs_primary","HPO","computed","16985","793","548","245","results/ngs/GSE50760/tables/Liver_metastasis_vs_primary/GSEA/HPO/gsea_result.csv"
"Primary_tumor_vs_normal","HPO","computed","16887","1089","771","318","results/ngs/GSE50760/tables/Primary_tumor_vs_normal/GSEA/HPO/gsea_result.csv"
"Liver_metastasis_vs_normal","C6","computed","16950","63","42","21","results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/C6/gsea_result.csv"
"Liver_metastasis_vs_primary","C6","computed","16985","59","48","11","results/ngs/GSE50760/tables/Liver_metastasis_vs_primary/GSEA/C6/gsea_result.csv"
