Pathway,SLOPING FOREHEAD,ABSENT TESTIS,SMALL INTESTINAL STENOSIS,CHOANAL ATRESIA,ABNORMALITY OF CHROMOSOME STABILITY,CHROMOSOME BREAKAGE,HEMATOLOGICAL NEOPLASM,MYELODYSPLASIA,CAFE AU LAIT SPOT,MULTIPLE CAFE AU LAIT SPOTS,MACULE,ARTERIOVENOUS MALFORMATION,HYPOPLASIA OF TEETH,ENAMEL HYPOPLASIA,BLISTERING BY ANATOMICAL LOCATION,ORAL MUCOSAL BLISTERS,HEMIPLEGIA HEMIPARESIS,MIXED DEMYELINATING AND AXONAL POLYNEUROPATHY,WOLFF PARKINSON WHITE SYNDROME,REDUCED CONTRAST SENSITIVITY,CENTROCECAL SCOTOMA,LEBER OPTIC ATROPHY,RETINAL ARTERIAL TORTUOSITY,ABNORMAL CIRCULATING CITRULLINE CONCENTRATION,LOW PLASMA CITRULLINE,RETICULOCYTOSIS,ABNORMAL RETICULOCYTE MORPHOLOGY,ABNORMAL LYMPHOCYTE MORPHOLOGY,ABNORMAL T CELL MORPHOLOGY,ABNORMAL LYMPHOCYTE COUNT,ABNORMAL T CELL PHYSIOLOGY,LYMPHOMA,LOBULATED TONGUE,SIMPLIFIED GYRAL PATTERN,IRIS HYPOPIGMENTATION,OCULAR ALBINISM,ANNULAR PANCREAS,PSYCHOTIC EPISODES,HYPERPITUITARISM,WOOLLY HAIR
SLOPING FOREHEAD,1.0,0.12371134020618557,0.11855670103092783,0.15463917525773196,0.13402061855670103,0.09278350515463918,0.18041237113402062,0.15463917525773196,0.15979381443298968,0.14948453608247422,0.17525773195876287,0.11855670103092783,0.03608247422680412,0.030927835051546393,0.0,0.0,0.08247422680412371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005154639175257732,0.02577319587628866,0.030927835051546393,0.010309278350515464,0.02577319587628866,0.005154639175257732,0.02577319587628866,0.030927835051546393,0.18041237113402062,0.0,0.0,0.010309278350515464,0.0,0.02577319587628866,0.0
ABSENT TESTIS,0.9230769230769231,1.0,0.8846153846153846,0.9230769230769231,0.8846153846153846,0.6923076923076923,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.038461538461538464,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.11538461538461539,0.0
SMALL INTESTINAL STENOSIS,0.8214285714285714,0.8214285714285714,1.0,0.8571428571428571,0.8214285714285714,0.6428571428571429,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0
CHOANAL ATRESIA,0.24390243902439024,0.1951219512195122,0.1951219512195122,1.0,0.2032520325203252,0.15447154471544716,0.25203252032520324,0.2032520325203252,0.25203252032520324,0.2032520325203252,0.2764227642276423,0.1951219512195122,0.11382113821138211,0.08130081300813008,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.032520325203252036,0.07317073170731707,0.024390243902439025,0.016260162601626018,0.024390243902439025,0.008130081300813009,0.008130081300813009,0.016260162601626018,0.0,0.04878048780487805,0.0
ABNORMALITY OF CHROMOSOME STABILITY,0.45614035087719296,0.40350877192982454,0.40350877192982454,0.43859649122807015,1.0,0.6842105263157895,0.5789473684210527,0.47368421052631576,0.5263157894736842,0.45614035087719296,0.5614035087719298,0.43859649122807015,0.03508771929824561,0.03508771929824561,0.0,0.0,0.22807017543859648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.2631578947368421,0.07017543859649122,0.21052631578947367,0.0,0.12280701754385964,0.0,0.05263157894736842,0.0,0.0,0.017543859649122806,0.0,0.2631578947368421,0.0
CHROMOSOME BREAKAGE,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.48717948717948717,1.0,1.0,0.5897435897435898,0.5384615384615384,0.5641025641025641,0.5128205128205128,0.6153846153846154,0.5128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.10256410256410256,0.02564102564102564,0.05128205128205128,0.0,0.05128205128205128,0.0,0.05128205128205128,0.0,0.0,0.02564102564102564,0.0,0.358974358974359,0.0
HEMATOLOGICAL NEOPLASM,0.11904761904761904,0.0782312925170068,0.0782312925170068,0.1054421768707483,0.11224489795918367,0.0782312925170068,1.0,0.3945578231292517,0.17687074829931973,0.14285714285714285,0.2585034013605442,0.08843537414965986,0.03741496598639456,0.030612244897959183,0.006802721088435374,0.006802721088435374,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.003401360544217687,0.003401360544217687,0.013605442176870748,0.1292517006802721,0.30272108843537415,0.16666666666666666,0.25170068027210885,0.09863945578231292,0.391156462585034,0.0,0.006802721088435374,0.0,0.0,0.013605442176870748,0.013605442176870748,0.023809523809523808,0.01020408163265306
MYELODYSPLASIA,0.25862068965517243,0.19827586206896552,0.19827586206896552,0.21551724137931033,0.23275862068965517,0.1810344827586207,1.0,1.0,0.29310344827586204,0.25862068965517243,0.3448275862068966,0.19827586206896552,0.034482758620689655,0.02586206896551724,0.0,0.0,0.0603448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.29310344827586204,0.20689655172413793,0.04310344827586207,0.1810344827586207,0.0,0.14655172413793102,0.0,0.0,0.0,0.0,0.02586206896551724,0.034482758620689655,0.034482758620689655,0.017241379310344827
CAFE AU LAIT SPOT,0.23846153846153847,0.17692307692307693,0.17692307692307693,0.23846153846153847,0.23076923076923078,0.16923076923076924,0.4,0.26153846153846155,1.0,0.5076923076923077,1.0,0.2230769230769231,0.06923076923076923,0.06153846153846154,0.0,0.0,0.12307692307692308,0.0,0.023076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.023076923076923078,0.06923076923076923,0.1,0.05384615384615385,0.07692307692307693,0.023076923076923078,0.08461538461538462,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.007692307692307693,0.08461538461538462,0.038461538461538464
MULTIPLE CAFE AU LAIT SPOTS,0.4393939393939394,0.3484848484848485,0.3484848484848485,0.3787878787878788,0.3939393939393939,0.30303030303030304,0.6363636363636364,0.45454545454545453,1.0,1.0,1.0,0.4393939393939394,0.06060606060606061,0.06060606060606061,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.09090909090909091,0.07575757575757576,0.030303030303030304,0.07575757575757576,0.015151515151515152,0.10606060606060606,0.0,0.0,0.015151515151515152,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.12121212121212122,0.030303030303030304
