term_id	term_name	p_value	term_size	intersection_size	intersection
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.0011973941156888	86	50	FOS,JUN,CCL4,CCL5,RAC1,TICAM1,PIK3CB,TRAF3,MAPK13,CCL3,NFKBIA,MYD88,CXCL8,TLR4,TLR1,PIK3R5,CD86,PIK3CG,STAT1,MAPK3,IL1B,TLR3,IKBKE,PIK3CD,IFNAR2,TLR8,MAP2K6,LBP,RIPK1,IRF7,IFNAR1,TAB2,TLR9,MAP3K8,TLR6,LY96,IRAK4,CD80,MAP2K3,CD14,MAP2K2,IRAK1,CASP8,CXCL9,IKBKG,CD40,NFKB1,MAPK8,CHUK,PIK3R2
KEGG_LIMONENE_AND_PINENE_DEGRADATION	KEGG_LIMONENE_AND_PINENE_DEGRADATION	0.0094965411958105	10	4	HADHA,ALDH7A1,EHHADH,ECHS1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.0020022922524381	63	28	CACNA1C,ITGA1,ITGB5,CACNB2,CACNA2D3,ITGB8,TGFB3,PRKAG2,ITGB3,DAG1,ITGA9,CACNA2D2,PRKAB2,TNNC1,TPM1,PRKAA2,SGCD,ITGA7,TPM2,SGCA,DES,CACNA2D1,DMD,CACNA1D,RYR2,LAMA2,CACNB1,ITGA10
KEGG_PEROXISOME	KEGG_PEROXISOME	0.002282053613536	75	34	CROT,ACOX1,ABCD3,ACSL6,EHHADH,PEX7,ACSL5,IDH1,PXMP2,AMACR,PEX26,HSD17B4,NUDT12,PHYH,FAR2,PEX19,GSTK1,ABCD4,SOD1,PRDX5,PEX11B,CAT,ABCD2,CRAT,PEX11G,FAR1,PEX11A,HMGCL,ECI2,PECR,ACOT8,PXMP4,PRDX1,PEX16
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	0.0008719261819939	109	45	IL2RA,MYC,SOCS3,CNTFR,IL24,PIM1,IL9R,PIK3CB,IFNGR2,SOS2,IL2RB,SPRED2,IL20RA,IL21R,IL7R,IL10RA,IL12RB1,JAK3,CBL,PTPN6,IFNLR1,SPRY3,IL10RB,PIK3R5,IRF9,PIK3CG,STAT1,IL5RA,STAT4,IL10,IFNGR1,IL3RA,IL13RA1,PIK3CD,CSF2RA,IFNAR2,BCL2L1,IL6R,IL7,IFNAR1,GRB2,IL15,CBLC,OSM,IL23A
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	0.0003465743904081	142	57	ITPKB,CAMK2G,PLCD4,TACR2,PPP3CB,PPID,HRH2,CACNA1C,CALM2,PRKACA,CACNA1G,HTR2A,CACNA1E,PTGER1,PLCB1,PLN,TBXA2R,TRPC1,HTR2B,GRIN2A,SLC25A4,PLCG1,P2RX1,TACR1,TNNC1,GNA14,CHRM2,ADCY1,ADRA1B,ATP2B4,ITPR1,ADRB1,EDNRA,ADCY2,ADCY4,PTGER3,ADRA1A,MYLK,RYR3,AGTR1,DRD1,CHRM1,CACNA1A,CACNA1D,CAMK2A,PDE1A,PTGFR,CACNA1H,RYR2,CHRNA7,NOS3,CACNA1B,PDGFRA,P2RX6,PDGFRB,AVPR1A,CAMK2B
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	0.0030343269481225	65	18	THBS1,CDKN1A,SFN,CCNE2,PERP,PMAIP1,CYCS,RRM2,RRM2B,GADD45A,SERPINE1,COP1,CDK1,TNFRSF10B,STEAP3,PPM1D,GADD45B,CCNE1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.0006209004074956	94	48	FCGR3A,SYK,WASL,ARPC2,NCF1,INPP5D,RAC1,PIK3CB,RAC2,PAK1,PTPRC,ARF6,WAS,DOCK2,VAV1,LYN,PIP5K1B,ARPC5,PLA2G4F,PIK3R5,PLCG2,PIK3CG,CDC42,FCGR2A,PLD1,MAPK3,PRKCD,ARPC3,VAV3,DNM2,CFL1,PRKCB,PIK3CD,MARCKS,FCGR1A,PLA2G4D,HCK,PLPP2,PIKFYVE,ARPC1A,ARPC1B,ARPC5L,PLA2G6,LAT,PIP5K1A,LIMK1,SPHK2,GAB2
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	0.0074826563721601	58	19	ACOX1,FABP1,PPARG,PDPK1,PCK1,FABP2,HMGCS2,RXRA,ACADM,CPT1A,ACSL6,EHHADH,NR1H3,ACSL5,CYP27A1,DBI,UBC,CPT2,FABP5
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.0335430055256425	15	7	HMGCR,HMGCS2,ACAT1,ACAT2,IDI1,HMGCS1,PDSS2
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM	0.0149638811500249	34	11	KMO,HADH,HADHA,ALDH7A1,ACAT1,EHHADH,DDC,KYNU,ACAT2,ECHS1,TDO2
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.0121199860443844	40	14	CCL4L2,CCL4,CCL5,MAVS,RIGI,NFKBIA,PYCARD,ZBP1,ADAR,CASP1,IL1B,IKBKE,RIPK1,IRF7
