Pathway,T CELL RECEPTOR SIGNALING PATHWAY,B CELL RECEPTOR SIGNALING PATHWAY,NATURAL KILLER CELL MEDIATED CYTOTOXICITY,CHEMOKINE SIGNALING PATHWAY,FC GAMMA R MEDIATED PHAGOCYTOSIS,VASCULAR SMOOTH MUSCLE CONTRACTION,CALCIUM SIGNALING PATHWAY,ANTIGEN PROCESSING AND PRESENTATION,GRAFT VERSUS HOST DISEASE,TYPE I DIABETES MELLITUS,AUTOIMMUNE THYROID DISEASE,ALLOGRAFT REJECTION,SYSTEMIC LUPUS ERYTHEMATOSUS,INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,ASTHMA,LEISHMANIA INFECTION,ASCORBATE AND ALDARATE METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSIONS,STARCH AND SUCROSE METABOLISM,PORPHYRIN AND CHLOROPHYLL METABOLISM,RETINOL METABOLISM,DRUG METABOLISM CYTOCHROME P450,METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,DRUG METABOLISM OTHER ENZYMES,STEROID HORMONE BIOSYNTHESIS,PRIMARY IMMUNODEFICIENCY,HEMATOPOIETIC CELL LINEAGE,CYTOKINE CYTOKINE RECEPTOR INTERACTION,JAK STAT SIGNALING PATHWAY,NOD LIKE RECEPTOR SIGNALING PATHWAY,TOLL LIKE RECEPTOR SIGNALING PATHWAY,CELL CYCLE,DNA REPLICATION,FATTY ACID METABOLISM,BUTANOATE METABOLISM,VALINE LEUCINE AND ISOLEUCINE DEGRADATION,PROPANOATE METABOLISM,ECM RECEPTOR INTERACTION,DILATED CARDIOMYOPATHY,HYPERTROPHIC CARDIOMYOPATHY HCM
T CELL RECEPTOR SIGNALING PATHWAY,1.0,0.48148148148148145,0.42592592592592593,0.3333333333333333,0.21296296296296297,0.06481481481481481,0.07407407407407407,0.027777777777777776,0.037037037037037035,0.037037037037037035,0.06481481481481481,0.07407407407407407,0.046296296296296294,0.07407407407407407,0.046296296296296294,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10185185185185185,0.09259259259259259,0.07407407407407407,0.2222222222222222,0.14814814814814814,0.2962962962962963,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.009259259259259259
B CELL RECEPTOR SIGNALING PATHWAY,0.6933333333333334,1.0,0.5466666666666666,0.48,0.3466666666666667,0.08,0.12,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.04,0.0,0.2,0.12,0.32,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATURAL KILLER CELL MEDIATED CYTOTOXICITY,0.3357664233576642,0.29927007299270075,1.0,0.22627737226277372,0.1897810218978102,0.072992700729927,0.0948905109489051,0.24087591240875914,0.1386861313868613,0.08029197080291971,0.16058394160583941,0.08029197080291971,0.029197080291970802,0.0,0.014598540145985401,0.08029197080291971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014598540145985401,0.014598540145985401,0.20437956204379562,0.24087591240875914,0.021897810218978103,0.21897810218978103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0072992700729927005
CHEMOKINE SIGNALING PATHWAY,0.19148936170212766,0.19148936170212766,0.16489361702127658,1.0,0.1702127659574468,0.14361702127659576,0.09042553191489362,0.0,0.0,0.0,0.0,0.0,0.0,0.03723404255319149,0.005319148936170213,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.3404255319148936,0.10638297872340426,0.09574468085106383,0.15425531914893617,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.06914893617021277,0.0
FC GAMMA R MEDIATED PHAGOCYTOSIS,0.23958333333333334,0.2708333333333333,0.2708333333333333,0.3333333333333333,1.0,0.13541666666666666,0.07291666666666667,0.0,0.0,0.0,0.0,0.0,0.052083333333333336,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.010416666666666666,0.0,0.11458333333333333,0.020833333333333332,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VASCULAR SMOOTH MUSCLE CONTRACTION,0.06086956521739131,0.05217391304347826,0.08695652173913043,0.23478260869565218,0.11304347826086956,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02608695652173913,0.0,0.0,0.0,0.0,0.017391304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017391304347826087,0.034782608695652174,0.0,0.0,0.017391304347826087,0.0,0.0,0.0,0.0,0.1565217391304348,0.034782608695652174
CALCIUM SIGNALING PATHWAY,0.0449438202247191,0.05056179775280899,0.07303370786516854,0.09550561797752809,0.03932584269662921,0.25842696629213485,1.0,0.0,0.0,0.0,0.0,0.0,0.0056179775280898875,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056179775280898875,0.016853932584269662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12359550561797752,0.0449438202247191
ANTIGEN PROCESSING AND PRESENTATION,0.03409090909090909,0.0,0.375,0.0,0.0,0.0,0.0,1.0,0.3181818181818182,0.23863636363636365,0.375,0.22727272727272727,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10227272727272728,0.09090909090909091,0.1590909090909091,0.14772727272727273,0.022727272727272728,0.14772727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAFT VERSUS HOST DISEASE,0.0975609756097561,0.0,0.4634146341463415,0.0,0.0,0.0,0.0,0.6829268292682927,1.0,0.7804878048780488,0.6829268292682927,0.7317073170731707,0.4634146341463415,0.4634146341463415,0.36585365853658536,0.43902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21951219512195122,0.1951219512195122,0.07317073170731707,0.07317073170731707,0.12195121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.04878048780487805
TYPE I DIABETES MELLITUS,0.09302325581395349,0.0,0.2558139534883721,0.0,0.0,0.0,0.0,0.4883720930232558,0.7441860465116279,1.0,0.6511627906976745,0.7441860465116279,0.4418604651162791,0.4186046511627907,0.3488372093023256,0.46511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18604651162790697,0.23255813953488372,0.09302325581395349,0.046511627906976744,0.13953488372093023,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372
