"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","TEAD1","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","18.66666666666667","2","4","ReMap--ChIP-seq(rank=3); ARCHS4--Coexpression(rank=79); Enrichr--Queries(rank=218); GTEx--Coexpression(rank=464)","49","rank=2; score=5.1185; p=7.6127e-06","rank=49; score=0.0101","rank=5; score=5.4165; direction=Activated"
"2","HNF1B","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","22.33333333333333","17","3","ARCHS4--Coexpression(rank=7); ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=443)","20","rank=30; score=1.8912; p=0.012846","rank=20; score=0.0043","rank=17; score=3.8886; direction=Activated"
"3","EGR1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.66666666666666","5","6","GTEx--Coexpression(rank=2); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=34); Literature--ChIP-seq(rank=58); Enrichr--Queries(rank=96); ARCHS4--Coexpression(rank=475)","5","rank=17; score=2.6581; p=0.0021972","rank=5; score=0.001245","rank=91; score=1.6635; direction=Repressed"
"4","NANOG","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.33333333333334","15","6","ReMap--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=70); Enrichr--Queries(rank=532); ARCHS4--Coexpression(rank=842); GTEx--Coexpression(rank=971)","78","rank=37; score=1.5953; p=0.025395","rank=78; score=0.01684","rank=15; score=3.9684; direction=Activated"
"5","TCF12","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","47.33333333333334","16","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=29); GTEx--Coexpression(rank=217); Enrichr--Queries(rank=821)","79","rank=47; score=1.5019; p=0.031487","rank=79; score=0.01695","rank=16; score=3.9156; direction=Activated"
"6","SNAI2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.66666666666666","4","4","ARCHS4--Coexpression(rank=2); Enrichr--Queries(rank=29); ReMap--ChIP-seq(rank=45); GTEx--Coexpression(rank=97)","4","rank=63; score=1.1927; p=0.064161","rank=4; score=0.001229","rank=106; score=1.5142; direction=Activated"
"7","OTX2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.66666666666666","22","4","GTEx--Coexpression(rank=45); ReMap--ChIP-seq(rank=148); ARCHS4--Coexpression(rank=706); Enrichr--Queries(rank=1107)","121","rank=33; score=1.7747; p=0.016798","rank=121; score=0.028","rank=22; score=3.6407; direction=Activated"
"8","PBX3","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;ENRICHR","61.33333333333334","45","5","Enrichr--Queries(rank=21); ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=166); GTEx--Coexpression(rank=549)","70","rank=45; score=1.5118; p=0.030778","rank=70; score=0.01496","rank=69; score=2.0783; direction=Activated"
"9","TCF4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.33333333333333","11","5","ReMap--ChIP-seq(rank=11); Literature--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=48); Enrichr--Queries(rank=125); GTEx--Coexpression(rank=312)","127","rank=11; score=3.2869; p=0.00051655","rank=127; score=0.02948","rank=55; score=2.3128; direction=Activated"
"10","KLF6","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.66666666666667","32","4","ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=184); ARCHS4--Coexpression(rank=628); GTEx--Coexpression(rank=791)","32","rank=78; score=0.9555; p=0.11079","rank=32; score=0.006734","rank=84; score=1.7938; direction=Repressed"
