Pathway,EPC1 TARGET GENES,SOX11 TARGET GENES,ZNF236 TARGET GENES,PSMB5 TARGET GENES,GTF2E2 TARGET GENES,MED16 TARGET GENES,HSF2 TARGET GENES,PPARGC1A TARGET GENES,ATF5 TARGET GENES,CASP8AP2 TARGET GENES,ALKBH3 TARGET GENES,RORA TARGET GENES,ZNF667 TARGET GENES,ELF5 TARGET GENES,CHAMP1 TARGET GENES,NPM1 TARGET GENES,ZNF830 TARGET GENES,ZZZ3 TARGET GENES,FOXR2 TARGET GENES,RUVBL1 TARGET GENES,DMRT1 TARGET GENES,NPAT TARGET GENES,SQSTM1 TARGET GENES,ZNF581 TARGET GENES,NR1I2 TARGET GENES,ZBED4 TARGET GENES,HOXC13 TARGET GENES,MYBL1 TARGET GENES,CREB3L2 TARGET GENES,HOXA10 TARGET GENES,FOXO4 TARGET GENES,SRPK1 TARGET GENES,ZNF704 TARGET GENES,MAML1 TARGET GENES,CSHL1 TARGET GENES,NR1H4 TARGET GENES,LMNB2 TARGET GENES,TASOR TARGET GENES,ZNF532 TARGET GENES,ZNF16 TARGET GENES
EPC1 TARGET GENES,1.0,0.017811704834605598,0.06361323155216285,0.04580152671755725,0.05089058524173028,0.007633587786259542,0.04071246819338423,0.010178117048346057,0.03307888040712468,0.03816793893129771,0.07888040712468193,0.035623409669211195,0.01272264631043257,0.06361323155216285,0.015267175572519083,0.05089058524173028,0.02544529262086514,0.035623409669211195,0.03816793893129771,0.022900763358778626,0.04834605597964377,0.03307888040712468,0.005089058524173028,0.030534351145038167,0.05597964376590331,0.04071246819338423,0.020356234096692113,0.06615776081424936,0.030534351145038167,0.035623409669211195,0.061068702290076333,0.03816793893129771,0.01272264631043257,0.020356234096692113,0.035623409669211195,0.015267175572519083,0.0,0.061068702290076333,0.002544529262086514,0.0
SOX11 TARGET GENES,0.14893617021276595,1.0,0.1276595744680851,0.06382978723404255,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.06382978723404255,0.06382978723404255,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.0,0.06382978723404255,0.02127659574468085,0.0851063829787234,0.0425531914893617,0.0,0.0425531914893617,0.0,0.06382978723404255,0.02127659574468085,0.0851063829787234,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0425531914893617,0.0,0.0,0.0425531914893617,0.0,0.02127659574468085
ZNF236 TARGET GENES,0.0946969696969697,0.022727272727272728,1.0,0.06060606060606061,0.07954545454545454,0.011363636363636364,0.04924242424242424,0.011363636363636364,0.07954545454545454,0.026515151515151516,0.026515151515151516,0.045454545454545456,0.03409090909090909,0.07196969696969698,0.015151515151515152,0.06060606060606061,0.022727272727272728,0.015151515151515152,0.007575757575757576,0.026515151515151516,0.05303030303030303,0.022727272727272728,0.0,0.056818181818181816,0.022727272727272728,0.01893939393939394,0.03409090909090909,0.07575757575757576,0.007575757575757576,0.07196969696969698,0.06439393939393939,0.056818181818181816,0.007575757575757576,0.015151515151515152,0.026515151515151516,0.022727272727272728,0.0,0.011363636363636364,0.011363636363636364,0.003787878787878788
PSMB5 TARGET GENES,0.05787781350482315,0.00964630225080386,0.05144694533762058,1.0,0.3054662379421222,0.022508038585209004,0.03858520900321544,0.02572347266881029,0.08681672025723473,0.07395498392282958,0.06430868167202572,0.022508038585209004,0.0,0.02572347266881029,0.003215434083601286,0.07395498392282958,0.028938906752411574,0.05466237942122187,0.012861736334405145,0.06430868167202572,0.03215434083601286,0.06752411575562701,0.012861736334405145,0.07395498392282958,0.06109324758842444,0.04501607717041801,0.01929260450160772,0.07717041800643087,0.012861736334405145,0.04823151125401929,0.02572347266881029,0.04180064308681672,0.006430868167202572,0.00964630225080386,0.022508038585209004,0.03536977491961415,0.006430868167202572,0.07717041800643087,0.003215434083601286,0.003215434083601286
GTF2E2 TARGET GENES,0.047961630695443645,0.004796163069544364,0.050359712230215826,0.2278177458033573,1.0,0.03836930455635491,0.019184652278177457,0.004796163069544364,0.07673860911270983,0.09592326139088729,0.13908872901678657,0.06474820143884892,0.03357314148681055,0.05995203836930456,0.016786570743405275,0.06954436450839328,0.02158273381294964,0.045563549160671464,0.02158273381294964,0.06235011990407674,0.06954436450839328,0.03836930455635491,0.002398081534772182,0.047961630695443645,0.02877697841726619,0.02877697841726619,0.02158273381294964,0.0671462829736211,0.026378896882494004,0.06235011990407674,0.047961630695443645,0.047961630695443645,0.007194244604316547,0.019184652278177457,0.026378896882494004,0.014388489208633094,0.002398081534772182,0.047961630695443645,0.009592326139088728,0.0
MED16 TARGET GENES,0.06382978723404255,0.0425531914893617,0.06382978723404255,0.14893617021276595,0.3404255319148936,1.0,0.1276595744680851,0.06382978723404255,0.1276595744680851,0.0851063829787234,0.0425531914893617,0.0,0.0,0.0851063829787234,0.06382978723404255,0.02127659574468085,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0425531914893617,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.06382978723404255,0.0,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.0,0.02127659574468085,0.0425531914893617,0.06382978723404255,0.0,0.06382978723404255,0.0,0.0
HSF2 TARGET GENES,0.0642570281124498,0.008032128514056224,0.05220883534136546,0.04819277108433735,0.0321285140562249,0.024096385542168676,1.0,0.20080321285140562,0.14859437751004015,0.05622489959839357,0.04819277108433735,0.040160642570281124,0.008032128514056224,0.04819277108433735,0.01606425702811245,0.024096385542168676,0.020080321285140562,0.0321285140562249,0.012048192771084338,0.020080321285140562,0.04417670682730924,0.024096385542168676,0.012048192771084338,0.10441767068273092,0.0321285140562249,0.03614457831325301,0.020080321285140562,0.04417670682730924,0.020080321285140562,0.020080321285140562,0.04417670682730924,0.0321285140562249,0.012048192771084338,0.008032128514056224,0.028112449799196786,0.028112449799196786,0.0,0.0321285140562249,0.0,0.0
PPARGC1A TARGET GENES,0.039603960396039604,0.009900990099009901,0.0297029702970297,0.07920792079207921,0.019801980198019802,0.0297029702970297,0.49504950495049505,1.0,0.21782178217821782,0.06930693069306931,0.06930693069306931,0.04950495049504951,0.019801980198019802,0.07920792079207921,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.0594059405940594,0.019801980198019802,0.009900990099009901,0.019801980198019802,0.009900990099009901,0.019801980198019802,0.06930693069306931,0.04950495049504951,0.039603960396039604,0.0297029702970297,0.019801980198019802,0.0,0.0,0.039603960396039604,0.009900990099009901,0.009900990099009901,0.0297029702970297,0.04950495049504951,0.019801980198019802,0.0,0.009900990099009901,0.0,0.0
ATF5 TARGET GENES,0.02795698924731183,0.0064516129032258064,0.04516129032258064,0.05806451612903226,0.06881720430107527,0.012903225806451613,0.07956989247311828,0.047311827956989246,1.0,0.05591397849462366,0.05591397849462366,0.06236559139784946,0.017204301075268817,0.06881720430107527,0.015053763440860216,0.03870967741935484,0.03225806451612903,0.03655913978494624,0.01935483870967742,0.03870967741935484,0.10752688172043011,0.02795698924731183,0.0,0.05161290322580645,0.047311827956989246,0.021505376344086023,0.01935483870967742,0.04516129032258064,0.02795698924731183,0.07741935483870968,0.05806451612903226,0.02795698924731183,0.0064516129032258064,0.0064516129032258064,0.03225806451612903,0.023655913978494623,0.0,0.04086021505376344,0.010752688172043012,0.002150537634408602
CASP8AP2 TARGET GENES,0.043731778425655975,0.008746355685131196,0.02040816326530612,0.06705539358600583,0.11661807580174927,0.011661807580174927,0.04081632653061224,0.02040816326530612,0.07580174927113703,1.0,0.30612244897959184,0.15160349854227406,0.10495626822157435,0.14285714285714285,0.04956268221574344,0.04081632653061224,0.029154518950437316,0.04664723032069971,0.023323615160349854,0.07580174927113703,0.05830903790087463,0.15160349854227406,0.011661807580174927,0.04081632653061224,0.04081632653061224,0.037900874635568516,0.008746355685131196,0.026239067055393587,0.03498542274052478,0.043731778425655975,0.04664723032069971,0.026239067055393587,0.01749271137026239,0.011661807580174927,0.03498542274052478,0.014577259475218658,0.0,0.037900874635568516,0.0029154518950437317,0.0029154518950437317
ALKBH3 TARGET GENES,0.06997742663656885,0.002257336343115124,0.01580135440180587,0.045146726862302484,0.1309255079006772,0.004514672686230248,0.02708803611738149,0.01580135440180587,0.05869074492099323,0.23702031602708803,1.0,0.3047404063205418,0.1670428893905192,0.17155756207674944,0.045146726862302484,0.060948081264108354,0.04740406320541761,0.056433408577878104,0.03160270880361174,0.05417607223476298,0.0654627539503386,0.020316027088036117,0.006772009029345372,0.029345372460496615,0.040632054176072234,0.040632054176072234,0.011286681715575621,0.05417607223476298,0.05417607223476298,0.060948081264108354,0.05417607223476298,0.024830699774266364,0.01580135440180587,0.011286681715575621,0.02708803611738149,0.024830699774266364,0.006772009029345372,0.01580135440180587,0.009029345372460496,0.0
