Pathway,MED25 TARGET GENES,PRMT5 TARGET GENES,TAFAZZIN TARGET GENES,SOX10 TARGET GENES,MAPK3 TARGET GENES,EGFR TARGET GENES,PBXIP1 TARGET GENES,ARID3B TARGET GENES,F10 TARGET GENES,SOX15 TARGET GENES,SOX11 TARGET GENES,PSMB5 TARGET GENES,MDM2 TARGET GENES,GTF2E2 TARGET GENES,COBLL1 TARGET GENES,ASXL2 TARGET GENES,RBMX TARGET GENES,ZNF547 TARGET GENES,ZNF419 TARGET GENES,ZNF136 TARGET GENES,CASP8AP2 TARGET GENES,ZNF354B TARGET GENES,EPC1 TARGET GENES,ZNF774 TARGET GENES,HDAC8 TARGET GENES,ZNF746 TARGET GENES,FOXO4 TARGET GENES,CREB3L2 TARGET GENES,PITX1 TARGET GENES,TOX4 TARGET GENES,BCL6B TARGET GENES,MYF6 TARGET GENES,NR4A2 TARGET GENES,ATF5 TARGET GENES,HSF2 TARGET GENES,HMCES TARGET GENES,CASP3 TARGET GENES,ZNF581 TARGET GENES,ZNF302 TARGET GENES
MED25 TARGET GENES,1.0,0.13380281690140844,0.08450704225352113,0.035211267605633804,0.07042253521126761,0.035211267605633804,0.056338028169014086,0.014084507042253521,0.04929577464788732,0.0,0.007042253521126761,0.11267605633802817,0.007042253521126761,0.22535211267605634,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.1056338028169014,0.0,0.028169014084507043,0.0,0.007042253521126761,0.007042253521126761,0.07746478873239436,0.007042253521126761,0.014084507042253521,0.02112676056338028,0.014084507042253521,0.0,0.007042253521126761,0.09859154929577464,0.04225352112676056,0.0,0.0,0.04225352112676056,0.0
PRMT5 TARGET GENES,0.18095238095238095,1.0,0.12380952380952381,0.047619047619047616,0.06666666666666667,0.0380952380952381,0.009523809523809525,0.02857142857142857,0.047619047619047616,0.0,0.0,0.0761904761904762,0.01904761904761905,0.10476190476190476,0.0,0.0,0.0,0.0380952380952381,0.0,0.0,0.047619047619047616,0.009523809523809525,0.0380952380952381,0.0,0.01904761904761905,0.0,0.01904761904761905,0.009523809523809525,0.009523809523809525,0.02857142857142857,0.009523809523809525,0.0,0.0,0.05714285714285714,0.0380952380952381,0.0,0.0,0.01904761904761905,0.0
TAFAZZIN TARGET GENES,0.02459016393442623,0.02663934426229508,1.0,0.020491803278688523,0.00819672131147541,0.006147540983606557,0.00819672131147541,0.012295081967213115,0.020491803278688523,0.0020491803278688526,0.004098360655737705,0.01639344262295082,0.0020491803278688526,0.018442622950819672,0.00819672131147541,0.0,0.0,0.036885245901639344,0.0,0.0,0.02459016393442623,0.014344262295081968,0.020491803278688523,0.0,0.00819672131147541,0.006147540983606557,0.028688524590163935,0.0,0.02459016393442623,0.012295081967213115,0.012295081967213115,0.0020491803278688526,0.0020491803278688526,0.02663934426229508,0.014344262295081968,0.004098360655737705,0.0,0.010245901639344262,0.0
SOX10 TARGET GENES,0.015723270440251572,0.015723270440251572,0.031446540880503145,1.0,0.018867924528301886,0.0031446540880503146,0.006289308176100629,0.009433962264150943,0.040880503144654086,0.0,0.0031446540880503146,0.006289308176100629,0.0,0.02830188679245283,0.0031446540880503146,0.0031446540880503146,0.0,0.040880503144654086,0.0,0.0,0.0031446540880503146,0.006289308176100629,0.009433962264150943,0.0,0.006289308176100629,0.0,0.006289308176100629,0.0,0.0220125786163522,0.006289308176100629,0.009433962264150943,0.0,0.0,0.025157232704402517,0.009433962264150943,0.0,0.0,0.018867924528301886,0.0
MAPK3 TARGET GENES,0.09259259259259259,0.06481481481481481,0.037037037037037035,0.05555555555555555,1.0,0.1111111111111111,0.05555555555555555,0.027777777777777776,0.009259259259259259,0.0,0.018518518518518517,0.21296296296296297,0.0,0.1388888888888889,0.018518518518518517,0.018518518518518517,0.009259259259259259,0.06481481481481481,0.0,0.0,0.07407407407407407,0.0,0.046296296296296294,0.0,0.009259259259259259,0.009259259259259259,0.046296296296296294,0.027777777777777776,0.05555555555555555,0.037037037037037035,0.027777777777777776,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.046296296296296294,0.0
EGFR TARGET GENES,0.1388888888888889,0.1111111111111111,0.08333333333333333,0.027777777777777776,0.3333333333333333,1.0,0.05555555555555555,0.027777777777777776,0.08333333333333333,0.0,0.027777777777777776,0.4166666666666667,0.0,0.2777777777777778,0.027777777777777776,0.0,0.027777777777777776,0.05555555555555555,0.0,0.0,0.1111111111111111,0.027777777777777776,0.05555555555555555,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
PBXIP1 TARGET GENES,0.028268551236749116,0.0035335689045936395,0.014134275618374558,0.007067137809187279,0.02120141342756184,0.007067137809187279,1.0,0.01060070671378092,0.0176678445229682,0.0,0.0035335689045936395,0.0353356890459364,0.0,0.01060070671378092,0.014134275618374558,0.0,0.0,0.0035335689045936395,0.0,0.0,0.01060070671378092,0.007067137809187279,0.0176678445229682,0.0035335689045936395,0.007067137809187279,0.01060070671378092,0.01060070671378092,0.007067137809187279,0.007067137809187279,0.014134275618374558,0.01060070671378092,0.0,0.0,0.01060070671378092,0.0035335689045936395,0.0,0.0,0.01060070671378092,0.0
ARID3B TARGET GENES,0.010101010101010102,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.005050505050505051,0.015151515151515152,1.0,0.010101010101010102,0.0,0.005050505050505051,0.010101010101010102,0.0,0.005050505050505051,0.005050505050505051,0.010101010101010102,0.0,0.010101010101010102,0.0,0.0,0.020202020202020204,0.015151515151515152,0.020202020202020204,0.0,0.005050505050505051,0.0,0.005050505050505051,0.015151515151515152,0.015151515151515152,0.005050505050505051,0.0,0.0,0.0,0.025252525252525252,0.015151515151515152,0.0,0.0,0.010101010101010102,0.0
F10 TARGET GENES,0.02422145328719723,0.01730103806228374,0.03460207612456748,0.04498269896193772,0.0034602076124567475,0.010380622837370242,0.01730103806228374,0.006920415224913495,1.0,0.0034602076124567475,0.0034602076124567475,0.01384083044982699,0.0,0.05536332179930796,0.0034602076124567475,0.0,0.0,0.04844290657439446,0.0,0.0034602076124567475,0.04152249134948097,0.01384083044982699,0.02768166089965398,0.0034602076124567475,0.01384083044982699,0.0034602076124567475,0.02768166089965398,0.0034602076124567475,0.010380622837370242,0.01384083044982699,0.02422145328719723,0.0034602076124567475,0.0,0.020761245674740483,0.010380622837370242,0.0,0.0,0.006920415224913495,0.0
SOX15 TARGET GENES,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
