Pathway,MED25 TARGET GENES,PRMT5 TARGET GENES,TAFAZZIN TARGET GENES,SOX10 TARGET GENES,MAPK3 TARGET GENES,EGFR TARGET GENES,PBXIP1 TARGET GENES,ARID3B TARGET GENES,F10 TARGET GENES,SOX15 TARGET GENES,SOX11 TARGET GENES,PSMB5 TARGET GENES,MDM2 TARGET GENES,GTF2E2 TARGET GENES,COBLL1 TARGET GENES,ASXL2 TARGET GENES,RBMX TARGET GENES,ZNF547 TARGET GENES,ZNF419 TARGET GENES,ZNF136 TARGET GENES,CASP8AP2 TARGET GENES,ZNF354B TARGET GENES,EPC1 TARGET GENES,ZNF774 TARGET GENES,HDAC8 TARGET GENES,ZNF746 TARGET GENES,FOXO4 TARGET GENES,CREB3L2 TARGET GENES,PITX1 TARGET GENES,TOX4 TARGET GENES,BCL6B TARGET GENES,MYF6 TARGET GENES,NR4A2 TARGET GENES,ATF5 TARGET GENES,HSF2 TARGET GENES,HMCES TARGET GENES,CASP3 TARGET GENES,ZNF581 TARGET GENES,ZNF302 TARGET GENES
SOX11 TARGET GENES,0.02127659574468085,0.0,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,1.0,0.06382978723404255,0.0,0.0425531914893617,0.02127659574468085,0.0,0.02127659574468085,0.0425531914893617,0.0,0.0,0.06382978723404255,0.0,0.14893617021276595,0.0,0.06382978723404255,0.0,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.06382978723404255,0.0425531914893617,0.0,0.0,0.0425531914893617,0.0
PSMB5 TARGET GENES,0.05144694533762058,0.02572347266881029,0.02572347266881029,0.006430868167202572,0.07395498392282958,0.04823151125401929,0.03215434083601286,0.006430868167202572,0.012861736334405145,0.0,0.00964630225080386,1.0,0.03215434083601286,0.3054662379421222,0.012861736334405145,0.006430868167202572,0.006430868167202572,0.02572347266881029,0.0,0.003215434083601286,0.07395498392282958,0.0,0.05787781350482315,0.0,0.01929260450160772,0.01607717041800643,0.02572347266881029,0.012861736334405145,0.05466237942122187,0.05144694533762058,0.01607717041800643,0.0,0.0,0.08681672025723473,0.03858520900321544,0.0,0.0,0.07395498392282958,0.0
MDM2 TARGET GENES,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,1.0,0.46153846153846156,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.0,0.0,0.0
GTF2E2 TARGET GENES,0.07673860911270983,0.026378896882494004,0.02158273381294964,0.02158273381294964,0.03597122302158273,0.023980815347721823,0.007194244604316547,0.002398081534772182,0.03836930455635491,0.0,0.004796163069544364,0.2278177458033573,0.014388489208633094,1.0,0.011990407673860911,0.004796163069544364,0.002398081534772182,0.02158273381294964,0.0,0.0,0.09592326139088729,0.023980815347721823,0.047961630695443645,0.0,0.02158273381294964,0.004796163069544364,0.047961630695443645,0.026378896882494004,0.05275779376498801,0.047961630695443645,0.002398081534772182,0.0,0.0,0.07673860911270983,0.019184652278177457,0.0,0.0,0.047961630695443645,0.0
COBLL1 TARGET GENES,0.0,0.0,0.026490066225165563,0.006622516556291391,0.013245033112582781,0.006622516556291391,0.026490066225165563,0.006622516556291391,0.006622516556291391,0.0,0.006622516556291391,0.026490066225165563,0.006622516556291391,0.033112582781456956,1.0,0.0,0.0,0.033112582781456956,0.0,0.0,0.019867549668874173,0.013245033112582781,0.046357615894039736,0.0,0.019867549668874173,0.0,0.013245033112582781,0.033112582781456956,0.052980132450331126,0.046357615894039736,0.026490066225165563,0.0,0.006622516556291391,0.059602649006622516,0.006622516556291391,0.0,0.0,0.006622516556291391,0.0
ASXL2 TARGET GENES,0.0,0.0,0.0,0.01818181818181818,0.03636363636363636,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.03636363636363636,0.0,0.03636363636363636,0.0,1.0,0.05454545454545454,0.05454545454545454,0.01818181818181818,0.05454545454545454,0.01818181818181818,0.05454545454545454,0.0,0.09090909090909091,0.07272727272727272,0.0,0.03636363636363636,0.01818181818181818,0.05454545454545454,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.01818181818181818,0.0,0.01818181818181818
RBMX TARGET GENES,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.0,0.3,1.0,0.2,0.2,0.1,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
ZNF547 TARGET GENES,0.011428571428571429,0.011428571428571429,0.05142857142857143,0.037142857142857144,0.02,0.005714285714285714,0.002857142857142857,0.005714285714285714,0.04,0.0,0.005714285714285714,0.022857142857142857,0.0,0.025714285714285714,0.014285714285714285,0.008571428571428572,0.005714285714285714,1.0,0.011428571428571429,0.008571428571428572,0.07428571428571429,0.011428571428571429,0.04857142857142857,0.008571428571428572,0.011428571428571429,0.002857142857142857,0.03142857142857143,0.02857142857142857,0.03142857142857143,0.008571428571428572,0.011428571428571429,0.0,0.0,0.025714285714285714,0.022857142857142857,0.0,0.008571428571428572,0.02857142857142857,0.002857142857142857
ZNF419 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,1.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF136 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.2,0.06666666666666667,0.2,0.06666666666666667,1.0,0.13333333333333333,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0
CASP8AP2 TARGET GENES,0.043731778425655975,0.014577259475218658,0.03498542274052478,0.0029154518950437317,0.023323615160349854,0.011661807580174927,0.008746355685131196,0.011661807580174927,0.03498542274052478,0.0,0.008746355685131196,0.06705539358600583,0.0058309037900874635,0.11661807580174927,0.008746355685131196,0.0029154518950437317,0.0058309037900874635,0.07580174927113703,0.0058309037900874635,0.0058309037900874635,1.0,0.026239067055393587,0.043731778425655975,0.0058309037900874635,0.011661807580174927,0.0,0.04664723032069971,0.03498542274052478,0.05539358600583091,0.029154518950437316,0.0029154518950437317,0.0029154518950437317,0.0,0.07580174927113703,0.04081632653061224,0.011661807580174927,0.0,0.04081632653061224,0.0
ZNF354B TARGET GENES,0.0,0.004784688995215311,0.03349282296650718,0.009569377990430622,0.0,0.004784688995215311,0.009569377990430622,0.014354066985645933,0.019138755980861243,0.0,0.0,0.0,0.0,0.04784688995215311,0.009569377990430622,0.014354066985645933,0.0,0.019138755980861243,0.0,0.0,0.0430622009569378,1.0,0.04784688995215311,0.004784688995215311,0.06220095693779904,0.0,0.009569377990430622,0.004784688995215311,0.014354066985645933,0.019138755980861243,0.004784688995215311,0.0,0.004784688995215311,0.03349282296650718,0.004784688995215311,0.0,0.0,0.03349282296650718,0.004784688995215311
EPC1 TARGET GENES,0.010178117048346057,0.010178117048346057,0.02544529262086514,0.007633587786259542,0.01272264631043257,0.005089058524173028,0.01272264631043257,0.010178117048346057,0.020356234096692113,0.0,0.017811704834605598,0.04580152671755725,0.002544529262086514,0.05089058524173028,0.017811704834605598,0.0,0.0,0.043256997455470736,0.0,0.0,0.03816793893129771,0.02544529262086514,1.0,0.015267175572519083,0.03816793893129771,0.007633587786259542,0.061068702290076333,0.030534351145038167,0.05089058524173028,0.027989821882951654,0.01272264631043257,0.0,0.0,0.03307888040712468,0.04071246819338423,0.0,0.0,0.030534351145038167,0.0
ZNF774 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.21428571428571427,1.0,0.10714285714285714,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
HDAC8 TARGET GENES,0.0058823529411764705,0.011764705882352941,0.023529411764705882,0.011764705882352941,0.0058823529411764705,0.0,0.011764705882352941,0.0058823529411764705,0.023529411764705882,0.0,0.01764705882352941,0.03529411764705882,0.0,0.052941176470588235,0.01764705882352941,0.023529411764705882,0.011764705882352941,0.023529411764705882,0.0,0.0,0.023529411764705882,0.07647058823529412,0.08823529411764706,0.01764705882352941,1.0,0.0,0.047058823529411764,0.011764705882352941,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705,0.0,0.0,0.011764705882352941,0.0,0.0,0.0,0.029411764705882353,0.0
ZNF746 TARGET GENES,0.0125,0.0,0.0375,0.0,0.0125,0.0125,0.0375,0.0,0.0125,0.0,0.0,0.0625,0.0125,0.025,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,1.0,0.05,0.0125,0.025,0.0125,0.025,0.0,0.0,0.05,0.0,0.0,0.0,0.0125,0.0
FOXO4 TARGET GENES,0.028423772609819122,0.00516795865633075,0.03617571059431524,0.00516795865633075,0.012919896640826873,0.0,0.007751937984496124,0.002583979328165375,0.020671834625323,0.0,0.002583979328165375,0.020671834625323,0.0,0.05167958656330749,0.00516795865633075,0.00516795865633075,0.0,0.028423772609819122,0.0,0.0,0.041343669250646,0.00516795865633075,0.06201550387596899,0.00516795865633075,0.020671834625323,0.0103359173126615,1.0,0.04392764857881137,0.06201550387596899,0.041343669250646,0.01808785529715762,0.002583979328165375,0.0,0.06976744186046512,0.028423772609819122,0.0,0.0,0.06201550387596899,0.0
CREB3L2 TARGET GENES,0.006666666666666667,0.006666666666666667,0.0,0.0,0.02,0.0,0.013333333333333334,0.02,0.006666666666666667,0.0,0.0,0.02666666666666667,0.0,0.07333333333333333,0.03333333333333333,0.006666666666666667,0.0,0.06666666666666667,0.0,0.0,0.08,0.006666666666666667,0.08,0.013333333333333334,0.013333333333333334,0.006666666666666667,0.11333333333333333,1.0,0.09333333333333334,0.11333333333333333,0.006666666666666667,0.006666666666666667,0.0,0.08666666666666667,0.03333333333333333,0.0,0.0,0.06,0.0
PITX1 TARGET GENES,0.005698005698005698,0.002849002849002849,0.03418803418803419,0.019943019943019943,0.017094017094017096,0.002849002849002849,0.005698005698005698,0.008547008547008548,0.008547008547008548,0.0,0.002849002849002849,0.04843304843304843,0.0,0.06267806267806268,0.022792022792022793,0.008547008547008548,0.002849002849002849,0.03133903133903134,0.0,0.002849002849002849,0.05413105413105413,0.008547008547008548,0.05698005698005698,0.0,0.002849002849002849,0.005698005698005698,0.06837606837606838,0.039886039886039885,1.0,0.05698005698005698,0.011396011396011397,0.0,0.0,0.06267806267806268,0.03133903133903134,0.0,0.0,0.09971509971509972,0.0
TOX4 TARGET GENES,0.013215859030837005,0.013215859030837005,0.02643171806167401,0.00881057268722467,0.01762114537444934,0.0,0.01762114537444934,0.004405286343612335,0.01762114537444934,0.0,0.004405286343612335,0.07048458149779736,0.00881057268722467,0.0881057268722467,0.030837004405286344,0.004405286343612335,0.0,0.013215859030837005,0.0,0.004405286343612335,0.04405286343612335,0.01762114537444934,0.048458149779735685,0.0,0.004405286343612335,0.004405286343612335,0.07048458149779736,0.07488986784140969,0.0881057268722467,1.0,0.01762114537444934,0.004405286343612335,0.0,0.14096916299559473,0.048458149779735685,0.0,0.004405286343612335,0.039647577092511016,0.0
BCL6B TARGET GENES,0.011627906976744186,0.005813953488372093,0.03488372093023256,0.01744186046511628,0.01744186046511628,0.0,0.01744186046511628,0.0,0.040697674418604654,0.0,0.0,0.029069767441860465,0.005813953488372093,0.005813953488372093,0.023255813953488372,0.0,0.0,0.023255813953488372,0.0,0.0,0.005813953488372093,0.005813953488372093,0.029069767441860465,0.0,0.005813953488372093,0.011627906976744186,0.040697674418604654,0.005813953488372093,0.023255813953488372,0.023255813953488372,1.0,0.005813953488372093,0.0,0.05232558139534884,0.029069767441860465,0.0,0.0,0.011627906976744186,0.0
MYF6 TARGET GENES,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,1.0,0.11764705882352941,0.0,0.11764705882352941,0.0,0.0,0.0,0.0
NR4A2 TARGET GENES,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.4,0.2,0.0,0.0,0.0,0.0
ATF5 TARGET GENES,0.030107526881720432,0.012903225806451613,0.02795698924731183,0.017204301075268817,0.012903225806451613,0.004301075268817204,0.0064516129032258064,0.010752688172043012,0.012903225806451613,0.0,0.0064516129032258064,0.05806451612903226,0.002150537634408602,0.06881720430107527,0.01935483870967742,0.0,0.0,0.01935483870967742,0.0,0.0,0.05591397849462366,0.015053763440860216,0.02795698924731183,0.0,0.004301075268817204,0.008602150537634409,0.05806451612903226,0.02795698924731183,0.047311827956989246,0.06881720430107527,0.01935483870967742,0.0,0.004301075268817204,1.0,0.07956989247311828,0.002150537634408602,0.0,0.05161290322580645,0.0
HSF2 TARGET GENES,0.024096385542168676,0.01606425702811245,0.028112449799196786,0.012048192771084338,0.024096385542168676,0.0,0.004016064257028112,0.012048192771084338,0.012048192771084338,0.0,0.008032128514056224,0.04819277108433735,0.012048192771084338,0.0321285140562249,0.004016064257028112,0.0,0.0,0.0321285140562249,0.0,0.0,0.05622489959839357,0.004016064257028112,0.0642570281124498,0.0,0.0,0.0,0.04417670682730924,0.020080321285140562,0.04417670682730924,0.04417670682730924,0.020080321285140562,0.008032128514056224,0.004016064257028112,0.14859437751004015,1.0,0.0,0.0,0.10441767068273092,0.004016064257028112
HMCES TARGET GENES,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,1.0,0.18181818181818182,0.0,0.0
CASP3 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.2,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,1.0,0.0,0.0
ZNF581 TARGET GENES,0.018072289156626505,0.006024096385542169,0.015060240963855422,0.018072289156626505,0.015060240963855422,0.0,0.009036144578313253,0.006024096385542169,0.006024096385542169,0.0030120481927710845,0.006024096385542169,0.06927710843373494,0.0,0.060240963855421686,0.0030120481927710845,0.0,0.0,0.030120481927710843,0.0,0.0030120481927710845,0.04216867469879518,0.02108433734939759,0.03614457831325301,0.0,0.015060240963855422,0.0030120481927710845,0.07228915662650602,0.02710843373493976,0.10542168674698796,0.02710843373493976,0.006024096385542169,0.0,0.0,0.07228915662650602,0.0783132530120482,0.0,0.0,1.0,0.012048192771084338
ZNF302 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,1.0
