Pathway,CYTOSOLIC RIBOSOME,RIBOSOME,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,RIBOSOMAL SUBUNIT,LARGE RIBOSOMAL SUBUNIT,CELL SUBSTRATE JUNCTION,ACTIN FILAMENT BUNDLE,CELL LEADING EDGE,ADHERENS JUNCTION,I BAND,TRANSCRIPTION FACTOR AP 1 COMPLEX,"RNA POLYMERASE II TRANSCRIPTION REGULATOR
COMPLEX",CORNIFIED ENVELOPE,DESMOSOME,INTERMEDIATE FILAMENT CYTOSKELETON,KERATIN FILAMENT,SPHERICAL HIGH DENSITY LIPOPROTEIN PARTICLE,TERTIARY GRANULE,SECRETORY GRANULE MEMBRANE,SPECIFIC GRANULE,PROTEASE INHIBITOR COMPLEX,FICOLIN 1 RICH GRANULE,VESICLE LUMEN,"ENDOPLASMIC RETICULUM PROTEIN CONTAINING
COMPLEX",CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,SMALL RIBOSOMAL SUBUNIT,ALPHA BETA T CELL RECEPTOR COMPLEX,BASEMENT MEMBRANE,ENDOPLASMIC RETICULUM LUMEN,FIBRILLAR COLLAGEN TRIMER,IKAPPAB KINASE COMPLEX,NEURON TO NEURON SYNAPSE,POSTSYNAPTIC SPECIALIZATION,EXCITATORY SYNAPSE,SCHAFFER COLLATERAL CA1 SYNAPSE,LATERAL ELEMENT,MULTIVESICULAR BODY MEMBRANE,AMPHISOME,GOLGI CISTERNA MEMBRANE,9PLUS0 MOTILE CILIUM
CYTOSOLIC RIBOSOME,1.0,1.0,0.4793388429752066,0.8181818181818182,0.4793388429752066,0.33884297520661155,0.0,0.024793388429752067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01652892561983471,0.01652892561983471,0.0,0.33884297520661155,0.33884297520661155,0.0,0.0,0.0,0.0,0.0,0.1487603305785124,0.1487603305785124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBOSOME,0.5127118644067796,1.0,0.2457627118644068,0.7754237288135594,0.4745762711864407,0.18220338983050846,0.0,0.012711864406779662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00423728813559322,0.0,0.0,0.012711864406779662,0.012711864406779662,0.00423728813559322,0.17372881355932204,0.3135593220338983,0.0,0.0,0.00423728813559322,0.0,0.0,0.07627118644067797,0.07627118644067797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,1.0,1.0,1.0,1.0,1.0,0.39655172413793105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBOSOMAL SUBUNIT,0.5409836065573771,1.0,0.31693989071038253,1.0,0.6120218579234973,0.22950819672131148,0.0,0.01092896174863388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00546448087431694,0.00546448087431694,0.0,0.22404371584699453,0.40437158469945356,0.0,0.0,0.0,0.0,0.0,0.09289617486338798,0.09289617486338798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LARGE RIBOSOMAL SUBUNIT,0.5178571428571429,1.0,0.5178571428571429,1.0,1.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,0.08928571428571429,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELL SUBSTRATE JUNCTION,0.09832134292565947,0.10311750599520383,0.05515587529976019,0.10071942446043165,0.05755395683453238,1.0,0.09112709832134293,0.23741007194244604,0.11510791366906475,0.08393285371702638,0.0,0.004796163069544364,0.009592326139088728,0.009592326139088728,0.016786570743405275,0.002398081534772182,0.0,0.03357314148681055,0.07434052757793765,0.03357314148681055,0.002398081534772182,0.04316546762589928,0.05275779376498801,0.019184652278177457,0.04316546762589928,0.045563549160671464,0.0,0.026378896882494004,0.0407673860911271,0.0,0.0,0.06954436450839328,0.0671462829736211,0.011990407673860911,0.02158273381294964,0.0,0.0,0.0,0.002398081534772182,0.0
ACTIN FILAMENT BUNDLE,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.30526315789473685,0.15789473684210525,0.30526315789473685,0.0,0.0,0.0,0.010526315789473684,0.010526315789473684,0.0,0.0,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.0,0.0,0.031578947368421054,0.0,0.0,0.0,0.0,0.021052631578947368,0.0,0.0,0.0,0.06315789473684211,0.07368421052631578,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0
CELL LEADING EDGE,0.00684931506849315,0.00684931506849315,0.0,0.0045662100456621,0.0,0.22602739726027396,0.06621004566210045,1.0,0.0867579908675799,0.0319634703196347,0.0,0.0091324200913242,0.0,0.00684931506849315,0.02511415525114155,0.00228310502283105,0.0,0.01598173515981735,0.0319634703196347,0.01598173515981735,0.0,0.0228310502283105,0.0319634703196347,0.00228310502283105,0.0045662100456621,0.0045662100456621,0.0,0.01141552511415525,0.01598173515981735,0.0,0.00228310502283105,0.1004566210045662,0.1141552511415525,0.0228310502283105,0.0273972602739726,0.0,0.0,0.0,0.0045662100456621,0.0
ADHERENS JUNCTION,0.0,0.0,0.0,0.0,0.0,0.24120603015075376,0.07537688442211055,0.19095477386934673,1.0,0.06532663316582915,0.0,0.020100502512562814,0.04522613065326633,0.07035175879396985,0.03015075376884422,0.005025125628140704,0.0,0.02512562814070352,0.035175879396984924,0.03015075376884422,0.0,0.020100502512562814,0.035175879396984924,0.0,0.0,0.0,0.0,0.03015075376884422,0.02512562814070352,0.0,0.0,0.12562814070351758,0.1306532663316583,0.01507537688442211,0.035175879396984924,0.0,0.0,0.0,0.0,0.0
I BAND,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.19333333333333333,0.09333333333333334,0.08666666666666667,1.0,0.0,0.006666666666666667,0.013333333333333334,0.006666666666666667,0.06,0.013333333333333334,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.0,0.02,0.04,0.013333333333333334,0.0,0.0,0.0,0.006666666666666667,0.02,0.0,0.0,0.06,0.06,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.0,0.0
