"Feature","AUC","Direction"
"WNT_target_PCA","0.6430751990107431",">"
"CellCycle_Reg_PCA","0.6089149084164158",">"
"EMT3_PCA","0.5913324059046290",">"
"DDR_PCA","0.5855166550738079",">"
"Immune_Checkpoint_PCA","0.5744261534894506",">"
"APM_PCA","0.5684171883453120",">"
"Pan_F_TBRs_PCA","0.5676056882293842",">"
"FGFR3_related_PCA","0.5641471520210219",">"
"EMT2_PCA","0.5499265785609401",">"
"EMT1_PCA","0.5491343998763426",">"
"CD_8_T_effector_PCA","0.5459463637066230",">"
"Histones_PCA","0.5044632506376068","<"
