"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","E2F1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.666666666666667","1","6","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=4); Literature--ChIP-seq(rank=4); GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=98)","10","rank=2; score=17.662; p=2.1775e-18","rank=1; score=10.993; p=1.0155e-11","rank=2; score=7.0474; p=1.8234e-12; direction=Repressed"
"2","E2F4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.666666666666667","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=90); ARCHS4--Coexpression(rank=820); GTEx--Coexpression(rank=971)","16","rank=1; score=31.54; p=2.8864e-32","rank=3; score=6.4752; p=3.3484e-07","rank=1; score=14.673; p=9.6506e-49; direction=Repressed"
"3","MYC","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.666666666666667","3","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=63); Enrichr--Queries(rank=70); ARCHS4--Coexpression(rank=224); GTEx--Coexpression(rank=643)","165","rank=4; score=8.0558; p=8.7949e-09","rank=7; score=5.4504; p=3.5445e-06","rank=3; score=7.0265; p=2.1175e-12; direction=Repressed"
"4","E2F3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.333333333333333","4","3","ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=25); GTEx--Coexpression(rank=1247)","33","rank=9; score=5.4702; p=3.387e-06","rank=6; score=5.4702; p=3.387e-06","rank=4; score=5.1955; p=2.0416e-07; direction=Repressed"
"5","FOXM1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.333333333333332","8","6","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); Enrichr--Queries(rank=3); ARCHS4--Coexpression(rank=7)","2","rank=8; score=5.7475; p=1.7885e-06","rank=28; score=2.4119; p=0.0038735","rank=13; score=3.4345; p=0.00059355; direction=Repressed"
"6","FOXO3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.000000000000000","10","4","Literature--ChIP-seq(rank=111); Enrichr--Queries(rank=621); ARCHS4--Coexpression(rank=953); GTEx--Coexpression(rank=1158)","1252","rank=33; score=2.1188; p=0.0076074","rank=20; score=2.8918; p=0.001283","rank=10; score=3.5157; p=0.00043867; direction=Activated"
"7","TFDP1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.000000000000000","7","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=14); ReMap--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=22)","9","rank=7; score=6.0347; p=9.2322e-07","rank=24; score=2.573; p=0.0026729","rank=56; score=2.6561; p=0.0079039; direction=Repressed"
"8","IRF9","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.333333333333332","5","4","Enrichr--Queries(rank=97); GTEx--Coexpression(rank=136); ARCHS4--Coexpression(rank=157); ReMap--ChIP-seq(rank=222)","267","rank=34; score=2.0634; p=0.0086419","rank=55; score=1.4877; p=0.032529","rank=5; score=4.7947; p=1.6295e-06; direction=Activated"
"9","SMAD3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.666666666666664","12","5","Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=117); Enrichr--Queries(rank=359); GTEx--Coexpression(rank=676); ARCHS4--Coexpression(rank=842)","328","rank=12; score=3.891; p=0.00012853","rank=15; score=3.0324; p=0.00092821","rank=80; score=2.394; p=0.016665; direction=Activated"
"10","SP3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.000000000000000","27","3","GTEx--Coexpression(rank=632); Enrichr--Queries(rank=984); ARCHS4--Coexpression(rank=1380)","1167","rank=68; score=1.268; p=0.053956","rank=34; score=2.1725; p=0.0067222","rank=27; score=2.9556; p=0.0031209; direction=Activated"
