Pathway,NUCLEARRS PATHWAY,MRP PATHWAY,INTRINSIC PATHWAY,EXTRINSIC PATHWAY,AMI PATHWAY,FIBRINOLYSIS PATHWAY,PLATELETAPP PATHWAY,LECTIN PATHWAY,COMP PATHWAY,CLASSIC PATHWAY,ALTERNATIVE PATHWAY,LAIR PATHWAY,ARENRF2 PATHWAY,INTEGRIN PATHWAY,AKAP13 PATHWAY,VIP PATHWAY,NOS1 PATHWAY,TUBBY PATHWAY,AGR PATHWAY,CTLA4 PATHWAY,TCRA PATHWAY,BLYMPHOCYTE PATHWAY,ACETAMINOPHEN PATHWAY,PDZS PATHWAY,ERAD PATHWAY,FXR PATHWAY,IL17 PATHWAY,AHSP PATHWAY,NDKDYNAMIN PATHWAY,PROTEASOME PATHWAY,PRION PATHWAY
NUCLEARRS PATHWAY,1.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0
MRP PATHWAY,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTRINSIC PATHWAY,0.0,0.0,1.0,0.43478260869565216,0.6521739130434783,0.21739130434782608,0.391304347826087,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTRINSIC PATHWAY,0.0,0.0,0.7692307692307693,1.0,0.8461538461538461,0.38461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMI PATHWAY,0.0,0.0,0.75,0.55,1.0,0.35,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
FIBRINOLYSIS PATHWAY,0.0,0.0,0.4166666666666667,0.4166666666666667,0.5833333333333334,1.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLATELETAPP PATHWAY,0.0,0.0,0.6428571428571429,0.07142857142857142,0.6428571428571429,0.35714285714285715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LECTIN PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7692307692307693,0.46153846153846156,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMP PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.0,0.75,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLASSIC PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.4,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
