"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","ATF4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.800000000000001","2","4","ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=631); ARCHS4--Coexpression(rank=844); Enrichr--Queries(rank=933)","1161","rank=2; score=4.4304; p=3.7119e-05","rank=18; score=3.5274; direction=Activated","rank=10; score=365.2; p=1.3088e-05; adjP=0.00072423","rank=3; score=4.8831; p=1.3089e-05","rank=16; score=2.3074; p=0.0001341; direction=Activated"
"2","FOXO3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.600000000000001","2","4","Literature--ChIP-seq(rank=94); Enrichr--Queries(rank=330); ARCHS4--Coexpression(rank=385); GTEx--Coexpression(rank=919)","790","rank=24; score=1.9642; p=0.010858","rank=11; score=4.0856; direction=Activated","rank=51; score=184.09; p=0.0024934; adjP=0.025339","rank=10; score=2.6032; p=0.0024934","rank=2; score=6.1236; p=1.8548e-10; direction=Activated"
"3","STAT1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.000000000000000","8","6","ARCHS4--Coexpression(rank=34); ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=44); Enrichr--Queries(rank=117); Literature--ChIP-seq(rank=134); GTEx--Coexpression(rank=875)","95","rank=8; score=2.8833; p=0.0013084","rank=8; score=4.7208; direction=Activated","rank=86; score=48.373; p=0.0051565; adjP=0.031871","rank=19; score=2.2876; p=0.0051566","rank=19; score=3.2845; p=0.00017041; direction=Activated"
"4","MYC","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.399999999999999","2","6","ENCODE--ChIP-seq(rank=21); Literature--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=209); GTEx--Coexpression(rank=334); Enrichr--Queries(rank=373); ARCHS4--Coexpression(rank=1132)","643","rank=32; score=1.6529; p=0.022238","rank=2; score=5.4079; direction=Repressed","rank=44; score=110.26; p=0.0011064; adjP=0.016697","rank=65; score=1.1879; p=0.064879","rank=4; score=3.8728; p=6.7951e-06; direction=Repressed"
"5","FOS","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.399999999999999","3","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=18); Enrichr--Queries(rank=92); ARCHS4--Coexpression(rank=204)","14","rank=20; score=2.2044; p=0.0062458","rank=87; score=2.1965; direction=Activated","rank=3; score=68.676; p=0.00015287; adjP=0.013662","rank=38; score=1.6302; p=0.023433","rank=49; score=2.4248; p=0.0027584; direction=Activated"
"6","HIF1A","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","53.200000000000003","1","5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=75); ARCHS4--Coexpression(rank=132); Enrichr--Queries(rank=237); GTEx--Coexpression(rank=553)","163","rank=1; score=4.4555; p=3.5034e-05","rank=14; score=3.9514; direction=Activated","rank=123; score=30.099; p=0.0037269; adjP=0.06051","rank=105; score=0.53402; p=0.2924","rank=23; score=2.6986; p=0.00022772; direction=Activated"
"7","CREB1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.399999999999999","22","6","Literature--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=133); GTEx--Coexpression(rank=514); Enrichr--Queries(rank=1096); ARCHS4--Coexpression(rank=1503)","709","rank=38; score=1.4107; p=0.038845","rank=108; score=1.9829; direction=Activated","rank=63; score=43.385; p=0.0062457; adjP=0.035751","rank=22; score=2.2044; p=0.0062458","rank=56; score=2.045; p=0.0032372; direction=Activated"
"8","NR3C1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.400000000000006","10","6","ARCHS4--Coexpression(rank=10); ENCODE--ChIP-seq(rank=13); Enrichr--Queries(rank=43); Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=85); GTEx--Coexpression(rank=1302)","28","rank=44; score=1.39; p=0.040742","rank=164; score=1.3896; direction=Repressed","rank=18; score=29.53; p=2.7177e-05; adjP=0.0034006","rank=96; score=0.83476; p=0.1463","rank=10; score=2.8509; p=3.6534e-05; direction=Activated"
"9","FOSL1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","68.000000000000000","26","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=20); ARCHS4--Coexpression(rank=53); Enrichr--Queries(rank=131); GTEx--Coexpression(rank=1366)","116","rank=45; score=1.3494; p=0.044725","rank=154; score=1.5172; direction=Activated","rank=26; score=100.27; p=0.00053579; adjP=0.02181","rank=48; score=1.4348; p=0.036743","rank=67; score=2.2477; p=0.0045941; direction=Activated"
"10","RELA","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","71.599999999999994","2","6","ReMap--ChIP-seq(rank=13); Literature--ChIP-seq(rank=22); ENCODE--ChIP-seq(rank=26); GTEx--Coexpression(rank=427); ARCHS4--Coexpression(rank=488); Enrichr--Queries(rank=521)","197","rank=14; score=2.5157; p=0.0030499","rank=84; score=2.2125; direction=Activated","rank=7; score=100.9; p=4.3567e-06; adjP=0.0003616","rank=2; score=5.3608; p=4.357e-06","rank=251; score=1.041; p=0.073652; direction=Activated"
