"Feature","AUC","Direction"
"WNT_target","0.6469781281397328",">"
"CellCycle_Reg","0.6309799829971401",">"
"EMT3","0.6190006955715280",">"
"EMT1","0.5956410850915831",">"
"DDR","0.5846278692325528",">"
"Pan_F_TBRs","0.5791019398717051",">"
"Immune_Checkpoint","0.5742329391761344",">"
"APM","0.5714120102017152",">"
"EMT2","0.5527475075353584",">"
"CD_8_T_effector","0.5409421129917306",">"
"FGFR3_related","0.5192827884689698",">"
"Histones","0.5043666434809493","<"
