"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","FOXM1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.666666666666667","2","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=5)","2","rank=2; score=11.004; p=9.9145e-12","rank=2; score=0.0006223","rank=4; score=4.6652; direction=Repressed"
"2","E2F1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.000000000000000","2","6","GTEx--Coexpression(rank=2); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=15); ENCODE--ChIP-seq(rank=21)","4","rank=3; score=8.1156; p=7.6633e-09","rank=4; score=0.001245","rank=2; score=6.457; direction=Repressed"
"3","TFDP1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.666666666666667","6","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=11); Enrichr--Queries(rank=19)","10","rank=6; score=3.3782; p=0.00041864","rank=10; score=0.002489","rank=7; score=4.0579; direction=Repressed"
"4","E2F2","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;CollecTRI","8.666666666666666","3","3","ARCHS4--Coexpression(rank=7); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=493)","12","rank=11; score=1.8723; p=0.013419","rank=12; score=0.0043","rank=3; score=5.0562; direction=Repressed"
"5","E2F4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.666666666666668","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=76); ARCHS4--Coexpression(rank=209); GTEx--Coexpression(rank=1015)","33","rank=1; score=29.935; p=1.1618e-30","rank=33; score=0.0101","rank=1; score=11.641; direction=Repressed"
"6","E2F3","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.666666666666668","8","3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1226)","56","rank=10; score=1.9356; p=0.011599","rank=56; score=0.01658","rank=8; score=4.0385; direction=Repressed"
"7","NFYB","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.666666666666664","7","5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=31); Enrichr--Queries(rank=74); GTEx--Coexpression(rank=552)","65","rank=7; score=2.5353; p=0.0029152","rank=65; score=0.01904","rank=17; score=2.9472; direction=Repressed"
"8","MYBL2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.000000000000000","5","6","Enrichr--Queries(rank=2); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=6); ENCODE--ChIP-seq(rank=10); GTEx--Coexpression(rank=12)","5","rank=5; score=3.4378; p=0.00036496","rank=5; score=0.001425","rank=80; score=1.7071; direction=Repressed"
"9","TP53","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.333333333333336","4","5","ARCHS4--Coexpression(rank=22); Literature--ChIP-seq(rank=84); GTEx--Coexpression(rank=96); Enrichr--Queries(rank=105); ReMap--ChIP-seq(rank=125)","45","rank=4; score=4.0473; p=8.9682e-05","rank=45; score=0.01351","rank=54; score=2.1163; direction=Activated"
"10","MYC","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.000000000000000","6","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=47); Enrichr--Queries(rank=85); ARCHS4--Coexpression(rank=116); GTEx--Coexpression(rank=471)","156","rank=15; score=1.5606; p=0.027502","rank=156; score=0.04268","rank=6; score=4.3959; direction=Repressed"
