"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","NFKB1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.5","3","4","ARCHS4--Coexpression(rank=16); ReMap--ChIP-seq(rank=229); Enrichr--Queries(rank=244); GTEx--Coexpression(rank=1185)","36","rank=4; score=5.0246; p=9.4488e-06","rank=3; score=7.4134; p=3.8602e-08"
"2","RELA","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.0","2","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=476); Enrichr--Queries(rank=568); ARCHS4--Coexpression(rank=1122)","165","rank=6; score=4.9014; p=1.2549e-05","rank=2; score=7.4647; p=3.4301e-08"
"3","SP3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.0","5","3","GTEx--Coexpression(rank=368); ARCHS4--Coexpression(rank=935); Enrichr--Queries(rank=1202)","756","rank=5; score=4.987; p=1.0304e-05","rank=7; score=3.6662; p=0.00021567"
"4","ATF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","1","4","ReMap--ChIP-seq(rank=84); GTEx--Coexpression(rank=739); Enrichr--Queries(rank=1006); ARCHS4--Coexpression(rank=1492)","893","rank=12; score=3.7913; p=0.00016171","rank=1; score=8.0554; p=8.8023e-09"
"5","NR1H3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","4","5","Literature--ChIP-seq(rank=33); GTEx--Coexpression(rank=152); ReMap--ChIP-seq(rank=223); Enrichr--Queries(rank=250); ARCHS4--Coexpression(rank=486)","352","rank=9; score=4.3318; p=4.6581e-05","rank=4; score=4.2423; p=5.7243e-05"
"6","ETS1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.0","5","6","ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=93); Literature--ChIP-seq(rank=147); GTEx--Coexpression(rank=151); Enrichr--Queries(rank=194)","211","rank=13; score=3.5; p=0.00031625","rank=5; score=4.0416; p=9.0861e-05"
"7","HIF1A","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","1","5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=58); ARCHS4--Coexpression(rank=86); Enrichr--Queries(rank=504); GTEx--Coexpression(rank=883)","94","rank=1; score=8.7884; p=1.6277e-09","rank=20; score=2.4031; p=0.0039526"
"8","FOXO3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","2","4","Literature--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=143); GTEx--Coexpression(rank=208); Enrichr--Queries(rank=419)","333","rank=2; score=6.4887; p=3.2459e-07","rank=19; score=2.4066; p=0.0039212"
"9","JUN","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.5","11","6","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=12); GTEx--Coexpression(rank=13); ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=19)","30","rank=14; score=3.444; p=0.00035972","rank=11; score=3.4056; p=0.00039302"
"10","ERG","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.5","6","5","GTEx--Coexpression(rank=89); Literature--ChIP-seq(rank=135); ReMap--ChIP-seq(rank=275); Enrichr--Queries(rank=288); ARCHS4--Coexpression(rank=412)","204","rank=21; score=2.9409; p=0.0011458","rank=6; score=3.959; p=0.00010989"
