Pathway,MEK UP.V1 UP,RAF UP.V1 UP,LTE2 UP.V1 UP,ATF2 UP.V1 DN,ATF2 S UP.V1 DN,PRC2 EZH2 UP.V1 UP,BMI1 DN.V1 UP,MEL18 DN.V1 UP,MTOR UP.N4.V1 UP,RB DN.V1 DN,E2F1 UP.V1 UP,PDGF ERK DN.V1 DN,PRC2 EED DN.V1 DN,RPS14 DN.V1 DN,HOXA9 DN.V1 DN,ESC V6.5 UP EARLY.V1 UP,CAMP UP.V1 DN,PDGF ERK DN.V1 UP,MYC UP.V1 UP,CYCLIN D1 KE .V1 UP,TBK1.DF DN,TBK1.DN.48HRS DN,CAHOY ASTROGLIAL,CRX DN.V1 DN,ESC V6.5 UP EARLY.V1 DN,PGF UP.V1 UP,BCAT BILD ET AL DN,SINGH KRAS DEPENDENCY SIGNATURE,KRAS.50 UP.V1 UP,KRAS.600.LUNG.BREAST UP.V1 UP,P53 DN.V1 UP
MEK UP.V1 UP,1.0,0.24615384615384617,0.2358974358974359,0.05641025641025641,0.07179487179487179,0.07179487179487179,0.035897435897435895,0.05641025641025641,0.02564102564102564,0.020512820512820513,0.015384615384615385,0.005128205128205128,0.03076923076923077,0.02564102564102564,0.041025641025641026,0.015384615384615385,0.03076923076923077,0.010256410256410256,0.010256410256410256,0.041025641025641026,0.046153846153846156,0.005128205128205128,0.005128205128205128,0.020512820512820513,0.05641025641025641,0.0,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.06666666666666667
RAF UP.V1 UP,0.24870466321243523,1.0,0.16580310880829016,0.05181347150259067,0.046632124352331605,0.03626943005181347,0.046632124352331605,0.025906735751295335,0.025906735751295335,0.025906735751295335,0.015544041450777202,0.010362694300518135,0.02072538860103627,0.02072538860103627,0.03626943005181347,0.010362694300518135,0.015544041450777202,0.015544041450777202,0.010362694300518135,0.015544041450777202,0.046632124352331605,0.0051813471502590676,0.010362694300518135,0.02072538860103627,0.031088082901554404,0.025906735751295335,0.0051813471502590676,0.0,0.015544041450777202,0.02072538860103627,0.07772020725388601
LTE2 UP.V1 UP,0.24468085106382978,0.1702127659574468,1.0,0.047872340425531915,0.047872340425531915,0.02127659574468085,0.015957446808510637,0.015957446808510637,0.02127659574468085,0.026595744680851064,0.010638297872340425,0.015957446808510637,0.0,0.015957446808510637,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.005319148936170213,0.010638297872340425,0.047872340425531915,0.005319148936170213,0.005319148936170213,0.0,0.010638297872340425,0.010638297872340425,0.015957446808510637,0.005319148936170213,0.0,0.010638297872340425,0.03723404255319149
ATF2 UP.V1 DN,0.05945945945945946,0.05405405405405406,0.04864864864864865,1.0,0.4972972972972973,0.04864864864864865,0.010810810810810811,0.032432432432432434,0.03783783783783784,0.010810810810810811,0.016216216216216217,0.005405405405405406,0.05405405405405406,0.02702702702702703,0.032432432432432434,0.021621621621621623,0.016216216216216217,0.016216216216216217,0.02702702702702703,0.005405405405405406,0.032432432432432434,0.0,0.02702702702702703,0.010810810810810811,0.021621621621621623,0.05405405405405406,0.005405405405405406,0.0,0.005405405405405406,0.032432432432432434,0.07027027027027027
ATF2 S UP.V1 DN,0.0748663101604278,0.0481283422459893,0.0481283422459893,0.4919786096256685,1.0,0.0374331550802139,0.0213903743315508,0.0213903743315508,0.026737967914438502,0.0106951871657754,0.0053475935828877,0.0053475935828877,0.0481283422459893,0.026737967914438502,0.0213903743315508,0.0106951871657754,0.026737967914438502,0.0213903743315508,0.016042780748663103,0.03208556149732621,0.026737967914438502,0.0053475935828877,0.016042780748663103,0.026737967914438502,0.026737967914438502,0.026737967914438502,0.0053475935828877,0.0,0.0213903743315508,0.053475935828877004,0.0374331550802139
PRC2 EZH2 UP.V1 UP,0.07291666666666667,0.036458333333333336,0.020833333333333332,0.046875,0.036458333333333336,1.0,0.06770833333333333,0.07291666666666667,0.026041666666666668,0.020833333333333332,0.005208333333333333,0.020833333333333332,0.005208333333333333,0.010416666666666666,0.020833333333333332,0.005208333333333333,0.026041666666666668,0.036458333333333336,0.015625,0.015625,0.046875,0.005208333333333333,0.015625,0.005208333333333333,0.020833333333333332,0.03125,0.005208333333333333,0.0,0.026041666666666668,0.08333333333333333,0.03125
BMI1 DN.V1 UP,0.047619047619047616,0.061224489795918366,0.02040816326530612,0.013605442176870748,0.027210884353741496,0.08843537414965986,1.0,0.6054421768707483,0.04081632653061224,0.061224489795918366,0.006802721088435374,0.02040816326530612,0.04081632653061224,0.027210884353741496,0.034013605442176874,0.006802721088435374,0.006802721088435374,0.013605442176870748,0.006802721088435374,0.034013605442176874,0.027210884353741496,0.006802721088435374,0.02040816326530612,0.013605442176870748,0.05442176870748299,0.0,0.006802721088435374,0.0,0.0,0.07482993197278912,0.061224489795918366
MEL18 DN.V1 UP,0.07801418439716312,0.03546099290780142,0.02127659574468085,0.0425531914893617,0.028368794326241134,0.09929078014184398,0.6312056737588653,1.0,0.07801418439716312,0.05673758865248227,0.014184397163120567,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.05673758865248227,0.0070921985815602835,0.028368794326241134,0.014184397163120567,0.02127659574468085,0.014184397163120567,0.014184397163120567,0.0070921985815602835,0.0070921985815602835,0.014184397163120567,0.028368794326241134,0.0070921985815602835,0.0070921985815602835,0.0,0.0070921985815602835,0.10638297872340426,0.0425531914893617
MTOR UP.N4.V1 UP,0.025510204081632654,0.025510204081632654,0.02040816326530612,0.03571428571428571,0.025510204081632654,0.025510204081632654,0.030612244897959183,0.05612244897959184,1.0,0.03571428571428571,0.00510204081632653,0.030612244897959183,0.01020408163265306,0.08163265306122448,0.0663265306122449,0.0,0.00510204081632653,0.01020408163265306,0.030612244897959183,0.03571428571428571,0.02040816326530612,0.02040816326530612,0.015306122448979591,0.015306122448979591,0.015306122448979591,0.03571428571428571,0.0,0.0,0.0,0.01020408163265306,0.02040816326530612
RB DN.V1 DN,0.032520325203252036,0.04065040650406504,0.04065040650406504,0.016260162601626018,0.016260162601626018,0.032520325203252036,0.07317073170731707,0.06504065040650407,0.056910569105691054,1.0,0.016260162601626018,0.032520325203252036,0.0,0.008130081300813009,0.04878048780487805,0.008130081300813009,0.032520325203252036,0.024390243902439025,0.0,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.016260162601626018,0.04878048780487805,0.056910569105691054,0.0,0.0,0.008130081300813009,0.008130081300813009,0.032520325203252036,0.016260162601626018
E2F1 UP.V1 UP,0.015957446808510637,0.015957446808510637,0.010638297872340425,0.015957446808510637,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.010638297872340425,0.005319148936170213,0.010638297872340425,1.0,0.026595744680851064,0.031914893617021274,0.05319148936170213,0.03723404255319149,0.026595744680851064,0.010638297872340425,0.0,0.010638297872340425,0.026595744680851064,0.02127659574468085,0.010638297872340425,0.005319148936170213,0.005319148936170213,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.005319148936170213
PDGF ERK DN.V1 DN,0.006711409395973154,0.013422818791946308,0.020134228187919462,0.006711409395973154,0.006711409395973154,0.026845637583892617,0.020134228187919462,0.020134228187919462,0.040268456375838924,0.026845637583892617,0.03355704697986577,1.0,0.0,0.013422818791946308,0.026845637583892617,0.013422818791946308,0.006711409395973154,0.0,0.026845637583892617,0.013422818791946308,0.026845637583892617,0.0,0.006711409395973154,0.03355704697986577,0.020134228187919462,0.040268456375838924,0.0,0.0,0.0,0.006711409395973154,0.040268456375838924
PRC2 EED DN.V1 DN,0.031088082901554404,0.02072538860103627,0.0,0.05181347150259067,0.046632124352331605,0.0051813471502590676,0.031088082901554404,0.031088082901554404,0.010362694300518135,0.0,0.031088082901554404,0.0,1.0,0.07253886010362694,0.06735751295336788,0.025906735751295335,0.025906735751295335,0.0051813471502590676,0.0051813471502590676,0.031088082901554404,0.0051813471502590676,0.0,0.010362694300518135,0.010362694300518135,0.015544041450777202,0.0,0.0051813471502590676,0.0,0.0,0.03626943005181347,0.010362694300518135
RPS14 DN.V1 DN,0.026881720430107527,0.021505376344086023,0.016129032258064516,0.026881720430107527,0.026881720430107527,0.010752688172043012,0.021505376344086023,0.016129032258064516,0.08602150537634409,0.005376344086021506,0.053763440860215055,0.010752688172043012,0.07526881720430108,1.0,0.08602150537634409,0.016129032258064516,0.021505376344086023,0.010752688172043012,0.053763440860215055,0.026881720430107527,0.026881720430107527,0.0,0.005376344086021506,0.021505376344086023,0.010752688172043012,0.021505376344086023,0.0,0.0,0.0,0.016129032258064516,0.016129032258064516
HOXA9 DN.V1 DN,0.042105263157894736,0.03684210526315789,0.010526315789473684,0.031578947368421054,0.021052631578947368,0.021052631578947368,0.02631578947368421,0.042105263157894736,0.06842105263157895,0.031578947368421054,0.03684210526315789,0.021052631578947368,0.06842105263157895,0.08421052631578947,1.0,0.015789473684210527,0.010526315789473684,0.015789473684210527,0.021052631578947368,0.015789473684210527,0.02631578947368421,0.010526315789473684,0.0,0.015789473684210527,0.005263157894736842,0.0,0.010526315789473684,0.0,0.0,0.010526315789473684,0.015789473684210527
ESC V6.5 UP EARLY.V1 UP,0.018072289156626505,0.012048192771084338,0.012048192771084338,0.024096385542168676,0.012048192771084338,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.0,0.006024096385542169,0.030120481927710843,0.012048192771084338,0.030120481927710843,0.018072289156626505,0.018072289156626505,1.0,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.018072289156626505,0.018072289156626505,0.0,0.0,0.012048192771084338,0.0,0.006024096385542169,0.006024096385542169,0.0,0.006024096385542169,0.030120481927710843,0.018072289156626505
CAMP UP.V1 DN,0.03015075376884422,0.01507537688442211,0.010050251256281407,0.01507537688442211,0.02512562814070352,0.02512562814070352,0.005025125628140704,0.020100502512562814,0.005025125628140704,0.020100502512562814,0.010050251256281407,0.005025125628140704,0.02512562814070352,0.020100502512562814,0.010050251256281407,0.010050251256281407,1.0,0.02512562814070352,0.01507537688442211,0.01507537688442211,0.01507537688442211,0.005025125628140704,0.010050251256281407,0.03015075376884422,0.010050251256281407,0.005025125628140704,0.005025125628140704,0.0,0.010050251256281407,0.04020100502512563,0.01507537688442211
PDGF ERK DN.V1 UP,0.013793103448275862,0.020689655172413793,0.013793103448275862,0.020689655172413793,0.027586206896551724,0.04827586206896552,0.013793103448275862,0.013793103448275862,0.013793103448275862,0.020689655172413793,0.0,0.0,0.006896551724137931,0.013793103448275862,0.020689655172413793,0.013793103448275862,0.034482758620689655,1.0,0.027586206896551724,0.020689655172413793,0.041379310344827586,0.0,0.0,0.0,0.041379310344827586,0.013793103448275862,0.0,0.006896551724137931,0.006896551724137931,0.020689655172413793,0.006896551724137931
MYC UP.V1 UP,0.011049723756906077,0.011049723756906077,0.0055248618784530384,0.027624309392265192,0.016574585635359115,0.016574585635359115,0.0055248618784530384,0.016574585635359115,0.03314917127071823,0.0,0.011049723756906077,0.022099447513812154,0.0055248618784530384,0.055248618784530384,0.022099447513812154,0.011049723756906077,0.016574585635359115,0.022099447513812154,1.0,0.022099447513812154,0.016574585635359115,0.0,0.0,0.0055248618784530384,0.011049723756906077,0.0055248618784530384,0.0,0.0,0.0,0.011049723756906077,0.0055248618784530384
CYCLIN D1 KE .V1 UP,0.0425531914893617,0.015957446808510637,0.010638297872340425,0.005319148936170213,0.031914893617021274,0.015957446808510637,0.026595744680851064,0.010638297872340425,0.03723404255319149,0.005319148936170213,0.026595744680851064,0.010638297872340425,0.031914893617021274,0.026595744680851064,0.015957446808510637,0.015957446808510637,0.015957446808510637,0.015957446808510637,0.02127659574468085,1.0,0.02127659574468085,0.015957446808510637,0.010638297872340425,0.015957446808510637,0.015957446808510637,0.015957446808510637,0.0,0.0,0.0,0.026595744680851064,0.047872340425531915
TBK1.DF DN,0.03146853146853147,0.03146853146853147,0.03146853146853147,0.02097902097902098,0.017482517482517484,0.03146853146853147,0.013986013986013986,0.006993006993006993,0.013986013986013986,0.0034965034965034965,0.013986013986013986,0.013986013986013986,0.0034965034965034965,0.017482517482517484,0.017482517482517484,0.01048951048951049,0.01048951048951049,0.02097902097902098,0.01048951048951049,0.013986013986013986,1.0,0.03146853146853147,0.0,0.0034965034965034965,0.01048951048951049,0.055944055944055944,0.01048951048951049,0.0034965034965034965,0.01048951048951049,0.013986013986013986,0.03146853146853147
TBK1.DN.48HRS DN,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.08,0.02,0.04,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.06,0.18,1.0,0.0,0.02,0.02,0.04,0.0,0.0,0.0,0.02,0.02
CAHOY ASTROGLIAL,0.01,0.02,0.01,0.05,0.03,0.03,0.03,0.01,0.03,0.02,0.01,0.01,0.02,0.01,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,1.0,0.04,0.08,0.02,0.0,0.0,0.01,0.03,0.02
CRX DN.V1 DN,0.030303030303030304,0.030303030303030304,0.0,0.015151515151515152,0.03787878787878788,0.007575757575757576,0.015151515151515152,0.015151515151515152,0.022727272727272728,0.045454545454545456,0.007575757575757576,0.03787878787878788,0.015151515151515152,0.030303030303030304,0.022727272727272728,0.015151515151515152,0.045454545454545456,0.0,0.007575757575757576,0.022727272727272728,0.007575757575757576,0.007575757575757576,0.030303030303030304,1.0,0.10606060606060606,0.007575757575757576,0.0,0.007575757575757576,0.007575757575757576,0.03787878787878788,0.015151515151515152
ESC V6.5 UP EARLY.V1 DN,0.06790123456790123,0.037037037037037035,0.012345679012345678,0.024691358024691357,0.030864197530864196,0.024691358024691357,0.04938271604938271,0.024691358024691357,0.018518518518518517,0.043209876543209874,0.0,0.018518518518518517,0.018518518518518517,0.012345679012345678,0.006172839506172839,0.0,0.012345679012345678,0.037037037037037035,0.012345679012345678,0.018518518518518517,0.018518518518518517,0.006172839506172839,0.04938271604938271,0.08641975308641975,1.0,0.0,0.0,0.006172839506172839,0.0,0.037037037037037035,0.09876543209876543
PGF UP.V1 UP,0.0,0.02631578947368421,0.010526315789473684,0.05263157894736842,0.02631578947368421,0.031578947368421054,0.0,0.005263157894736842,0.03684210526315789,0.0,0.010526315789473684,0.031578947368421054,0.0,0.021052631578947368,0.0,0.005263157894736842,0.005263157894736842,0.010526315789473684,0.005263157894736842,0.015789473684210527,0.08421052631578947,0.010526315789473684,0.010526315789473684,0.005263157894736842,0.0,1.0,0.010526315789473684,0.0,0.015789473684210527,0.031578947368421054,0.042105263157894736
BCAT BILD ET AL DN,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.043478260869565216,1.0,0.0,0.0,0.021739130434782608,0.0
SINGH KRAS DEPENDENCY SIGNATURE,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0,1.0,0.05,0.05,0.05
KRAS.50 UP.V1 UP,0.041666666666666664,0.0625,0.0,0.020833333333333332,0.08333333333333333,0.10416666666666667,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.0,0.0,0.0625,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0625,0.0,0.020833333333333332,1.0,0.6875,0.0625
KRAS.600.LUNG.BREAST UP.V1 UP,0.0035714285714285713,0.014285714285714285,0.007142857142857143,0.02142857142857143,0.03571428571428571,0.05714285714285714,0.039285714285714285,0.05357142857142857,0.007142857142857143,0.014285714285714285,0.0,0.0035714285714285713,0.025,0.010714285714285714,0.007142857142857143,0.017857142857142856,0.02857142857142857,0.010714285714285714,0.007142857142857143,0.017857142857142856,0.014285714285714285,0.0035714285714285713,0.010714285714285714,0.017857142857142856,0.02142857142857143,0.02142857142857143,0.0035714285714285713,0.0035714285714285713,0.11785714285714285,1.0,0.03571428571428571
P53 DN.V1 UP,0.06701030927835051,0.07731958762886598,0.03608247422680412,0.06701030927835051,0.03608247422680412,0.030927835051546393,0.04639175257731959,0.030927835051546393,0.020618556701030927,0.010309278350515464,0.005154639175257732,0.030927835051546393,0.010309278350515464,0.015463917525773196,0.015463917525773196,0.015463917525773196,0.015463917525773196,0.005154639175257732,0.005154639175257732,0.04639175257731959,0.04639175257731959,0.005154639175257732,0.010309278350515464,0.010309278350515464,0.08247422680412371,0.041237113402061855,0.0,0.005154639175257732,0.015463917525773196,0.05154639175257732,1.0
