Pathway,RIBOSOME,CYTOSOLIC RIBOSOME,RIBOSOMAL SUBUNIT,ATPASE COMPLEX,SWI SNF SUPERFAMILY TYPE COMPLEX,ISWI TYPE COMPLEX,PCG PROTEIN COMPLEX,INTEGRIN COMPLEX,LEWY BODY,PRESYNAPTIC CYTOSOL,CUL2 RING UBIQUITIN LIGASE COMPLEX,UBIQUITIN LIGASE COMPLEX,CULLIN RING UBIQUITIN LIGASE COMPLEX,ELONGIN COMPLEX,CYTOSOLIC 4FE 4S ASSEMBLY TARGETING COMPLEX,IRON SULFUR CLUSTER ASSEMBLY COMPLEX,CENTRIOLAR SUBDISTAL APPENDAGE,PERICENTRIOLAR MATERIAL,PROTON TRANSPORTING TWO SECTOR ATPASE COMPLEX,"PROTON TRANSPORTING TWO SECTOR ATPASE COMPLEX
CATALYTIC DOMAIN",PROTON TRANSPORTING V TYPE ATPASE COMPLEX,"RNA POLYMERASE TRANSCRIPTION FACTOR SL1
COMPLEX",MICROBODY MEMBRANE,CCR4 NOT CORE COMPLEX,DNA REPAIR COMPLEX,GLYCOPROTEIN IB IX V COMPLEX,AXONEMAL NEXIN LINK,CYTOPLASMIC REGION,SPERM PLASMA MEMBRANE,PHOSPHATIDYLINOSITOL 3 KINASE COMPLEX CLASS I,PHOSPHATIDYLINOSITOL 3 KINASE COMPLEX,CIS GOLGI NETWORK,"INSULIN LIKE GROWTH FACTOR BINDING PROTEIN
COMPLEX",CALCITONIN FAMILY RECEPTOR COMPLEX,OOPLASM,T TUBULE,COSTAMERE,NADPH OXIDASE COMPLEX,PRESYNAPTIC ACTIVE ZONE CYTOPLASMIC COMPONENT,THO COMPLEX
RIBOSOME,1.0,0.5127118644067796,0.7754237288135594,0.0,0.0,0.0,0.0,0.0,0.00423728813559322,0.0,0.0,0.00423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00423728813559322,0.0,0.0,0.0
CYTOSOLIC RIBOSOME,1.0,1.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBOSOMAL SUBUNIT,1.0,0.5409836065573771,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATPASE COMPLEX,0.0,0.0,0.0,1.0,0.6381578947368421,0.09868421052631579,0.03289473684210526,0.0,0.0,0.0,0.0,0.019736842105263157,0.0,0.0,0.0,0.0,0.0,0.0,0.18421052631578946,0.07894736842105263,0.18421052631578946,0.0,0.019736842105263157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWI SNF SUPERFAMILY TYPE COMPLEX,0.0,0.0,0.0,1.0,1.0,0.15463917525773196,0.05154639175257732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISWI TYPE COMPLEX,0.0,0.0,0.0,1.0,1.0,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCG PROTEIN COMPLEX,0.0,0.0,0.0,0.0847457627118644,0.0847457627118644,0.03389830508474576,1.0,0.0,0.0,0.0,0.0,0.559322033898305,0.03389830508474576,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTEGRIN COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEWY BODY,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRESYNAPTIC CYTOSOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,1.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
CUL2 RING UBIQUITIN LIGASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,1.0,1.0,1.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBIQUITIN LIGASE COMPLEX,0.0024154589371980675,0.0024154589371980675,0.0,0.007246376811594203,0.0,0.0,0.07971014492753623,0.0,0.00966183574879227,0.0024154589371980675,0.11835748792270531,1.0,0.6618357487922706,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00966183574879227,0.0,0.004830917874396135,0.0,0.0024154589371980675,0.00966183574879227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CULLIN RING UBIQUITIN LIGASE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.010948905109489052,0.0036496350364963502,0.17883211678832117,1.0,1.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036496350364963502,0.010948905109489052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELONGIN COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
