Pathway,TBK1.DF DN,VEGF A UP.V1 DN,PGF UP.V1 UP,MTOR UP.N4.V1 DN,JAK2 DN.V1 DN,TBK1.DF UP,GLI1 UP.V1 DN,MEK UP.V1 DN,ERBB2 UP.V1 DN,EGFR UP.V1 DN,RAF UP.V1 DN,NRL DN.V1 DN,KRAS.KIDNEY UP.V1 UP,CAMP UP.V1 DN,TGFB UP.V1 UP,ESC J1 UP LATE.V1 UP,EIF4E DN,ATF2 UP.V1 DN,SRC UP.V1 UP,MYC UP.V1 UP,RPS14 DN.V1 DN,PGF UP.V1 DN,PRC2 SUZ12 UP.V1 DN,PRC2 EZH2 UP.V1 DN,PRC2 EED DN.V1 DN,CSR EARLY UP.V1 DN,KRAS.KIDNEY UP.V1 DN,ALK DN.V1 DN,IL15 UP.V1 UP,IL21 UP.V1 UP,ATM DN.V1 UP,P53 DN.V2 UP,BCAT BILD ET AL DN,EGFR UP.V1 UP,LTE2 UP.V1 UP
TBK1.DF DN,1.0,0.05244755244755245,0.055944055944055944,0.03496503496503497,0.006993006993006993,0.0,0.0034965034965034965,0.045454545454545456,0.05944055944055944,0.045454545454545456,0.04195804195804196,0.006993006993006993,0.0034965034965034965,0.01048951048951049,0.04195804195804196,0.024475524475524476,0.0034965034965034965,0.02097902097902098,0.0034965034965034965,0.01048951048951049,0.017482517482517484,0.0,0.006993006993006993,0.02097902097902098,0.0034965034965034965,0.013986013986013986,0.0,0.006993006993006993,0.01048951048951049,0.006993006993006993,0.0,0.01048951048951049,0.01048951048951049,0.045454545454545456,0.03146853146853147
VEGF A UP.V1 DN,0.07772020725388601,1.0,0.26424870466321243,0.02072538860103627,0.010362694300518135,0.010362694300518135,0.0,0.010362694300518135,0.07772020725388601,0.02072538860103627,0.025906735751295335,0.010362694300518135,0.010362694300518135,0.02072538860103627,0.010362694300518135,0.0051813471502590676,0.010362694300518135,0.0051813471502590676,0.0,0.010362694300518135,0.046632124352331605,0.0,0.010362694300518135,0.06735751295336788,0.03626943005181347,0.0,0.015544041450777202,0.0,0.03626943005181347,0.015544041450777202,0.015544041450777202,0.0,0.015544041450777202,0.046632124352331605,0.031088082901554404
PGF UP.V1 UP,0.08421052631578947,0.26842105263157895,1.0,0.015789473684210527,0.010526315789473684,0.031578947368421054,0.005263157894736842,0.031578947368421054,0.08421052631578947,0.042105263157894736,0.010526315789473684,0.005263157894736842,0.010526315789473684,0.005263157894736842,0.005263157894736842,0.010526315789473684,0.02631578947368421,0.05263157894736842,0.0,0.005263157894736842,0.021052631578947368,0.0,0.02631578947368421,0.010526315789473684,0.0,0.005263157894736842,0.0,0.0,0.010526315789473684,0.010526315789473684,0.015789473684210527,0.0,0.010526315789473684,0.03684210526315789,0.010526315789473684
MTOR UP.N4.V1 DN,0.05434782608695652,0.021739130434782608,0.016304347826086956,1.0,0.05434782608695652,0.03260869565217391,0.005434782608695652,0.03804347826086957,0.016304347826086956,0.059782608695652176,0.021739130434782608,0.0,0.005434782608695652,0.005434782608695652,0.016304347826086956,0.0,0.0,0.010869565217391304,0.0,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.021739130434782608,0.021739130434782608,0.0,0.021739130434782608,0.010869565217391304,0.005434782608695652,0.005434782608695652,0.0,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.010869565217391304
JAK2 DN.V1 DN,0.013605442176870748,0.013605442176870748,0.013605442176870748,0.06802721088435375,1.0,0.027210884353741496,0.0,0.027210884353741496,0.027210884353741496,0.027210884353741496,0.013605442176870748,0.006802721088435374,0.027210884353741496,0.02040816326530612,0.013605442176870748,0.006802721088435374,0.0,0.02040816326530612,0.013605442176870748,0.006802721088435374,0.006802721088435374,0.0,0.006802721088435374,0.013605442176870748,0.006802721088435374,0.02040816326530612,0.013605442176870748,0.006802721088435374,0.006802721088435374,0.02040816326530612,0.013605442176870748,0.006802721088435374,0.0,0.0,0.0
TBK1.DF UP,0.0,0.006968641114982578,0.020905923344947737,0.020905923344947737,0.013937282229965157,1.0,0.006968641114982578,0.04529616724738676,0.03832752613240418,0.0313588850174216,0.04529616724738676,0.017421602787456445,0.003484320557491289,0.027874564459930314,0.03484320557491289,0.020905923344947737,0.020905923344947737,0.027874564459930314,0.0,0.003484320557491289,0.006968641114982578,0.006968641114982578,0.010452961672473868,0.010452961672473868,0.013937282229965157,0.006968641114982578,0.0,0.006968641114982578,0.024390243902439025,0.013937282229965157,0.010452961672473868,0.017421602787456445,0.013937282229965157,0.059233449477351915,0.06620209059233449
GLI1 UP.V1 DN,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,1.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941
MEK UP.V1 DN,0.06701030927835051,0.010309278350515464,0.030927835051546393,0.03608247422680412,0.020618556701030927,0.06701030927835051,0.0,1.0,0.5051546391752577,0.4639175257731959,0.31443298969072164,0.020618556701030927,0.015463917525773196,0.02577319587628866,0.030927835051546393,0.015463917525773196,0.010309278350515464,0.02577319587628866,0.010309278350515464,0.010309278350515464,0.005154639175257732,0.0,0.0,0.015463917525773196,0.0,0.010309278350515464,0.010309278350515464,0.030927835051546393,0.010309278350515464,0.0,0.005154639175257732,0.0,0.005154639175257732,0.020618556701030927,0.030927835051546393
ERBB2 UP.V1 DN,0.08629441624365482,0.07614213197969544,0.08121827411167512,0.015228426395939087,0.02030456852791878,0.05583756345177665,0.005076142131979695,0.49746192893401014,1.0,0.3401015228426396,0.2436548223350254,0.015228426395939087,0.015228426395939087,0.030456852791878174,0.030456852791878174,0.01015228426395939,0.01015228426395939,0.01015228426395939,0.005076142131979695,0.030456852791878174,0.03553299492385787,0.0,0.005076142131979695,0.03553299492385787,0.0,0.015228426395939087,0.01015228426395939,0.030456852791878174,0.015228426395939087,0.0,0.005076142131979695,0.0,0.015228426395939087,0.01015228426395939,0.01015228426395939
EGFR UP.V1 DN,0.0663265306122449,0.02040816326530612,0.04081632653061224,0.05612244897959184,0.02040816326530612,0.04591836734693878,0.0,0.45918367346938777,0.34183673469387754,1.0,0.336734693877551,0.025510204081632654,0.025510204081632654,0.02040816326530612,0.030612244897959183,0.015306122448979591,0.0,0.025510204081632654,0.00510204081632653,0.01020408163265306,0.025510204081632654,0.00510204081632653,0.00510204081632653,0.02040816326530612,0.0,0.015306122448979591,0.01020408163265306,0.025510204081632654,0.02040816326530612,0.00510204081632653,0.00510204081632653,0.0,0.0,0.0,0.00510204081632653
RAF UP.V1 DN,0.06217616580310881,0.025906735751295335,0.010362694300518135,0.02072538860103627,0.010362694300518135,0.06735751295336788,0.0,0.3160621761658031,0.24870466321243523,0.34196891191709844,1.0,0.015544041450777202,0.015544041450777202,0.031088082901554404,0.031088082901554404,0.025906735751295335,0.010362694300518135,0.05699481865284974,0.010362694300518135,0.010362694300518135,0.015544041450777202,0.025906735751295335,0.0051813471502590676,0.010362694300518135,0.0,0.015544041450777202,0.0,0.010362694300518135,0.025906735751295335,0.0,0.015544041450777202,0.0,0.0,0.031088082901554404,0.025906735751295335
NRL DN.V1 DN,0.015151515151515152,0.015151515151515152,0.007575757575757576,0.0,0.007575757575757576,0.03787878787878788,0.0,0.030303030303030304,0.022727272727272728,0.03787878787878788,0.022727272727272728,1.0,0.022727272727272728,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.0,0.022727272727272728,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.015151515151515152,0.007575757575757576,0.007575757575757576,0.0,0.015151515151515152,0.022727272727272728,0.0,0.007575757575757576,0.007575757575757576,0.0,0.022727272727272728,0.0
