"GeneID","Symbol","Ensembl","Entrez"
"ENSG00000160179","ABCG1","ENSG00000160179","9619"
"ENSG00000168003","SLC3A2","ENSG00000168003","6520"
"ENSG00000051108","HERPUD1","ENSG00000051108","9709"
"ENSG00000165376","CLDN2","ENSG00000165376","9075"
"ENSG00000196878","LAMB3","ENSG00000196878","3914"
"ENSG00000187837","H1-2","ENSG00000187837","3006"
"ENSG00000006652","IFRD1","ENSG00000006652","3475"
"ENSG00000086548","CEACAM6","ENSG00000086548","4680"
"ENSG00000107738","VSIR","ENSG00000107738","64115"
"ENSG00000163584","RPL22L1","ENSG00000163584","200916"
"ENSG00000282937","PRSS22","ENSG00000282937","64063"
"ENSG00000185269","NOTUM","ENSG00000185269","147111"
"ENSG00000011028","MRC2","ENSG00000011028","9902"
"ENSG00000285069","SESN2","ENSG00000285069","83667"
"ENSG00000162772","ATF3","ENSG00000162772","467"
"ENSG00000174844","DNAH12","ENSG00000174844","201625"
"ENSG00000131016","AKAP12","ENSG00000131016","9590"
"ENSG00000136235","GPNMB","ENSG00000136235","10457"
"ENSG00000175197","DDIT3","ENSG00000175197","1649"
"ENSG00000176046","NUPR1","ENSG00000176046","26471"
"ENSG00000124107","SLPI","ENSG00000124107","6590"
"ENSG00000105499","PLA2G4C","ENSG00000105499","8605"
"ENSG00000184678","H2BC21","ENSG00000184678","8349"
"ENSG00000125775","SDCBP2","ENSG00000125775","27111"
"ENSG00000185950","IRS2","ENSG00000185950","8660"
"ENSG00000225553","PHF1","ENSG00000225553","5252"
"ENSG00000120885","CLU","ENSG00000120885","1191"
"ENSG00000141540","TTYH2","ENSG00000141540","94015"
"ENSG00000183696","UPP1","ENSG00000183696","7378"
"ENSG00000164867","NOS3","ENSG00000164867","4846"
"ENSG00000211445","GPX3","ENSG00000211445","2878"
"ENSG00000197409","H3C4","ENSG00000197409","8351"
"ENSG00000102879","CORO1A","ENSG00000102879","11151"
"ENSG00000140961","OSGIN1","ENSG00000140961","29948"
"ENSG00000132837","DMGDH","ENSG00000132837","29958"
"ENSG00000161681","SHANK1","ENSG00000161681","50944"
"ENSG00000078081","LAMP3","ENSG00000078081","27074"
"ENSG00000059804","SLC2A3","ENSG00000059804","6515"
"ENSG00000183091","NEB","ENSG00000183091","4703"
"ENSG00000131480","AOC2","ENSG00000131480","314"
"ENSG00000169994","MYO7B","ENSG00000169994","4648"
"ENSG00000148346","LCN2","ENSG00000148346","3934"
"ENSG00000137571","SLCO5A1","ENSG00000137571","81796"
"ENSG00000163347","CLDN1","ENSG00000163347","9076"
"ENSG00000087589","CASS4","ENSG00000087589","57091"
"ENSG00000214212","C19orf38","ENSG00000214212","255809"
"ENSG00000178226","PRSS36","ENSG00000178226","146547"
"ENSG00000168237","GLYCTK","ENSG00000168237","132158"
"ENSG00000196208","GREB1","ENSG00000196208","9687"
"ENSG00000173262","SLC2A14","ENSG00000173262","144195"
"ENSG00000177602","HASPIN","ENSG00000177602","83903"
"ENSG00000171346","KRT15","ENSG00000171346","3866"
"ENSG00000135842","NIBAN1","ENSG00000135842","116496"
"ENSG00000178381","ZFAND2A","ENSG00000178381","90637"
"ENSG00000118513","MYB","ENSG00000118513","4602"
"ENSG00000186871","ERCC6L","ENSG00000186871","54821"
"ENSG00000172602","RND1","ENSG00000172602","27289"
"ENSG00000128965","CHAC1","ENSG00000128965","79094"
"ENSG00000171476","HOPX","ENSG00000171476","84525"
"ENSG00000100739","BDKRB1","ENSG00000100739","623"
"ENSG00000136425","CIB2","ENSG00000136425","10518"
"ENSG00000171241","SHCBP1","ENSG00000171241","79801"
"ENSG00000111886","GABRR2","ENSG00000111886","2570"
"ENSG00000129810","SGO1","ENSG00000129810","151648"
"ENSG00000057657","PRDM1","ENSG00000057657","639"
"ENSG00000118523","CCN2","ENSG00000118523","1490"
"ENSG00000174567","GOLT1A","ENSG00000174567","127845"
"ENSG00000130477","UNC13A","ENSG00000130477","23025"
"ENSG00000128284","APOL3","ENSG00000128284","80833"
"ENSG00000110492","MDK","ENSG00000110492","4192"
"ENSG00000129226","CD68","ENSG00000129226","968"
"ENSG00000158406","H4C8","ENSG00000158406","8365"
"ENSG00000274641","H2BC17","ENSG00000274641","8348"
"ENSG00000168779","SHOX2","ENSG00000168779","6474"
"ENSG00000164309","CMYA5","ENSG00000164309","202333"
"ENSG00000127954","STEAP4","ENSG00000127954","79689"
"ENSG00000174885","NLRP6","ENSG00000174885","171389"
"ENSG00000113369","ARRDC3","ENSG00000113369","57561"
"ENSG00000166341","DCHS1","ENSG00000166341","8642"
"ENSG00000130203","APOE","ENSG00000130203","348"
"ENSG00000276349","TBC1D3L","ENSG00000276349","729873"
"ENSG00000174529","TMEM81","ENSG00000174529","388730"
"ENSG00000134107","BHLHE40","ENSG00000134107","8553"
"ENSG00000113070","HBEGF","ENSG00000113070","1839"
"ENSG00000167601","AXL","ENSG00000167601","558"
"ENSG00000112599","GUCA1B","ENSG00000112599","2979"
"ENSG00000176170","SPHK1","ENSG00000176170","8877"
"ENSG00000162733","DDR2","ENSG00000162733","4921"
"ENSG00000110876","SELPLG","ENSG00000110876","6404"
"ENSG00000197208","SLC22A4","ENSG00000197208","6583"
"ENSG00000137699","TRIM29","ENSG00000137699","23650"
"ENSG00000292098","DLX1","ENSG00000292098","1745"
"ENSG00000138166","DUSP5","ENSG00000138166","1847"
"ENSG00000110944","IL23A","ENSG00000110944","51561"
"ENSG00000204421","LY6G6C","ENSG00000204421","80740"
"ENSG00000162496","DHRS3","ENSG00000162496","9249"
"ENSG00000229341","TNXB","ENSG00000229341","7148"
"ENSG00000131471","AOC3","ENSG00000131471","8639"
"ENSG00000095752","IL11","ENSG00000095752","3589"
"ENSG00000149564","ESAM","ENSG00000149564","90952"
"ENSG00000160183","TMPRSS3","ENSG00000160183","64699"
"ENSG00000205426","KRT81","ENSG00000205426","3887"
