"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"SALL4","SALL4 CHEA","12/355","0.132251282136684106260915","0.6744815388970890612796","0","0","1.4689284278888173","2.971717879256859706771","HMGN5;LURAP1L;UNC5B;GIPC2;GCNT2;NRXN2;RHOF;PHLDB2;OXR1;BACH2;DHRS3;ZNF585A"
"ESR1","ESR1 CHEA","6/154","0.154387503693509287039376","0.7498821607970450608960","0","0","1.6971863872511821","3.170835641421652084659","PLEKHH2;SERPINA1;SEMA3C;RASEF;PDK4;BMP7"
"BHLHE40","BHLHE40 ENCODE","11/348","0.196401931017626152353728","0.8790706703661756993284","0","0","1.3679266064556257","2.226426471079864466418","KLF10;SLC7A5;CLN3;ZNF296;ANKRD37;CAMK2D;DNAAF1;STAT6;TBL1X;CDH15;HIF1A"
"EGR1","EGR1 CHEA","10/315","0.207160335582826704570181","0.8790706703661756993284","0","0","1.3733347619557841","2.161989027735679691489","NT5E;SERPINA1;MAML2;JUP;TNFRSF12A;CALD1;SLC11A1;HSD17B2;MAP7;ZBTB20"
"FOXA1","FOXA1 ENCODE","7/205","0.207324230333830322736688","0.8790706703661756993284","0","0","1.4794153657790019","2.327817738690387994183","MTNR1A;CXCL8;CALD1;TBL1X;RAPGEF5;BACH2;DHRS3"
"SMC3","SMC3 ENCODE","32/1181","0.221657727807337501246820","0.8790706703661756993284","0","0","1.1714972526104681","1.765002190587626085261","C1S;SEMA3C;SYNPO2;DNAJC22;NRXN2;IQGAP2;RND3;DLL4;SOCS3;FLNB;STAT6;HBQ1;TBL1X;SEC31B;UNC5CL;PLK2;TRAPPC5;MYO7A;RHOF;DHRS3;MARCKS;IL6;COL1A2;TUBB2A;TMEM158;LTB4R2;RTN4RL1;SPNS1;APBA1;SPRY1;TLR6;MET"
"CTCF","CTCF ENCODE","47/1790","0.226521456567228773870681","0.8790706703661756993284","0","0","1.1366195995899644","1.687784183294966489086","DDX47;DNAJC22;NRXN2;IQGAP2;CLDN1;RND3;EFNB2;CALB2;DLL4;SOCS3;ALCAM;CCDC85B;CA2;COBLL1;MAP7;PCDHA4;SFN;FLNB;STAT6;HBQ1;PHLDA2;SEC31B;TLE3;NTRK2;UNC5CL;JAG1;PLK2;TRAPPC5;FZD8;MYO7A;RHOF;OXR1;NFATC4;EHD1;MARCKS;IL6;COL1A2;TUBB2A;TMEM158;LTB4R2;RTN4RL1;SPNS1;APBA1;TLR6;RIN1;MET;HOXB5"
"SUZ12","SUZ12 ENCODE","4/105","0.232695177449870033159485","0.8790706703661756993284","0","0","1.6548493559033324","2.412813276466835965550","KIAA1217;SIDT1;ARID3C;MDGA1"
"TCF7L2","TCF7L2 ENCODE","16/583","0.295058284039411089505478","0.9999948175682955575638","0","0","1.1813230238542969","1.441902055178473140984","INO80C;TLE3;TES;SEMA3C;MYO10;FZD9;HSF2BP;NFATC4;PBLD;PSD3;HIVEP1;SP5;FAM76B;LHX4;PDLIM5;CCDC82"
"BCL3","BCL3 ENCODE","8/273","0.311273203300031608975473","0.9999948175682955575638","0","0","1.2616379486759710","1.472437823545398982716","MARCKS;ALCAM;IL11RA;STAT6;HBQ1;TBL1X;CPT1C;HYPK"
"MYOD1","MYOD1 ENCODE","5/166","0.349841175340371901558711","0.9999948175682955575638","0","0","1.2964499892910688","1.361630324810747527664","KLF10;EGLN3;LURAP1L;CDH15;SYNC"
"PPARG","PPARG CHEA","14/535","0.375825585051693999982803","0.9999948175682955575638","0","0","1.1226930459176141","1.098701222117145492874","INO80C;CAMK2D;KRT80;TES;LRRC39;RNASE4;EFNA5;CARF;DHRS3;EHD1;EFNB2;LURAP1L;AKT3;GCNT2"
"STAT3","STAT3 CHEA","5/177","0.401018601796676199544578","0.9999948175682955575638","0","0","1.2128483360064155","1.108237091522762174378","SOCS3;DLC1;STYK1;ADRB2;SSBP2"
"IRF1","IRF1 ENCODE","7/263","0.421021052497495051891718","0.9999948175682955575638","0","0","1.1408025568181821","0.986876852089637823795","SRGN;FAM111A;ANKRD37;HINT2;PSMA2;SP5;STAT6"
"FOXA2","FOXA2 ENCODE","8/316","0.463340972408983864383458","0.9999948175682955575638","0","0","1.0830774431642110","0.833202871377852871682","FOXQ1;MARCKS;LURAP1L;TBL1X;PHLDB2;CXCL2;NGEF;DHRS3"
"HNF4A","HNF4A ENCODE","30/1276","0.521613696335693877159656","0.9999948175682955575638","0","0","1.0028446381495959","0.652679380589356261666","AVIL;DNAJC22;IL20RB;STKLD1;FBLN1;PTPRK;IQGAP2;FOXQ1;MRPL2;LURAP1L;ZNF827;CHST13;UNC5CL;IL11RA;HPCAL1;PIPOX;IFFO2;IL17RE;SDCBP2;DHRS3;SLC7A5;CLDN4;CLDN7;GIPC2;DOK7;SP5;INHA;ZNF214;NGEF;DSC2"
"GATA1","GATA1 CHEA","19/807","0.526314740702409467054679","0.9999948175682955575638","0","0","1.0042780597856740","0.644601776663265124689","INO80C;HPCAL1;SLC2A3;RHOF;IQGAP2;BACH2;EHD1;SLC7A5;UBASH3B;SH3TC2;DLC1;PIP5K1B;FAM76B;SPRY1;UBE2V1;JARID2;RAPGEF5;MDGA1;SDK2"
"IRF8","IRF8 CHEA","3/121","0.542358137607689916315223","0.9999948175682955575638","0","0","1.0591219902524187","0.648001257192348800729","EHD1;ZNF296;RNASE4"
"RELA","RELA ENCODE","11/484","0.584885265060343884080396","0.9999948175682955575638","0","0","0.9677059002741952","0.519018975233927815083","EHD1;INO80C;KLF10;SRGN;MARCKS;CAMK2D;TMSB4X;HIVEP1;NRXN2;STAT6;PBLD"
"ZC3H11A","ZC3H11A ENCODE","3/129","0.585829700518671891984468","0.9999948175682955575638","0","0","0.9914674024116084","0.530163542074710059104","STAT6;MYO7A;RHOF"
"HDAC2","HDAC2 ENCODE","4/175","0.589937196705086486225866","0.9999948175682955575638","0","0","0.9739042947871472","0.513967467574569791822","ANKRD37;TBL1X;IQGAP2;DHRS3"
"ZNF384","ZNF384 ENCODE","16/730","0.644986996600136031077000","0.9999948175682955575638","0","0","0.9308376772342492","0.408195706622422938015","SRGN;TLE3;SERPINB9;TEX14;TXNDC12;SLC2A3;HIF1A;DHRS3;FAM111A;SH3BGRL;HINT2;PSMA2;TRIM59;JARID2;RPS10;CTSC"
"FOXM1","FOXM1 ENCODE","2/95","0.656332640376687148631163","0.9999948175682955575638","0","0","0.8951209965232207","0.376924302735227201300","UBE2S;TRIM59"
"CEBPB","CEBPB ENCODE","3/144","0.659905361525770617348030","0.9999948175682955575638","0","0","0.8853072778741667","0.367985801362238629242","MLLT11;TXNDC12;TBL1X"
"SRF","SRF ENCODE","6/299","0.705724910309933117780190","0.9999948175682955575638","0","0","0.8508687223110888","0.296553074023784668523","FOSL1;EGR3;EGR4;ZNF547;PDLIM5;CARF"
"REST","REST CHEA","27/1280","0.744271353626239751122284","0.9999948175682955575638","0","0","0.8910849255903479","0.263181565671299411147","PIWIL1;KHDRBS3;NRXN2;RORA;NCALD;CALB1;TUBB3;PSD3;FLNB;SLC25A21;DNAI1;ARRDC4;TLE3;NTRK2;UNC5CL;EGR4;ZFP2;LHFPL5;CACNA2D4;PNMA2;BCAN;CDC42EP5;CDH13;PRKD1;LHX4;SGK1;HCN2"
"RUNX1","RUNX1 CHEA","27/1294","0.763600425563963347563856","0.9999948175682955575638","0","0","0.8805637001932095","0.237497390173995431839","GRAMD1B;IQGAP2;SOCS3;GLIPR1;GCNT2;IGFBP7;UPP1;TBL1X;JARID2;ZNF224;TLE4;UNC13A;SPAG8;SLC11A1;ITGA1;STYK1;HPCAL1;HMGA1;RNASE4;OXR1;DHRS3;NFATC4;MLLT11;TUBB2A;TMEM158;RASA3;EPHA1"
"TCF3","TCF3 ENCODE","17/840","0.767275084696080966750742","0.9999948175682955575638","0","0","0.8549446768244819","0.226483301767608669053","TLE4;KLF10;TLE3;EGLN3;CAMK2D;RHOF;HIF1A;MARCKS;ALCAM;TUBB2A;FGF9;LTB4R2;ZNF827;CDC42EP3;TBL1X;SSBP2;RPS10"
"ZKSCAN1","ZKSCAN1 ENCODE","2/120","0.775827450869461143767580","0.9999948175682955575638","0","0","0.7045693753856205","0.178837420805580765704","HPCAL1;TBL1X"
